date,price
09-00,244.142857143
09-01,260.583333333
09-02,257.166666667
09-03,253.333333333
09-04,256.583333333
09-05,257.583333333
09-06,256.5
09-07,256.166666667
09-08,254.333333333
09-09,276.416666667
09-10,266.583333333
09-11,254.0
09-12,262.666666667
09-13,265.333333333
09-14,260.666666667
09-15,254.833333333
09-16,254.25
09-17,250.583333333
09-18,256.75
09-19,267.75
09-20,257.083333333
09-21,254.916666667
09-22,256.833333333
09-23,268.0
09-24,254.166666667
09-25,260.583333333
09-26,264.166666667
09-27,263.0
09-28,260.166666667
09-29,257.5
09-30,273.333333333
09-31,256.416666667
09-32,263.75
09-33,261.666666667
09-34,259.583333333
09-35,256.916666667
09-36,259.333333333
09-37,265.0
09-38,251.25
09-39,255.25
09-40,253.083333333
09-41,251.5
09-42,259.75
09-43,249.583333333
09-44,257.25
09-45,265.083333333
09-46,260.25
09-47,248.666666667
09-48,254.666666667
09-49,257.916666667
09-50,256.583333333
09-51,260.833333333
09-52,684.75
09-53,366.666666667
09-54,399.083333333
09-55,464.75
09-56,590.583333333
09-57,419.75
09-58,524.25
09-59,280.25
10-00,438.833333333
10-01,303.833333333
10-02,303.909090909
10-03,245.5
10-04,352.416666667
10-05,562.714285714
10-06,202.916666667
10-07,216.388888889
10-08,339.75
10-09,502.875
10-10,254.583333333
10-11,524.416666667
10-12,459.25
10-13,329.75
10-14,365.916666667
10-15,369.583333333
10-16,298.083333333
10-17,378.4375
10-18,300.125
10-19,277.916666667
10-20,297.75
10-21,309.0
10-22,277.916666667
10-23,323.916666667
10-24,325.25
10-25,319.25
10-26,334.5
10-27,327.166666667
10-28,540.0
10-29,563.25
10-30,522.833333333
10-31,750.083333333
10-32,776.083333333
10-33,968.285714286
10-34,458.7
10-35,610.0
10-36,775.75
10-37,252.75
10-38,251.333333333
10-39,270.416666667
10-40,264.428571429
10-41,888.9
10-42,293.083333333
10-43,276.333333333
10-44,243.0
10-45,193.25
10-46,205.605263158
10-49,210.7
10-50,215.625
10-51,200.125
10-52,342.625
10-53,328.875
10-54,331.75
10-57,268.4
10-58,271.416666667
11-00,596.0
11-01,802.75
11-02,424.666666667
11-03,1113.58333333
11-04,419.571428571
11-05,367.2
11-06,422.0625
11-08,228.75
11-09,251.166666667
11-10,377.25
11-11,448.0
11-12,279.75
11-13,660.416666667
11-14,286.0
11-15,262.083333333
11-16,270.0
11-18,263.25
11-19,264.333333333
11-20,255.5
11-21,290.625
11-23,347.916666667
11-24,271.5
11-25,523.0
11-26,524.0
11-27,562.333333333
11-28,484.583333333
11-29,285.583333333
11-30,437.5
11-32,420.5
11-33,268.333333333
11-34,302.25
11-35,397.857142857
11-36,576.1
11-37,638.166666667
11-38,491.333333333
11-39,323.916666667
11-40,333.75
11-41,310.916666667
11-42,343.666666667
11-43,318.916666667
11-44,324.5
11-45,330.583333333
11-46,341.5
11-47,330.25
11-48,329.083333333
11-49,346.714285714
11-50,445.3
11-51,833.25
11-52,916.666666667
11-53,957.863636364
11-54,964.5
11-55,941.333333333
11-56,514.583333333
11-57,514.916666667
11-58,333.083333333
11-59,333.083333333
12-00,396.0
12-01,504.857142857
12-02,271.6
12-03,390.5
12-04,1204.0
12-05,416.666666667
12-06,297.583333333
12-07,279.666666667
12-08,269.928571429
12-09,283.142857143
12-10,279.25
12-11,274.5
12-12,284.142857143
12-13,293.727272727
12-15,303.666666667
12-16,291.25
12-17,298.071428571
12-18,371.125
12-19,292.666666667
12-20,296.666666667
12-21,271.666666667
12-22,274.416666667
12-23,452.142857143
12-24,445.583333333
12-25,254.8
12-26,407.0
12-27,230.916666667
12-28,230.571428571
12-29,281.1
12-30,578.611111111
12-31,246.333333333
12-32,291.583333333
12-33,1158.21428571
12-34,455.75
12-35,574.1875
12-36,254.166666667
12-37,266.0
12-38,260.583333333
12-39,256.416666667
12-40,256.333333333
12-41,258.666666667
12-42,265.083333333
12-43,255.0
12-44,263.166666667
12-45,252.0
12-46,264.583333333
12-47,260.5
12-48,251.666666667
12-49,261.583333333
12-50,265.75
12-51,266.0
12-52,259.0
12-53,267.5
12-54,259.916666667
12-55,258.5
12-56,259.083333333
12-57,269.583333333
12-58,268.5
12-59,270.0
13-00,258.916666667
13-01,264.75
13-02,269.75
13-03,264.333333333
13-04,263.25
13-05,266.25
13-06,269.416666667
13-07,255.916666667
13-08,269.25
13-09,268.25
13-10,261.0
13-11,262.083333333
13-12,266.5
13-13,261.166666667
13-14,257.916666667
13-15,266.666666667
13-16,275.083333333
13-17,327.416666667
13-18,403.333333333
13-19,595.583333333
13-20,340.0
13-21,337.083333333
13-22,344.75
13-23,336.583333333
13-24,332.0
13-25,335.5
13-26,333.5
13-29,327.392857143
13-31,335.125
13-32,336.333333333
13-33,315.5
13-34,352.714285714
13-35,756.416666667
13-36,350.047619048
13-43,1185.3
13-44,469.666666667
13-45,374.666666667
13-46,302.714285714
13-47,349.833333333
13-48,577.5
13-49,309.583333333
13-50,348.666666667
13-51,475.416666667
13-52,299.447368421
13-55,290.357142857
13-56,285.166666667
14-02,592.8125
14-04,394.041666667
14-06,303.166666667
14-08,453.0
14-09,779.833333333
14-10,510.0
14-11,779.857142857
14-12,252.642857143
14-13,192.7
14-14,255.989130435
14-21,278.7
14-24,253.826086957
14-28,380.7
14-29,439.0
14-30,555.3
14-31,577.285714286
14-32,389.555555556
14-33,337.75
14-34,330.5625
14-36,334.0
14-38,326.25
14-39,284.5
14-41,370.0
14-42,330.416666667
14-43,517.25
14-44,387.0
14-45,350.166666667
14-46,337.25
14-47,571.6
14-48,375.583333333
14-49,255.083333333
14-50,254.666666667
14-51,257.583333333
14-52,257.25
14-53,252.833333333
14-54,257.333333333
14-55,259.333333333
14-56,259.583333333
14-57,269.166666667
14-58,258.916666667
14-59,263.833333333
15-00,255.916666667
15-01,256.583333333
15-02,257.75
15-03,258.833333333
15-04,258.416666667
15-05,254.5
15-06,250.166666667
15-07,248.833333333
15-08,249.666666667
15-09,256.833333333
15-10,253.333333333
15-11,259.25
15-12,258.583333333
15-13,262.583333333
15-14,259.333333333
15-15,257.416666667
15-16,260.416666667
15-17,250.166666667
15-18,262.75
15-19,266.333333333
15-20,249.25
15-21,255.5
15-22,260.5
15-23,265.75
15-24,265.666666667
15-25,259.25
15-26,261.333333333
15-27,249.083333333
15-28,253.5
15-29,258.416666667
15-30,254.833333333
15-31,262.416666667
15-32,262.0
15-33,248.583333333
15-34,253.166666667
15-35,254.166666667
15-36,250.333333333
15-37,266.25
15-38,264.0
15-39,264.583333333
15-40,262.666666667
15-41,259.25
15-42,261.25
15-43,266.083333333
15-44,269.333333333
15-45,264.583333333
15-46,257.666666667
15-47,256.166666667
15-48,269.083333333
15-49,248.666666667
15-50,257.5
15-51,265.666666667
15-52,262.333333333
15-53,261.166666667
15-54,265.583333333
15-55,254.583333333
15-56,260.333333333
15-57,262.666666667
15-58,261.583333333
15-59,265.666666667
16-00,269.0
16-01,263.583333333
16-02,259.5
16-03,260.0
16-04,259.833333333
16-05,259.416666667
16-06,261.25
16-07,262.75
16-08,258.75
16-09,259.833333333
16-10,259.75
16-11,264.75
16-12,254.5
16-13,261.75
