date,price
09-00,866.637822036
09-01,858.338218861
09-02,1276.53904968
09-03,1415.84668247
09-04,1323.7372248
09-05,780.502303064
09-06,562.969907407
09-07,556.678240741
09-08,561.405092593
09-09,567.162037037
09-10,565.185185185
09-11,563.571759259
09-12,558.87037037
09-13,555.217592593
09-14,550.375
09-15,545.055555556
09-16,544.141704204
09-17,544.840334341
09-18,553.7870936
09-19,586.11786882
09-20,648.890564848
09-21,703.602265185
09-22,1210.92052403
09-23,1135.96792445
09-24,1111.46937734
09-25,681.480336604
09-26,733.866104394
09-27,663.208374453
09-28,632.29289487
09-29,663.989094933
09-30,826.585664747
09-31,686.188282945
09-32,615.089420002
09-33,630.139278759
09-34,613.239126584
09-35,649.559434385
09-36,471.654434385
09-37,558.699651041
09-38,441.501167651
09-39,819.092232077
09-40,844.426193208
09-41,904.712194615
09-42,501.164556115
09-43,482.118711662
09-44,470.408507893
09-45,722.116338006
09-46,713.206244182
09-47,728.955679519
09-48,924.923041366
09-49,964.163697251
09-50,920.974612284
09-51,543.264823227
09-52,458.000970413
09-53,598.95968501
09-54,570.72726141
09-55,654.791114223
09-56,493.507119514
09-57,525.046768707
09-58,802.084314495
09-59,839.889986764
10-00,973.556737623
10-01,614.951334692
10-02,654.466457763
10-03,905.414404928
10-04,925.174590113
10-05,886.916493186
10-06,599.494907407
10-07,685.986957995
10-08,652.625152439
10-09,461.02959233
10-10,321.203928884
10-11,330.354226503
10-12,594.615491741
10-13,579.931049044
10-14,584.542304455
10-15,404.077002552
10-16,428.272893756
10-17,485.816222567
10-18,415.487934725
10-19,506.169968837
10-20,534.680860806
10-21,613.695528575
10-22,606.559710578
10-23,638.055742324
10-24,899.444764879
10-25,807.413305709
10-26,746.906187653
10-27,1066.43330748
10-28,1116.31941859
10-29,1065.07399229
10-30,507.885021786
10-31,536.432515011
10-32,687.243301621
10-33,678.839862468
10-34,582.091147021
10-35,487.126834803
10-36,440.820244051
10-37,591.862021829
10-38,557.402630572
10-39,647.866241584
10-40,650.521371608
10-41,612.775394916
10-42,741.425724079
10-43,560.197773542
10-44,647.059663647
10-45,370.727937806
10-46,631.212980541
10-47,665.926020408
10-48,677.867181947
10-49,469.944632928
10-50,654.331418642
10-51,1036.47043709
10-52,1029.02920406
10-53,702.143079721
10-54,316.165114978
10-55,386.845563696
10-56,490.517521368
10-57,741.090540541
10-58,739.062912913
10-59,1282.45073343
11-00,1108.03960465
11-01,1132.17043741
11-02,538.963172448
11-03,453.216042966
11-04,461.788595414
11-05,495.798780599
11-06,478.782523958
11-07,658.037123525
11-08,579.550351038
11-09,609.049031279
11-10,905.786330902
11-11,914.837464689
11-12,979.516261631
11-13,602.265873942
11-14,636.016327457
11-15,614.581753203
11-16,641.891644621
11-17,614.901521164
11-18,836.300755858
11-19,985.256311413
11-20,1196.86177133
11-21,944.826335341
11-22,710.920702625
11-23,466.560921717
11-24,571.579498792
11-25,434.667721581
11-26,447.91586973
11-27,551.248523715
11-28,1004.86669842
11-29,1006.01867104
11-30,846.740827998
11-31,450.888793713
11-32,586.001066103
11-33,526.140222132
11-34,466.244192258
11-35,395.289918754
11-36,434.233887202
11-37,736.265137202
11-38,712.664954052
11-39,752.096362434
11-40,563.817195767
11-41,1268.52550664
11-42,1181.62823877
11-43,1171.91414918
11-44,641.322728186
11-45,816.942681238
11-46,741.744680669
11-47,541.715290788
11-48,555.611322534
11-49,579.733348596
11-50,648.979365079
11-51,673.110526316
11-52,788.976899942
11-53,819.399945596
11-54,619.958863724
11-55,503.985794941
11-56,392.147190835
11-57,476.269903253
11-58,454.350591084
11-59,590.465437286
12-00,584.028527337
12-01,600.405015432
12-02,543.924668957
12-03,593.581922043
12-04,658.446960253
12-05,826.796524059
12-06,675.540206854
12-07,606.924221675
12-08,530.537767877
12-09,568.752572736
12-10,621.644144706
12-11,991.332284268
12-12,1004.44796328
12-13,942.167113921
12-14,450.232921066
12-15,445.48970678
12-16,504.572425431
12-17,566.949805369
12-18,570.881352988
12-19,533.350654259
12-20,594.936890261
12-21,612.373946998
12-22,543.947355787
12-23,589.197558709
12-24,1045.09790507
12-25,1108.73356712
12-26,915.61609183
12-27,558.880184456
12-28,500.803738552
12-29,541.132231584
12-30,546.774093345
12-31,648.145701759
12-32,622.637858622
12-33,521.834718525
12-34,586.650597508
12-35,1066.64941354
12-36,1078.71185572
12-37,999.754253381
12-38,610.629844344
12-39,667.842223083
12-40,619.093598221
12-41,778.670834422
12-42,787.548599138
12-43,790.451018039
12-44,674.197354644
12-45,955.347072981
12-46,910.999730556
12-47,807.572551792
12-48,473.778559836
12-49,492.640511001
12-50,842.141185921
12-51,798.992519897
12-52,859.173733978
12-53,485.640905367
12-54,661.475845901
12-55,579.010432523
12-56,562.10928518
12-57,454.859005068
12-58,483.433738785
12-59,480.787349896
13-00,392.636291695
13-01,430.549071669
13-02,1252.00149176
13-03,1336.18623603
13-04,1268.9147604
13-05,465.916810008
13-06,381.826214511
13-07,501.262522673
13-08,537.359425525
13-09,742.088046577
13-10,790.968980529
13-11,691.481676782
13-12,640.05661419
13-13,497.440540149
13-14,615.136947537
13-15,596.363169064
13-16,680.720489604
13-17,814.775846747
13-18,684.990422078
13-19,725.725061095
13-20,651.877115085
13-21,696.932397641
13-22,685.030695132
13-23,647.373716899
13-24,695.035715854
13-25,618.648030174
13-26,655.332334758
13-27,600.580204763
13-28,814.57971584
13-29,754.479502165
13-30,738.535018493
13-31,610.706571967
13-32,667.612341197
13-33,709.954227467
13-34,658.027272207
13-35,636.949728783
13-36,624.252999586
13-37,616.82713153
13-38,619.341854442
13-39,628.291248884
13-40,635.315207217
13-41,611.002386704
13-42,656.309855769
13-43,686.823100932
13-44,676.875380134
13-45,674.876272176
13-46,690.40785953
13-47,685.978393299
13-48,657.143676471
13-49,733.219597803
13-50,725.688626323
13-51,730.868310232
13-52,661.662486938
13-53,676.819977335
13-54,719.45811863
13-55,735.960311613
13-56,707.993911221
13-57,718.548298661
13-58,644.497018921
13-59,713.873186861
14-00,721.577935497
14-01,725.954800033
14-02,751.1947918
14-03,740.177706758
14-04,772.08008771
14-05,710.866408842
14-06,669.86433223
14-07,584.402245788
14-08,688.689747576
14-09,818.896114617
14-10,877.106613757
14-11,755.175337598
14-12,1043.50761273
14-13,991.787054122
14-14,1047.7216833
14-15,627.46931013
14-16,674.746650845
14-17,678.804144385
14-18,744.018979266
14-19,718.67905346
14-20,680.681717082
14-21,614.23073024
14-22,796.7341914
14-23,812.633289295
14-24,1015.74408475
14-25,856.28906841
14-26,870.959529115
14-27,1125.79409257
14-28,1224.2405709
14-29,1312.89664729
14-30,705.919954485
14-31,650.770714718
14-32,565.997277218
14-33,716.188915165
14-34,685.871401414
14-35,668.06259765
14-36,675.343120711
14-37,891.260584804
14-38,822.333094707
14-39,773.810739815
14-40,583.263976608
14-41,588.818505487
14-42,672.802468003
14-43,683.25858128
14-44,1206.27829025
14-45,1136.16581763
14-46,1105.54846622
14-47,638.765997037
14-48,627.34177001
14-49,629.441778684
14-50,633.482368693
14-51,755.800192835
14-52,762.411731895
14-53,844.709684664
14-54,738.729793268
14-55,1484.03732881
14-56,1347.12595011
14-57,1350.14311561
14-58,601.17471206
14-59,605.213346645
15-00,623.325259038
15-01,687.469526074
15-02,702.482707728
15-03,671.472023967
15-04,650.406517094
15-05,642.487713675
15-06,638.389423077
15-07,588.812695435
15-08,630.552157362
15-09,645.309635994
15-10,656.020292208
15-11,641.119878184
15-12,645.109336015
15-13,642.879774914
15-14,660.292863763
15-15,644.456183709
15-16,900.698157703
15-17,861.55499531
15-18,860.281491036
15-19,579.886752137
15-20,576.147435897
15-21,574.952991453
15-22,572.267094017
15-23,578.252136752
15-24,576.837606838
15-25,582.391025641
15-26,582.111111111
15-27,585.561965812
15-28,578.057692308
15-29,572.004273504
15-30,569.318376068
15-31,571.286324786
15-32,573.094017094
15-33,582.882478632
15-34,585.286324786
15-35,590.553418803
15-36,588.521367521
15-37,594.884615385
15-38,589.111111111
15-39,585.611111111
15-40,582.151709402
15-41,588.277777778
15-42,585.696581197
15-43,580.472222222
15-44,578.017094017
15-45,576.472222222
15-46,579.025641026
15-47,576.542735043
15-48,576.081196581
15-49,574.019230769
15-50,577.042735043
15-51,581.794871795
15-52,582.743589744
15-53,573.822649573
15-54,569.44017094
15-55,568.816239316
15-56,574.942307692
15-57,583.197435897
15-58,933.944230769
15-59,862.613159879
