date,price
09-00,110.555555556
09-01,94.5
09-02,83.6944444444
09-03,82.8148148148
09-04,90.3518518519
09-05,83.6111111111
09-06,84.1111111111
09-07,83.4722222222
09-08,83.0277777778
09-09,89.287037037
09-10,86.0648148148
09-11,82.6018518519
09-12,86.25
09-13,85.4814814815
09-14,84.9444444444
09-15,82.6759259259
09-16,81.6018518519
09-17,82.6851851852
09-18,83.0833333333
09-19,85.1759259259
09-20,82.7363636364
09-21,80.9909090909
09-22,85.3653846154
09-23,81.0862068966
09-24,86.28
09-25,75.3968253968
09-26,94.9468085106
09-27,80.6929824561
09-28,82.6090909091
09-29,61.4842105263
09-30,52.9881889764
09-31,126.833333333
09-32,100.325581395
09-33,129.183333333
09-34,103.675
09-35,90.2346938776
09-36,83.3909090909
09-37,92.9787234043
09-38,107.631578947
09-39,89.3673469388
09-40,100.090163934
09-41,238.565217391
09-42,52.6315789474
09-43,118.878787879
09-44,313.386363636
09-45,71.2058823529
09-46,41.0280373832
09-47,58.2888888889
09-48,60.2558139535
09-49,85.8958333333
09-50,68.8970588235
09-51,348.045454545
09-52,144.794117647
09-53,76.1976744186
09-54,72.6078431373
09-55,95.6153846154
09-56,127.25
09-57,77.1875
09-58,85.2
09-59,67.6538461538
10-00,75.7596153846
10-01,43.1621621622
10-02,101.035714286
10-03,33.7619047619
10-04,85.9705882353
10-05,87.3359375
10-06,56.1578947368
10-07,60.287037037
10-08,70.7
10-09,62.2719298246
10-10,94.4285714286
10-11,89.5510204082
10-12,89.0930232558
10-13,71.5238095238
10-14,68.89
10-15,66.3888888889
10-16,72.3278688525
10-17,168.693877551
10-18,400.161764706
10-19,56.9711538462
10-20,68.625
10-21,51.6338028169
10-22,67.7894736842
10-23,359.964516129
10-24,83.988372093
10-25,50.037037037
10-26,44.1869565217
10-27,83.2424242424
10-28,107.256410256
10-29,91.4901960784
10-30,118.515151515
10-31,129.406976744
10-32,126.141304348
10-33,181.686046512
10-34,70.8725490196
10-35,116.175
10-36,160.985294118
10-37,55.0392156863
10-38,74.9827586207
10-39,56.2830188679
10-40,61.28
10-41,407.45505618
10-42,47.3452380952
10-43,77.2419354839
