yearmonth,rate
09-00-05,158.111111111
09-00-15,86.7777777778
09-00-25,86.2222222222
09-00-35,90.1111111111
09-00-45,83.8888888889
09-00-55,110.666666667
09-01-05,142.555555556
09-01-15,88.3333333333
09-01-25,77.0555555556
09-01-35,83.3888888889
09-01-45,86.9444444444
09-01-55,88.7222222222
09-02-05,85.8888888889
09-02-15,94.5
09-02-25,78.5
09-02-35,85.8888888889
09-02-45,79.6111111111
09-02-55,77.7777777778
09-03-05,85.3888888889
09-03-15,78.2777777778
09-03-25,84.6111111111
09-03-35,86.5555555556
09-03-45,83.5555555556
09-03-55,78.5
09-04-05,81.6666666667
09-04-15,87.7777777778
09-04-25,102.888888889
09-04-35,98.2777777778
09-04-45,88.1666666667
09-04-55,83.3333333333
09-05-05,86.0555555556
09-05-15,78.9444444444
09-05-25,84.2777777778
09-05-35,88.3333333333
09-05-45,80.6666666667
09-05-55,83.3888888889
09-06-05,75.3888888889
09-06-15,86.6666666667
09-06-25,86.7777777778
09-06-35,85.3333333333
09-06-45,85.2222222222
09-06-55,85.2777777778
09-07-05,83.3333333333
09-07-15,84.7222222222
09-07-25,85.5
09-07-35,81.8888888889
09-07-45,78.0555555556
09-07-55,87.3333333333
09-08-05,86.2222222222
09-08-15,85.3888888889
09-08-25,77.4444444444
09-08-35,79.1111111111
09-08-45,82.7777777778
09-08-55,87.2222222222
09-09-05,92.7222222222
09-09-15,91.5555555556
09-09-25,87.5
09-09-35,84.6111111111
09-09-45,89.1666666667
09-09-55,90.1666666667
09-10-05,88.6111111111
09-10-15,88.8888888889
09-10-25,87.7777777778
09-10-35,84.7777777778
09-10-45,84.4444444444
09-10-55,81.8888888889
09-11-05,81.7777777778
09-11-15,81.5
09-11-25,80.7222222222
09-11-35,82.3888888889
09-11-45,86.7777777778
09-11-55,82.4444444444
09-12-05,84.9444444444
09-12-15,83.4444444444
09-12-25,85.8888888889
09-12-35,86.7777777778
09-12-45,88.5
09-12-55,87.9444444444
09-13-05,86.7777777778
09-13-15,86.5
09-13-25,85.6111111111
09-13-35,85.0555555556
09-13-45,86.0555555556
09-13-55,82.8888888889
09-14-05,81.2222222222
09-14-15,80.2777777778
09-14-25,86.0555555556
09-14-35,88.8333333333
09-14-45,88.6666666667
09-14-55,84.6111111111
09-15-05,84.2222222222
09-15-15,84.8888888889
09-15-25,82.3333333333
09-15-35,80.7222222222
09-15-45,82.1111111111
09-15-55,81.7777777778
09-16-05,81.8888888889
09-16-15,82.1111111111
09-16-25,80.3333333333
09-16-35,83.0
09-16-45,79.8888888889
09-16-55,82.3888888889
09-17-05,78.2777777778
09-17-15,81.4444444444
09-17-25,82.7777777778
09-17-35,85.3333333333
09-17-45,83.0
09-17-55,85.2777777778
09-18-05,81.5555555556
09-18-15,84.5555555556
09-18-25,80.6111111111
09-18-35,83.0555555556
09-18-45,83.8888888889
09-18-55,84.8333333333
09-19-05,86.8888888889
09-19-15,84.4444444444
09-19-25,74.0
09-19-35,93.9375
09-19-45,90.625
09-19-55,85.2222222222
09-20-05,83.0
09-20-15,86.2222222222
09-20-25,67.6153846154
09-20-35,88.25
09-20-45,91.8125
09-20-55,88.5
09-21-05,89.5
09-21-15,80.1111111111
09-21-25,83.5555555556
09-21-35,79.7777777778
09-21-45,81.8333333333
09-21-55,73.7272727273
09-22-05,90.0625
09-22-15,89.8125
09-22-25,87.6666666667
09-22-35,71.2272727273
09-22-45,90.6875
09-22-55,87.75
09-23-05,84.5555555556
09-23-15,74.15
09-23-25,91.0625
09-23-35,79.6
09-23-45,90.0625
09-23-55,73.5
09-24-05,89.875
09-24-15,89.5625
09-24-25,89.3125
09-24-35,88.75
09-24-45,73.85
09-24-55,89.4375
09-25-05,79.4
09-25-15,91.0625
09-25-25,63.1428571429
09-25-35,88.1875
09-25-45,90.625
09-25-55,60.8666666667
09-26-05,103.357142857
09-26-15,104.214285714
09-26-25,73.5
09-26-35,99.9285714286
09-26-45,107.214285714
09-26-55,96.7857142857
09-27-05,105.357142857
09-27-15,86.0
09-27-25,80.8333333333
09-27-35,85.6111111111
09-27-45,60.0666666667
09-27-55,86.125
09-28-05,90.875
09-28-15,77.3
09-28-25,91.1875
09-28-35,109.083333333
09-28-45,61.8
09-28-55,91.5625
09-29-05,100.5
09-29-15,80.2777777778
09-29-25,85.3888888889
09-29-35,94.0625
09-29-45,115.5
09-29-55,39.3035714286
09-30-05,133.4
09-30-15,135.6
09-30-25,34.9285714286
09-30-35,134.5
09-30-45,113.666666667
09-30-55,46.224137931
09-31-05,132.9
09-31-15,122.0
09-31-25,125.3
09-31-35,131.9
09-31-45,120.4
09-31-55,128.5
09-32-05,113.083333333
09-32-15,109.583333333
09-32-25,115.75
09-32-35,112.833333333
09-32-45,66.9642857143
09-32-55,133.8
09-33-05,127.8
09-33-15,131.0
09-33-25,130.4
09-33-35,110.416666667
09-33-45,164.0
09-33-55,122.2
09-34-05,129.3
09-34-15,116.5
09-34-25,96.6428571429
09-34-35,130.5
09-34-45,91.125
09-34-55,82.6111111111
09-35-05,126.7
09-35-15,50.1666666667
09-35-25,132.1
09-35-35,132.9
09-35-45,126.2
09-35-55,125.6
09-36-05,54.3333333333
09-36-15,127.6
09-36-25,97.2142857143
09-36-35,75.2727272727
09-36-45,123.0
09-36-55,114.0
09-37-05,117.416666667
