date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Erin
09-07-25,0,0,34,0,0,0,34,0,34,0,0
09-14-15,0,0,0,0,0,0,0,0,0,0,0
09-15-05,0,0,35,34,34,34,36,34,35,34,0
09-16-05,40,34,39,40,40,36,40,35,42,36,0
09-17-05,39,40,40,37,37,45,36,35,39,35,0
09-18-05,38,34,39,35,0,37,34,0,43,0,0
09-19-05,0,35,34,38,35,35,35,0,45,35,0
09-20-05,0,0,0,0,0,0,0,0,34,0,0
09-21-05,0,40,40,42,39,36,38,0,43,37,0
09-22-05,0,34,38,40,36,35,34,0,44,36,0
09-23-05,44,35,48,36,41,36,34,0,40,36,0
09-24-05,0,39,37,36,35,38,0,0,41,35,0
09-25-05,0,35,39,0,35,36,0,0,37,35,0
09-26-05,0,0,43,0,35,35,37,0,0,38,0
09-27-05,0,0,41,0,0,35,35,0,0,34,0
09-28-05,0,0,34,0,35,34,0,0,0,0,0
09-29-05,0,34,36,0,36,34,0,0,35,34,0
09-30-05,0,38,36,0,0,0,0,0,37,0,0
09-31-05,0,36,37,0,0,0,0,0,0,0,0
09-32-05,0,37,38,0,0,35,0,0,0,0,0
09-33-05,0,36,40,0,0,35,0,0,0,0,0
09-34-05,0,37,37,0,0,37,0,0,0,0,0
09-35-05,0,37,37,0,37,36,0,0,34,34,0
09-36-05,0,35,39,0,34,37,0,0,36,36,0
09-37-05,0,0,36,0,34,36,34,0,35,35,0
09-38-05,0,0,46,0,0,0,0,0,0,39,0
09-39-05,36,0,0,0,0,0,34,0,36,0,0
09-40-05,0,0,0,0,34,0,36,0,0,0,0
09-41-05,0,0,40,0,0,34,37,0,36,43,0
09-42-05,0,0,0,0,0,0,40,0,0,0,0
09-43-05,0,0,0,0,0,0,35,0,0,0,0
09-44-05,0,0,0,0,35,0,40,0,0,0,0
09-45-05,47,0,0,0,0,0,37,0,41,0,0
09-46-05,0,0,0,0,0,0,35,0,0,0,0
09-47-05,0,0,0,0,38,35,0,0,43,35,0
09-48-05,0,0,0,0,0,0,37,0,35,0,0
09-49-05,0,0,0,0,0,0,37,0,0,0,0
09-50-05,0,0,0,0,0,0,35,0,34,0,0
