date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin
09-00-05,45,64,67,62,62,56,55,54,0,55,0
09-00-15,45,64,68,62,62,56,56,54,0,56,0
09-00-25,45,64,67,62,62,56,55,53,0,56,0
09-00-35,45,64,67,62,62,56,55,53,0,56,0
09-00-45,45,63,67,62,62,56,55,54,0,56,0
09-00-55,45,64,68,62,62,56,56,53,0,56,0
09-01-05,45,64,67,63,62,56,54,54,0,56,0
09-01-15,45,64,68,62,62,56,56,55,0,56,0
09-01-25,44,64,68,62,62,55,55,54,0,56,0
09-01-35,45,64,68,62,62,56,56,54,0,55,0
09-01-45,46,64,67,62,62,56,55,52,0,56,0
09-01-55,46,64,67,62,62,56,56,53,0,56,0
09-02-05,45,64,67,62,62,56,56,53,0,55,0
09-02-15,46,64,67,63,62,56,55,53,0,56,0
09-02-25,46,64,67,62,62,56,56,54,0,56,0
09-02-35,45,64,67,63,62,56,55,53,0,56,0
09-02-45,46,64,67,63,62,56,56,54,0,56,0
09-02-55,45,64,67,62,62,55,56,54,0,56,0
09-03-05,46,64,67,62,62,56,56,54,0,56,0
09-03-15,45,65,67,62,62,56,55,53,0,56,0
09-03-25,45,64,67,63,62,56,56,54,0,56,0
09-03-35,46,64,68,62,62,56,55,53,0,56,0
09-03-45,46,64,67,62,62,55,56,54,0,55,0
09-03-55,45,64,67,62,62,56,56,54,0,56,0
09-04-05,45,64,67,62,62,56,55,54,0,55,0
09-04-15,45,64,67,62,62,55,56,54,0,56,0
09-04-25,45,64,67,62,62,56,55,53,0,56,0
09-04-35,45,64,67,62,62,56,56,54,0,56,0
09-04-45,44,64,68,62,62,56,55,54,0,56,0
09-04-55,46,64,67,62,62,55,55,53,0,56,0
09-05-05,46,64,67,62,62,56,56,54,0,56,0
09-05-15,46,64,67,62,62,56,55,54,0,56,0
09-05-25,46,64,67,63,62,56,55,54,0,56,0
09-05-35,45,64,67,63,62,56,56,53,0,56,0
09-05-45,46,63,67,62,62,56,56,54,0,56,0
09-05-55,46,64,67,62,62,56,56,53,0,56,0
09-06-05,46,64,67,62,62,56,56,54,0,56,0
09-06-15,44,64,67,62,62,55,54,54,0,56,0
09-06-25,46,64,67,62,62,56,55,53,0,56,0
09-06-35,44,64,67,62,62,56,56,53,0,56,0
09-06-45,46,64,67,62,62,56,55,54,0,56,0
09-06-55,45,64,68,62,62,56,55,54,0,55,0
09-07-05,45,64,67,62,62,56,55,53,0,56,0
09-07-15,46,64,68,62,63,56,55,54,0,56,0
09-07-25,46,64,67,62,62,55,56,53,0,56,0
09-07-35,45,64,68,62,62,55,55,53,0,56,0
09-07-45,45,64,68,62,62,56,56,53,0,56,0
09-07-55,45,63,67,62,62,56,56,54,0,56,0
09-08-05,46,63,67,62,62,56,55,53,0,56,0
09-08-15,45,64,67,62,62,56,55,54,0,56,0
09-08-25,45,64,67,62,62,55,54,54,0,55,0
09-08-35,45,64,67,62,62,56,56,54,0,56,0
09-08-45,45,64,67,62,62,56,56,53,0,56,0
09-08-55,45,64,67,62,62,56,56,53,0,55,0
09-09-05,44,64,68,62,62,56,55,54,0,55,0
09-09-15,45,64,67,62,62,56,56,54,0,56,0
09-09-25,45,63,67,62,62,56,55,53,0,56,0
09-09-35,45,64,68,62,62,56,56,53,0,56,0
09-09-45,44,64,67,62,62,56,55,54,0,55,0
09-09-55,45,64,67,62,62,56,55,54,0,56,0
09-10-05,45,64,68,62,62,56,56,54,0,56,0
09-10-15,45,64,67,62,62,56,56,54,0,56,0
09-10-25,44,64,68,62,62,56,55,54,0,56,0
09-10-35,45,64,67,62,62,56,56,54,0,56,0
09-10-45,45,65,67,62,62,56,56,53,0,56,0
09-10-55,44,64,67,62,62,56,56,54,0,56,0
09-11-05,45,64,67,63,62,56,55,54,0,56,0
09-11-15,45,63,67,63,62,56,55,54,0,56,0
09-11-25,45,64,67,62,62,56,55,53,0,56,0
09-11-35,45,64,68,62,62,56,56,53,0,56,0
09-11-45,45,64,68,62,62,56,55,54,0,56,0
09-11-55,44,64,67,62,62,56,56,54,0,55,0
09-12-05,45,64,67,62,62,56,55,53,0,56,0
09-12-15,44,64,67,62,62,55,55,54,0,56,0
09-12-25,45,64,67,62,62,55,55,54,0,56,0
09-12-35,44,64,67,63,62,56,56,54,0,56,0
09-12-45,44,64,67,62,62,56,55,53,0,56,0
09-12-55,45,64,67,62,62,56,55,54,0,56,0
09-13-05,44,64,67,62,63,56,54,53,0,56,0
09-13-15,45,64,67,62,62,56,56,53,0,56,0
09-13-25,45,64,67,62,62,55,56,54,0,56,0
09-13-35,44,64,67,62,62,55,55,54,0,56,0
09-13-45,45,64,67,62,62,56,56,54,0,56,0
09-13-55,45,64,68,63,62,56,56,54,0,56,0
09-14-05,44,64,67,63,62,56,55,54,0,56,0
09-14-15,45,64,68,62,62,56,55,54,0,56,0
09-14-25,45,63,67,62,62,56,55,53,0,56,0
09-14-35,45,64,67,63,62,55,55,53,0,56,0
09-14-45,45,64,67,62,62,56,56,53,0,56,0
09-14-55,45,64,67,62,62,56,55,53,0,56,0
09-15-05,44,64,67,62,62,56,56,53,0,56,31
09-15-15,45,64,67,62,62,55,56,53,0,56,0
09-15-25,44,64,67,62,62,56,55,54,0,56,32
09-15-35,45,64,67,62,62,56,56,54,0,56,44
09-15-45,46,64,67,63,62,56,55,53,0,55,46
09-15-55,46,64,67,62,62,56,56,54,0,56,47
09-16-05,47,63,67,62,62,56,55,53,0,56,39
09-16-15,48,64,67,62,62,56,54,54,0,56,37
09-16-25,56,64,67,62,61,56,56,54,0,56,37
09-16-35,58,63,67,62,61,56,54,54,0,56,36
09-16-45,57,63,68,62,61,56,56,54,0,56,34
09-16-55,57,64,68,62,62,57,56,53,0,56,35
09-17-05,59,63,68,62,62,55,56,56,0,56,37
09-17-15,58,64,67,62,61,55,56,55,0,56,45
09-17-25,57,64,68,62,61,55,56,55,0,55,38
09-17-35,52,64,68,62,62,55,56,52,0,55,45
09-17-45,47,64,68,63,62,55,55,38,0,57,46
09-17-55,47,64,67,62,61,55,56,0,0,56,43
09-18-05,51,64,67,63,62,56,55,0,0,56,40
09-18-15,50,64,67,63,62,55,55,0,0,56,42
09-18-25,40,64,68,62,61,56,55,0,0,55,52
09-18-35,40,64,67,62,62,55,54,0,0,56,44
09-18-45,41,63,67,63,62,56,55,0,0,55,41
09-18-55,40,64,67,62,62,56,54,0,0,55,34
09-19-05,36,64,68,63,62,56,54,0,0,55,39
09-19-15,41,64,67,62,62,55,53,0,0,55,43
09-19-25,34,64,67,63,62,56,54,0,0,56,34
09-19-35,39,64,67,63,62,56,54,0,0,56,34
09-19-45,36,63,68,62,62,56,54,0,0,56,38
09-19-55,38,63,68,62,62,57,56,0,0,55,32
09-20-05,34,64,66,62,63,58,55,0,0,56,0
09-20-15,0,64,67,63,63,57,58,0,0,56,42
09-20-25,0,64,67,62,63,57,56,0,0,56,39
09-20-35,0,64,66,62,62,57,56,0,0,56,39
09-20-45,0,64,68,63,62,56,54,0,0,56,35
09-20-55,0,62,67,62,62,56,56,0,0,57,34
09-21-05,0,64,67,63,62,57,58,0,0,57,40
09-21-15,0,63,68,62,62,57,56,0,0,56,39
09-21-25,0,63,67,62,63,57,56,0,0,55,41
09-21-35,0,63,67,62,62,57,56,0,0,56,40
09-21-45,0,64,67,62,61,56,56,0,0,56,39
09-21-55,0,63,67,60,62,55,36,0,0,57,44
09-22-05,0,63,67,64,55,57,37,0,0,57,41
09-22-15,31,63,68,65,55,57,0,0,0,57,44
09-22-25,34,63,69,64,54,57,37,0,0,55,41
09-22-35,32,63,69,64,55,57,41,0,0,55,34
09-22-45,33,62,69,64,56,57,35,0,0,55,41
