date,Alice,Bob,Chris,Dave,Eliza,George,Helen,Ivan,Jack,Kelly,Linda,Meg,Noah,Oscar,Peter,Quinn
09-00-05,0,59,44,43,47,0,42,32,63,41,0,0,32,56,48,38
09-01-05,0,58,40,51,43,0,41,32,62,46,0,0,0,57,46,38
09-02-05,0,58,39,50,43,0,41,0,62,46,0,0,0,57,47,38
09-03-05,0,58,39,50,42,0,41,32,62,46,0,0,0,57,46,38
09-04-05,0,58,39,51,42,0,39,32,62,46,0,32,0,57,46,38
09-05-05,0,58,39,51,43,0,41,32,62,46,0,32,0,57,46,38
09-06-05,0,58,39,51,43,0,40,32,62,46,0,0,0,56,46,38
09-07-05,0,58,39,50,43,0,40,32,62,46,0,0,0,57,46,38
09-08-05,0,58,39,51,43,0,40,32,62,46,0,0,0,57,46,37
09-09-05,0,58,39,50,43,0,41,32,62,46,0,0,0,57,47,38
09-10-05,0,58,39,50,43,0,41,32,62,46,0,0,0,57,47,38
09-11-05,0,58,39,51,43,0,40,32,62,45,0,0,0,57,47,37
09-12-05,0,58,39,51,43,0,40,33,62,46,0,0,0,56,46,37
09-13-05,0,58,39,50,43,0,41,32,62,46,0,0,0,57,47,37
09-14-05,0,58,39,51,43,0,40,32,63,47,0,0,0,57,47,38
09-15-05,0,58,40,50,43,0,39,33,62,46,0,0,0,56,47,37
09-16-05,0,58,39,50,43,0,40,32,62,46,0,0,0,57,46,37
09-17-05,0,58,39,51,43,0,40,32,63,46,0,0,0,57,47,37
09-18-05,0,58,40,50,43,0,40,32,62,46,0,0,0,57,47,37
09-19-05,0,58,38,49,43,0,40,32,62,46,0,44,0,57,47,37
09-20-05,0,58,40,48,42,0,41,33,63,47,0,36,0,57,46,38
09-21-05,0,58,41,51,41,0,42,0,63,46,0,37,0,57,47,37
09-22-05,0,59,40,51,43,0,41,0,61,46,0,39,0,57,43,37
09-23-05,0,58,43,49,40,0,41,0,63,44,0,0,0,57,46,36
09-24-05,0,58,42,49,42,0,44,0,63,46,0,0,0,56,46,37
09-25-05,0,58,42,48,44,0,42,0,62,46,0,37,0,55,32,38
09-26-05,0,58,41,49,45,0,44,0,63,37,0,38,0,58,0,38
09-27-05,0,58,34,47,36,0,39,0,63,45,0,45,0,59,0,38
09-28-05,0,58,41,49,40,0,33,0,32,43,0,41,0,58,0,39
09-29-05,0,58,45,48,0,0,0,0,0,46,0,33,0,58,0,39
09-30-05,0,57,47,51,0,0,0,0,0,46,0,0,0,58,0,37
09-31-05,0,58,44,50,0,0,0,0,0,45,0,35,0,50,0,38
09-32-05,0,58,43,49,0,0,32,0,0,45,0,0,0,47,0,39
09-33-05,0,59,44,51,0,0,35,0,0,44,0,0,0,44,0,38
09-34-05,0,58,43,51,0,0,0,0,0,45,0,34,0,43,0,39
09-35-05,0,58,44,50,0,0,0,0,38,45,0,0,0,43,0,38
09-36-05,0,58,46,37,0,0,0,0,38,32,0,32,0,50,0,39
09-37-05,0,59,43,0,0,0,0,0,0,33,0,32,0,53,0,40
09-38-05,0,59,44,0,0,0,40,0,0,32,0,0,0,55,0,40
09-39-05,0,60,33,0,0,0,32,0,0,0,0,32,0,54,0,39
09-40-05,0,59,0,0,0,0,0,0,0,0,0,0,0,53,0,39
09-41-05,0,0,0,0,0,0,32,0,0,0,0,33,0,51,0,40
09-42-05,0,58,33,0,0,0,34,0,0,0,0,0,0,49,0,40
09-43-05,0,0,32,0,0,0,34,0,0,0,0,34,0,47,0,0
