date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-00-05,0,63,44,35,36,48,49,0,58,53,0
09-01-05,0,62,44,36,35,47,50,0,58,53,0
09-02-05,0,63,45,35,37,48,50,31,58,53,0
09-03-05,0,63,44,37,34,48,49,0,58,52,0
09-04-05,0,63,44,35,35,48,50,0,58,53,0
09-05-05,0,62,45,36,35,47,49,31,58,53,0
09-06-05,0,63,45,35,35,48,49,0,58,53,0
09-07-05,0,62,44,35,34,48,49,0,58,52,0
09-08-05,0,62,44,36,33,48,50,31,58,53,0
09-09-05,0,63,43,36,33,48,49,31,58,53,0
09-10-05,0,62,44,36,34,48,49,0,58,53,0
09-11-05,0,62,43,36,32,47,49,0,58,53,0
09-12-05,0,62,43,36,33,48,49,31,58,52,0
09-13-05,0,63,44,35,34,47,49,0,58,52,0
09-14-05,0,63,43,36,35,48,50,31,58,53,0
09-15-05,0,63,43,36,33,47,49,31,58,53,0
09-16-05,0,63,43,35,34,48,49,0,58,53,0
09-17-05,0,62,43,35,34,47,50,0,58,53,0
09-18-05,0,63,43,35,35,47,50,0,58,53,0
09-19-05,0,62,43,36,36,48,49,31,58,53,0
09-20-05,0,63,43,36,37,46,49,0,58,53,0
09-21-05,0,63,47,35,35,44,43,0,58,53,0
09-22-05,0,62,48,35,35,44,47,0,57,53,0
09-23-05,0,62,48,38,37,47,39,31,57,53,0
09-24-05,0,62,49,36,39,46,33,32,57,53,0
09-25-05,0,62,47,37,38,43,0,32,58,53,0
09-26-05,0,62,47,38,34,42,0,31,58,53,0
09-27-05,0,62,47,39,40,47,0,32,0,54,0
09-28-05,0,62,48,39,39,46,0,32,0,55,0
09-29-05,0,62,45,38,34,40,0,32,0,53,0
09-30-05,0,62,46,36,35,35,0,32,0,53,0
09-31-05,0,62,48,38,36,37,0,32,0,53,0
09-32-05,0,62,46,37,34,43,0,0,0,53,0
09-33-05,0,62,45,37,0,39,0,0,0,53,0
09-34-05,0,62,42,37,0,38,0,0,0,52,0
09-35-05,0,62,47,37,0,40,0,0,0,53,0
09-36-05,0,62,50,0,0,40,0,0,0,53,0
09-37-05,0,62,50,31,0,37,0,0,0,53,0
09-38-05,0,62,51,0,0,39,0,0,0,53,31
09-39-05,0,62,50,0,0,37,0,0,0,53,0
09-40-05,0,62,51,0,0,38,0,0,0,53,32
09-41-05,0,34,34,0,0,32,0,0,0,0,0
09-42-05,0,0,0,39,0,31,34,0,0,0,0
09-43-05,0,37,0,0,0,0,33,0,0,0,0
09-44-05,0,0,0,0,0,33,0,0,0,0,0
09-45-05,0,0,34,0,0,0,0,0,0,0,0
09-46-05,0,0,0,0,0,0,0,0,0,0,0
09-47-05,0,0,0,0,0,0,0,0,0,0,0
