date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary
Erin,09-00-05,0,59,40,32,31,54,41,0,0,43,0
09-01-05,0,59,39,33,31,54,42,0,0,43,0
09-02-05,0,60,39,33,0,54,41,0,0,43,0
09-03-05,0,59,37,36,32,54,39,0,32,40,0
09-04-05,0,59,42,33,0,55,38,0,0,44,0
09-05-05,0,59,41,33,31,54,37,0,0,45,0
09-06-05,0,59,40,35,32,54,37,0,0,43,0
09-07-05,0,58,36,0,31,41,46,0,32,45,0
09-08-05,0,58,36,0,31,42,45,0,32,45,0
09-09-05,0,57,37,33,33,45,46,32,32,46,0
09-10-05,0,57,32,0,31,53,47,32,0,46,0
09-11-05,0,58,37,0,31,53,49,31,0,44,0
09-12-05,0,57,37,31,31,52,49,31,0,45,0
09-13-05,0,58,37,31,31,52,49,0,0,45,0
09-14-05,0,57,36,31,31,52,49,31,0,45,0
09-15-05,0,57,38,31,0,53,48,31,0,45,0
09-16-05,0,58,37,31,31,53,49,0,0,45,0
09-17-05,0,57,38,0,31,52,48,0,0,45,0
09-18-05,0,57,37,31,31,53,49,0,0,45,0
09-19-05,0,58,37,31,31,53,49,0,0,45,0
09-20-05,0,58,38,31,32,53,49,31,0,45,0
09-21-05,0,58,36,31,31,53,48,31,0,45,0
09-22-05,0,57,37,31,31,52,47,31,0,44,0
09-23-05,0,58,39,31,0,53,32,31,0,44,0
09-24-05,0,58,37,32,31,52,0,0,0,45,0
09-25-05,0,58,39,31,32,52,0,31,0,45,0
09-26-05,0,58,39,31,31,53,0,31,0,45,0
09-27-05,0,57,41,32,31,52,0,31,0,45,0
09-28-05,0,57,43,33,35,48,0,31,32,44,0
09-29-05,0,57,43,33,36,33,0,0,32,43,0
09-30-05,0,57,41,34,32,42,0,0,32,32,0
09-31-05,0,56,43,33,36,42,0,0,32,0,0
09-32-05,0,56,49,33,38,54,0,0,0,0,0
09-33-05,0,57,49,33,37,56,35,0,0,0,0
09-34-05,0,57,51,35,36,56,0,0,0,0,0
09-35-05,0,57,47,34,37,57,0,0,0,0,0
09-36-05,0,57,43,34,0,57,0,0,0,0,0
09-37-05,0,57,45,34,33,56,0,0,0,0,0
09-38-05,0,56,48,32,0,35,0,31,0,0,0
09-39-05,0,57,47,34,0,41,0,0,0,0,0
09-40-05,0,57,48,33,0,0,0,0,0,0,0
09-41-05,0,57,49,0,0,0,0,33,0,0,0
09-42-05,0,57,49,45,0,0,0,0,0,0,0
09-43-05,0,43,45,0,31,0,0,0,0,0,0
09-44-05,0,36,43,0,0,0,0,0,0,0,0
09-45-05,0,34,42,0,31,0,0,0,0,0,0
09-46-05,0,36,42,0,0,0,0,0,0,0,0
09-47-05,0,35,45,0,31,33,0,0,0,0,0
09-48-05,0,39,45,0,0,0,0,0,0,0,0
09-49-05,0,34,37,38,0,0,0,0,0,0,0
09-50-05,0,35,41,0,0,0,0,0,0,0,0
09-51-05,0,34,0,0,0,0,0,0,0,0,0
09-52-05,0,34,0,31,0,0,0,0,0,0,0
09-53-05,0,35,0,35,0,0,0,0,0,0,0
09-54-05,0,35,0,0,0,0,0,0,0,0,0
09-55-05,0,31,0,0,0,0,0,0,0,0,0
09-56-05,0,0,0,0,0,0,0,0,0,35,0
09-57-05,0,0,0,32,0,0,32,0,0,35,0
09-58-05,0,0,0,0,0,0,0,0,0,35,0
09-59-05,0,0,0,32,0,0,31,0,0,34,0
10-00-05,0,0,0,34,0,0,0,0,0,35,0
10-01-25,0,0,0,0,0,0,32,0,0,31,0
10-02-05,0,0,0,0,0,0,34,0,0,45,0
10-03-05,0,0,0,0,0,0,31,0,0,34,0
10-04-25,0,0,0,33,0,0,0,0,0,0,0
10-05-05,0,0,0,0,0,0,31,0,0,38,0
10-06-05,0,0,0,31,0,0,0,0,0,34,0
10-07-05,0,0,0,32,0,0,0,0,0,31,0
10-08-05,0,31,37,38,32,32,0,0,0,0,0
10-09-05,0,32,0,0,0,0,0,0,0,0,0
10-10-35,0,31,0,0,0,0,0,0,0,0,0
10-11-15,0,32,0,0,0,33,0,0,0,32,0
10-12-05,41,0,0,0,0,31,0,0,0,0,0
10-13-05,35,0,0,0,36,39,0,0,0,0,0
10-14-15,0,0,0,0,0,33,0,0,0,0,0
10-15-05,0,0,0,0,0,37,0,0,0,0,0
10-16-05,0,0,0,0,0,32,0,0,0,0,0
10-17-05,0,0,0,0,31,0,0,0,0,0,0
10-18-05,33,0,0,0,0,0,0,0,0,0,0
10-19-05,0,0,0,0,0,35,0,0,0,0,31
10-20-05,0,0,0,0,0,32,0,0,0,0,0
10-21-05,0,31,0,0,33,0,0,0,0,0,0
10-22-05,0,0,0,0,31,34,0,0,0,0,0
10-23-05,0,0,0,0,0,0,0,0,0,0,34
10-24-05,0,0,0,0,33,0,0,0,0,0,0
10-25-05,0,31,0,0,0,0,0,0,0,0,31
10-26-05,0,0,0,0,0,34,0,0,0,0,0
10-27-15,0,0,0,0,0,32,0,0,0,0,0
10-28-05,0,0,33,31,0,0,0,0,0,0,0
10-29-05,0,0,34,31,0,0,0,0,0,0,0
10-30-05,0,0,35,33,0,31,0,0,0,0,40
10-31-05,0,0,36,0,0,31,0,0,0,0,31
10-32-05,0,0,32,0,0,33,0,0,0,0,0
10-33-05,0,0,0,0,0,0,0,0,0,0,0
10-34-05,0,0,33,0,0,32,0,0,0,0,0
10-35-05,0,0,34,0,32,0,0,0,0,0,31
10-36-05,0,0,36,0,0,0,0,0,0,0,33
10-37-05,0,0,0,0,0,0,35,0,0,0,0
10-38-05,0,0,0,0,0,0,42,0,0,0,0
10-39-05,0,0,0,0,0,0,38,0,0,0,0
10-40-05,0,32,36,34,0,32,0,0,0,0,0
10-41-05,0,0,0,0,0,31,40,0,0,0,0
10-42-05,0,0,0,0,34,0,34,0,0,0,0
10-43-05,0,0,0,0,0,0,35,0,0,0,0
10-44-05,0,0,33,0,31,0,0,0,0,0,31
10-45-05,0,0,0,0,0,0,38,0,0,0,0
10-46-05,0,0,0,0,0,34,0,0,0,0,0
10-47-05,0,31,0,0,0,32,36,0,0,0,32
10-48-05,0,0,0,0,0,35,0,0,0,0,0
10-49-05,0,0,0,0,0,35,0,0,0,0,0
10-50-05,0,0,0,0,0,31,0,0,0,0,0
10-51-15,0,0,0,0,0,0,32,0,0,0,0
10-52-05,0,31,32,0,32,33,32,0,0,0,34
10-54-15,0,0,0,0,35,33,0,0,0,0,0
10-56-15,0,0,36,0,0,32,32,0,0,0,0
10-57-05,0,31,35,0,0,31,37,0,0,0,0
10-58-05,0,33,35,0,0,0,35,0,0,0,34
10-59-05,0,0,0,0,36,0,0,0,0,0,0
11-00-15,0,0,0,0,31,0,0,0,0,0,0
11-01-15,0,0,0,0,31,0,0,0,0,0,0
11-02-15,0,0,0,0,32,0,0,0,0,0,0
11-03-05,0,0,0,0,31,0,0,0,0,0,0
11-04-55,0,0,0,0,33,0,0,0,0,0,0
11-05-15,0,0,0,0,0,0,0,0,0,0,31
11-06-15,0,0,0,0,0,0,0,0,0,0,32
11-07-15,0,0,0,0,0,0,31,0,0,0,0
11-08-05,0,0,0,0,33,0,0,0,0,0,0
11-09-05,0,0,31,0,0,0,0,0,0,0,38
11-10-05,0,0,32,0,0,0,0,0,0,0,0
11-11-05,0,0,0,0,0,0,0,0,0,0,32
11-12-05,0,0,0,0,0,34,0,0,0,0,37
11-13-15,0,0,32,31,0,0,0,0,0,0,32
11-14-05,0,0,37,0,0,31,0,0,0,0,0
11-15-05,0,0,35,0,0,0,0,0,0,0,0
11-16-05,0,31,31,0,0,32,0,0,0,0,0
11-17-05,0,0,31,0,33,0,0,0,0,0,0
11-21-15,0,32,0,0,0,0,0,0,0,0,0
11-22-05,0,0,0,0,31,32,38,0,0,0,31
11-23-05,0,0,0,0,0,0,41,0,0,0,0
11-24-05,0,0,0,0,0,31,31,0,0,0,0
11-25-05,0,0,0,0,0,0,32,0,0,0,0
11-26-05,0,0,0,0,0,33,45,0,0,0,0
11-27-05,0,0,0,0,0,0,32,0,0,33,0
11-28-05,0,0,34,33,0,0,0,0,0,0,0
11-29-05,0,31,0,0,0,0,0,0,0,0,32
11-30-25,0,0,0,0,0,0,34,0,0,0,0
11-31-05,0,0,0,0,32,0,32,0,0,0,0
11-32-05,0,0,0,0,47,36,0,0,0,0,0
11-33-05,0,0,33,42,0,38,0,0,0,33,36
11-34-05,0,0,0,0,0,34,36,0,0,0,0
11-35-05,0,0,0,0,0,0,46,0,0,0,0
11-36-05,0,0,0,0,0,0,0,0,0,32,0
11-37-05,0,0,0,0,0,0,0,0,0,35,0
11-38-05,0,0,0,0,0,0,36,0,0,0,32
11-39-05,0,0,38,46,31,0,0,0,0,0,0
11-40-05,0,0,35,45,0,0,0,0,0,0,0
11-41-05,0,0,38,45,31,0,0,0,0,0,0
11-42-05,0,0,39,41,0,31,0,0,0,0,0
11-43-05,0,0,33,33,0,0,0,0,0,0,0
11-44-05,0,0,39,0,0,0,0,0,0,0,0
11-45-05,0,0,31,34,0,0,0,0,0,0,0
11-46-05,0,0,32,42,0,0,34,0,0,0,0
11-47-05,0,0,41,39,0,0,32,0,0,0,0
11-48-05,0,0,37,0,0,0,31,0,0,0,0
11-49-05,0,0,44,0,0,0,0,0,0,0,0
11-50-15,0,0,0,0,0,31,0,0,0,0,0
11-51-05,0,0,34,0,0,0,0,0,0,0,0
11-52-05,0,0,51,0,32,31,33,0,0,0,0
11-53-05,0,0,37,0,0,0,0,0,0,0,0
11-54-35,0,0,0,0,0,34,0,0,0,0,0
11-55-05,0,0,0,0,0,0,0,0,0,39,0
11-56-05,0,0,0,0,0,0,0,0,0,33,0
11-57-05,0,0,0,0,0,31,36,0,0,0,36
11-58-05,0,0,31,0,0,0,34,0,0,0,0
11-59-05,0,0,41,0,0,42,32,0,0,0,0
12-00-05,0,0,37,0,32,38,33,0,0,0,31
12-01-05,0,0,0,0,0,0,31,0,0,0,0
12-02-05,0,0,0,31,0,0,0,0,0,0,0
12-03-05,0,0,31,0,0,0,0,0,0,0,0
12-04-05,0,0,32,0,0,31,32,0,0,0,0
12-05-35,0,0,0,0,0,32,0,0,0,0,0
12-06-05,0,0,0,0,0,32,0,0,0,0,0
12-07-05,0,0,0,0,0,32,0,0,0,0,0
12-08-05,0,0,0,0,32,0,0,0,0,0,0
12-09-05,0,0,0,0,31,0,0,0,0,0,0
12-10-25,0,0,0,0,0,0,0,0,0,0,31
12-11-25,0,0,0,0,32,0,0,0,0,0,0
12-12-05,0,0,0,0,31,0,0,0,0,0,0
12-13-05,0,0,0,0,32,0,0,0,0,0,0
12-14-05,0,0,34,0,33,32,0,0,0,0,0
12-15-05,0,0,0,0,31,0,0,0,0,0,0
12-16-05,0,0,0,0,31,0,0,0,0,0,0
12-17-05,0,0,0,0,32,0,0,0,0,0,0
12-18-25,0,0,0,31,33,0,0,0,0,0,0
12-19-45,0,0,0,0,34,0,31,0,0,0,0
12-20-05,0,0,0,0,0,0,33,0,0,0,0
12-21-05,0,0,0,0,31,0,31,0,0,0,0
12-22-25,0,0,0,0,0,0,39,0,0,0,0
12-23-05,0,0,0,0,31,0,33,0,0,0,0
12-24-05,0,0,0,0,36,0,0,0,0,0,0
12-25-15,0,0,0,32,0,0,0,0,0,0,0
12-26-05,0,0,0,0,33,0,0,0,0,0,0
12-27-35,0,0,0,0,36,0,0,0,0,0,0
12-28-45,0,0,0,36,0,0,0,0,0,0,0
12-29-05,0,0,34,0,0,0,0,0,0,0,0
12-30-05,0,0,0,43,0,0,0,0,0,0,0
12-31-45,0,0,0,32,0,33,0,0,0,0,0
12-32-05,0,0,0,32,0,35,0,0,0,0,0
12-33-05,0,0,0,0,0,32,0,0,0,0,0
12-34-05,0,0,0,0,0,36,0,0,0,0,0
12-35-05,0,0,0,0,33,0,0,0,0,0,0
12-36-25,0,0,0,0,0,0,0,0,0,0,34
12-37-45,0,0,36,0,0,0,0,0,0,0,0
12-38-15,0,0,35,0,0,0,0,0,0,0,0
12-39-25,0,0,34,0,0,0,0,0,0,0,0
12-40-05,0,0,0,0,0,31,0,0,0,0,0
12-41-05,0,31,32,0,0,0,34,0,0,0,0
12-42-35,0,0,31,0,0,0,33,0,0,0,31
12-43-05,0,0,0,0,0,32,32,0,0,0,31
12-44-05,0,32,34,0,32,31,35,0,0,0,0
12-45-05,0,48,47,34,40,64,50,0,0,0,0
12-46-05,0,49,49,35,40,64,50,0,0,0,0
12-47-05,0,50,48,35,41,64,50,0,0,0,0
12-48-05,0,48,48,34,41,63,48,0,0,0,0
12-49-05,0,49,49,35,40,64,50,0,0,0,0
12-50-05,0,48,49,39,38,63,50,0,0,0,0
12-51-05,0,48,50,40,37,64,49,0,0,0,0
12-52-05,0,47,52,40,38,63,51,0,0,0,0
12-53-05,0,49,51,41,35,63,50,0,0,0,0
12-54-05,0,49,51,41,36,64,49,0,0,0,0
12-55-05,0,48,51,41,35,63,50,0,0,0,0
12-56-05,0,49,50,41,35,64,51,0,0,0,0
12-57-05,0,48,51,42,35,64,50,0,0,0,0
12-58-05,0,47,51,41,36,64,50,0,0,0,0
12-59-05,0,48,51,40,35,64,50,0,0,0,0
13-00-05,0,49,49,40,35,64,51,0,0,0,0
13-01-05,0,47,51,41,35,64,50,0,0,0,0
13-02-05,0,47,51,40,35,64,50,0,0,0,0
13-03-05,0,48,50,41,35,64,50,0,0,0,0
13-04-05,0,49,50,42,36,64,50,0,0,0,0
13-05-05,0,49,52,41,35,64,50,0,0,0,0
13-06-05,0,48,51,41,36,63,51,0,0,0,0
13-07-05,0,49,51,42,35,64,51,0,0,0,0
13-08-05,0,47,50,41,36,64,50,0,0,0,0
13-09-05,0,49,51,41,35,64,50,0,0,0,0
13-10-05,0,48,52,41,36,64,50,0,0,0,0
13-11-05,0,49,50,42,35,64,51,0,0,0,0
13-12-05,0,49,50,41,35,64,51,0,0,0,0
13-13-05,0,48,50,41,35,63,50,0,0,0,0
13-14-05,0,48,49,41,36,63,50,0,0,0,0
13-15-05,0,49,51,41,36,64,50,0,0,0,0
13-16-05,0,49,41,40,38,64,45,0,0,0,0
13-17-05,0,0,35,34,34,0,32,0,0,0,0
13-18-05,0,0,0,0,0,0,33,0,0,0,0
13-19-05,0,0,0,0,0,0,33,0,0,0,0
13-20-05,0,0,0,0,0,0,34,0,0,0,0
13-21-05,0,0,0,32,0,0,51,0,0,0,0
13-22-05,0,0,0,0,0,0,39,0,0,0,0
13-23-15,0,0,0,0,0,0,40,0,0,0,0
13-24-05,0,0,0,0,0,0,32,0,0,0,0
13-25-05,0,0,0,0,0,0,32,0,0,0,0
13-26-05,0,0,0,0,0,0,32,0,0,0,0
13-27-05,0,0,0,0,0,0,35,0,0,0,0
13-28-05,0,32,31,32,0,0,35,0,0,0,0
13-29-15,0,32,34,0,0,0,0,0,0,0,0
13-31-15,0,0,34,0,0,0,0,0,0,0,0
13-32-35,0,0,0,0,0,0,32,0,0,0,0
13-33-15,0,0,31,38,0,0,0,0,0,0,0
13-34-05,0,0,33,0,0,0,31,0,0,0,0
13-35-05,0,0,0,0,0,0,34,0,0,0,0
13-36-05,0,0,0,0,0,0,32,0,0,0,0
13-37-05,0,0,0,0,0,0,33,0,0,0,0
13-38-05,0,0,0,0,0,0,33,0,0,0,0
13-39-05,0,0,0,34,0,0,0,0,0,0,0
13-40-05,0,0,46,0,0,0,0,0,0,0,0
13-41-05,0,0,0,0,0,0,32,0,0,0,0
13-42-15,0,0,31,0,0,0,0,0,0,0,0
13-43-05,0,0,31,0,0,0,0,0,0,0,0
13-44-05,0,0,31,0,0,0,0,0,0,0,0
13-45-05,0,0,0,0,0,0,37,0,0,0,0
13-46-05,0,0,31,0,0,0,0,0,0,0,0
13-47-35,0,0,0,0,0,0,35,0,0,0,0
13-48-35,0,0,0,0,0,0,32,0,0,0,0
13-51-35,0,0,0,0,0,0,35,0,0,0,0
13-52-05,0,0,0,0,0,0,33,0,0,0,0
13-53-05,0,0,0,0,0,0,34,0,0,0,0
13-54-05,0,0,0,0,0,0,34,0,0,0,0
