date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary
Erin,09-00-05,43,46,63,59,57,50,61,40,0,33,0
09-00-15,43,45,63,60,57,49,61,40,0,33,0
09-00-25,43,46,62,59,57,49,62,40,0,33,0
09-00-35,43,47,63,59,57,49,61,40,0,33,0
09-00-45,43,47,63,59,57,49,61,40,0,33,0
09-00-55,43,47,63,58,57,49,62,40,0,33,0
09-01-05,43,47,63,59,57,49,61,40,0,33,0
09-01-15,43,47,63,59,57,49,61,40,0,32,0
09-01-25,43,46,62,60,57,48,61,40,0,33,0
09-01-35,43,46,62,58,57,49,62,40,0,33,0
09-01-45,43,46,63,59,57,48,61,40,0,33,0
09-01-55,43,46,63,59,57,49,62,40,0,33,0
09-02-05,43,46,62,59,57,49,62,40,0,33,0
09-02-15,43,46,63,59,57,49,62,39,0,34,0
09-02-25,43,50,62,58,57,50,62,39,0,35,0
09-02-35,44,46,62,59,57,50,61,40,0,36,0
09-02-45,45,45,60,57,56,50,60,34,0,33,0
09-02-55,43,42,62,58,56,52,61,40,0,34,0
09-03-05,43,45,62,58,56,55,61,39,0,34,0
09-03-15,43,44,61,57,57,56,61,40,0,33,0
09-03-25,44,46,61,58,56,49,60,39,0,36,0
09-03-35,43,47,61,58,57,49,60,38,0,35,0
09-03-45,43,46,61,58,56,49,60,40,0,34,0
09-03-55,43,46,61,57,57,50,60,39,0,34,0
09-04-05,43,46,61,58,57,50,60,40,0,34,0
09-04-15,43,46,62,58,56,49,60,39,0,34,0
09-04-25,43,46,62,57,56,50,60,39,0,34,0
09-04-35,43,46,62,58,57,49,60,39,0,34,0
09-04-45,43,46,61,58,57,50,61,39,0,35,0
09-04-55,43,47,61,58,56,49,60,39,0,35,0
09-05-05,43,46,62,58,56,49,60,40,0,34,0
09-05-15,43,47,62,59,57,49,60,40,0,34,0
09-05-25,43,47,62,58,57,48,60,40,0,35,0
09-05-35,44,46,62,58,57,49,60,40,0,34,0
09-05-45,43,47,61,58,56,49,60,40,0,35,0
09-05-55,43,46,61,58,57,50,60,41,0,34,0
09-06-05,44,46,61,58,56,50,60,41,0,35,0
09-06-15,44,45,59,58,57,50,60,40,0,37,0
09-06-25,44,40,60,57,57,51,61,39,0,35,0
09-06-35,45,36,60,58,56,51,62,35,0,35,0
09-06-45,45,35,60,58,57,51,62,35,0,35,0
09-06-55,45,36,60,59,57,51,62,35,0,35,0
09-07-05,45,35,60,59,57,51,62,35,0,35,0
09-07-15,44,36,60,58,56,51,62,35,0,35,0
09-07-25,45,36,61,58,57,51,61,36,0,35,0
09-07-35,45,36,61,58,57,51,62,35,32,34,0
09-07-45,45,36,61,58,57,51,62,35,0,35,0
09-07-55,45,38,61,58,57,51,62,35,0,35,0
09-08-05,45,36,60,58,57,51,61,35,0,35,0
