date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-00-05,0,67,0,63,67,58,65,61,64,48,43
09-00-15,0,67,0,64,66,57,65,61,65,47,48
09-00-25,0,67,0,63,66,57,65,61,64,46,37
09-00-35,0,67,0,63,66,58,65,61,65,47,40
09-00-45,0,67,0,63,66,57,65,61,65,47,46
09-00-55,0,66,0,63,66,57,65,61,65,53,59
09-01-05,0,67,0,63,66,57,65,61,65,41,59
09-01-15,0,67,0,63,66,57,65,61,65,37,59
09-01-25,0,67,0,63,66,56,65,61,64,49,60
09-01-35,0,67,0,63,66,58,65,61,65,39,59
09-01-45,0,67,0,63,66,57,65,61,65,0,60
09-01-55,0,67,0,63,66,56,65,61,65,0,60
09-02-05,0,67,0,63,66,55,65,61,65,0,61
09-02-15,0,67,0,63,66,55,65,61,65,0,61
09-02-25,0,67,0,63,66,56,65,60,65,0,61
09-02-35,0,67,0,63,66,56,65,60,65,0,59
09-02-45,0,66,0,63,66,56,64,61,65,0,60
09-02-55,0,67,0,63,66,57,64,62,65,0,59
09-03-05,0,67,0,64,66,55,65,61,64,0,60
09-03-15,0,67,0,64,67,55,64,61,65,0,60
09-03-25,0,67,0,63,66,56,64,61,65,0,60
09-03-35,0,67,0,63,67,56,65,61,64,0,60
09-03-45,0,67,0,63,66,56,65,61,65,0,60
09-03-55,0,67,0,63,66,56,64,61,64,0,59
09-04-05,0,67,0,63,66,56,65,61,65,0,60
09-04-15,0,67,0,63,66,55,64,61,65,0,60
09-04-25,0,67,0,63,66,55,65,61,64,0,60
09-04-35,0,67,0,63,66,56,64,61,65,0,61
09-04-45,0,67,0,64,66,56,65,61,65,0,60
09-04-55,0,67,0,63,66,56,64,61,65,0,61
09-05-05,0,66,0,63,66,56,64,61,64,0,59
09-05-15,0,67,0,63,66,57,64,60,66,0,59
09-05-25,0,66,0,63,66,58,65,61,65,0,59
09-05-35,0,64,0,63,66,57,65,61,66,0,60
09-05-45,0,65,0,63,65,57,65,60,66,0,60
09-05-55,0,65,0,63,66,57,64,61,65,0,59
09-06-05,0,64,0,63,65,57,65,61,65,0,60
09-06-15,0,65,0,63,65,57,65,61,65,0,60
09-06-25,0,65,0,63,66,57,64,61,66,0,60
09-06-35,0,64,0,63,66,57,65,61,65,0,60
09-06-45,0,65,0,63,65,56,65,61,65,0,60
09-06-55,0,65,0,63,66,56,65,61,65,0,60
09-07-05,0,65,0,63,66,56,65,61,65,0,60
09-07-15,0,65,0,63,66,56,64,61,65,0,60
09-07-25,0,65,0,63,66,56,64,61,65,0,60
09-07-35,0,65,0,63,66,56,65,61,65,0,60
09-07-45,0,65,0,63,65,56,64,61,65,0,60
09-07-55,0,66,0,63,66,56,64,61,65,0,60
09-08-05,0,65,0,63,66,56,64,61,65,0,60
09-08-15,45,65,0,63,66,56,64,61,65,0,60
09-08-25,0,65,0,63,66,56,65,61,65,0,60
09-08-35,0,65,0,63,66,56,65,60,65,0,61
09-08-45,0,65,0,63,65,56,65,61,66,0,61
09-08-55,0,65,0,63,66,56,65,61,66,0,61
09-09-05,0,64,0,63,66,56,65,61,65,0,61
09-09-15,0,65,0,63,66,56,65,60,65,0,61
09-09-25,0,65,0,63,66,56,65,61,65,0,61
09-09-35,0,66,0,63,66,56,65,61,65,0,61
09-09-45,0,65,0,63,66,56,65,61,65,0,60
09-09-55,0,65,0,63,66,56,66,60,66,0,61
