date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Eleanor,Bodhi,Mary,Erin
09-10-55,71,74,78,0,78,77,84,0,0,0,0
09-11-05,70,74,78,0,78,78,84,0,67,0,0
09-11-15,69,73,78,0,79,78,85,0,75,0,0
09-11-25,69,74,78,0,78,78,85,0,76,64,0
09-11-35,70,73,78,0,78,78,85,0,75,65,0
09-11-45,61,73,78,0,79,78,84,0,76,65,0
09-11-55,38,73,78,0,78,78,84,0,76,52,0
09-12-05,0,73,78,0,78,78,85,0,75,51,0
09-12-15,36,73,78,0,77,78,84,0,35,44,0
09-12-25,34,72,78,0,78,78,84,0,40,45,0
09-12-35,0,73,78,0,77,78,84,0,0,44,0
09-12-45,0,36,39,0,39,37,40,0,0,43,0
09-12-55,0,35,35,0,35,35,36,0,0,41,0
09-13-05,0,35,38,0,35,35,45,0,0,53,0
09-13-15,0,36,40,0,37,37,40,0,0,49,0
09-13-25,0,35,46,0,36,34,42,0,0,57,0
09-13-35,0,36,62,0,35,35,44,0,0,57,0
09-13-45,0,43,62,0,37,52,45,0,0,57,0
09-13-55,0,68,62,0,40,49,44,0,0,58,0
09-14-05,0,68,62,0,36,52,44,0,0,58,0
09-14-15,0,68,62,0,35,51,47,0,0,58,0
09-14-25,0,68,62,0,47,50,43,0,0,57,0
09-14-35,0,67,60,0,43,40,46,0,0,59,0
09-14-45,0,65,59,0,45,43,48,0,0,60,0
09-14-55,0,66,60,0,45,43,46,0,0,60,0
09-15-05,0,65,58,0,44,43,47,0,0,60,0
09-15-15,0,67,63,0,40,40,43,0,0,58,0
09-15-25,0,67,63,0,42,43,41,0,0,59,0
09-15-35,0,67,62,0,39,39,42,0,0,58,0
09-15-45,0,67,63,0,39,52,43,0,0,60,0
09-15-55,0,57,58,0,45,54,47,0,0,59,0
09-16-05,0,51,50,0,62,60,60,0,0,54,0
09-16-15,0,51,49,0,61,60,59,0,0,54,0
09-16-25,0,52,50,0,62,60,60,0,0,55,0
09-16-35,0,51,49,0,61,60,60,0,0,54,0
09-16-45,0,52,49,0,61,60,60,0,0,54,0
09-16-55,0,52,50,0,62,60,61,0,0,55,0
09-17-05,0,51,49,0,62,60,60,0,0,55,0
09-17-15,0,51,49,0,62,60,60,0,0,54,0
09-17-25,0,52,50,0,61,60,60,0,0,55,0
09-17-35,0,51,50,0,61,60,60,0,0,54,0
09-17-45,0,51,50,0,61,60,59,0,0,54,0
09-17-55,0,51,53,0,62,58,61,0,0,53,0
09-18-05,0,52,53,0,62,58,60,0,0,53,0
09-18-15,0,51,53,0,62,58,59,0,0,51,0
09-18-25,0,51,50,0,62,59,58,0,0,53,0
09-18-35,0,48,49,0,61,55,56,0,0,53,0
09-18-45,0,37,53,0,60,44,57,0,0,38,0
09-18-55,0,38,51,0,61,44,58,0,0,40,0
09-19-05,0,36,51,0,61,44,58,0,0,41,0
09-19-15,0,37,51,0,60,42,58,0,0,40,0
09-19-25,0,36,51,0,60,42,58,0,0,40,0
09-19-35,0,37,50,0,60,44,58,0,0,41,0
09-19-45,0,37,51,0,60,49,57,0,0,42,0
09-19-55,0,37,51,0,60,51,57,0,0,41,0
09-20-05,0,40,47,0,57,49,56,0,0,43,0
09-20-15,0,38,43,0,35,35,35,0,0,36,0
09-20-25,0,38,37,0,35,34,35,0,0,36,0
09-20-35,0,37,37,0,34,34,35,0,0,36,0
09-20-45,0,36,38,0,34,34,36,0,0,35,0
09-20-55,0,36,39,0,35,34,35,0,0,36,0
09-21-05,0,35,40,0,35,35,35,0,0,36,0
