date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin
09-00-05,42,49,0,0,41,59,59,0,0,29,0
09-01-05,42,50,0,0,41,59,58,0,0,29,0
09-02-05,42,49,0,0,41,59,59,0,0,29,0
09-03-05,42,49,0,0,41,59,59,0,0,29,0
09-04-05,42,50,0,0,41,59,59,0,0,29,0
09-05-05,42,50,0,0,41,59,59,0,0,29,0
09-06-05,43,50,0,0,41,59,59,0,0,29,0
09-07-05,42,50,0,0,41,59,59,0,0,29,0
09-08-05,42,50,0,0,41,59,59,0,0,29,0
09-09-05,42,50,0,0,40,59,59,0,0,29,0
09-10-05,42,50,0,0,41,59,59,0,0,29,0
09-11-05,43,50,0,0,41,59,59,0,0,29,0
09-12-05,42,49,0,0,40,59,59,0,0,29,0
09-13-05,42,49,0,0,40,59,59,0,0,29,0
09-14-05,42,50,0,0,40,59,59,0,0,29,0
09-15-05,43,50,0,0,40,59,59,0,0,29,0
09-16-05,43,49,0,0,41,59,59,0,0,29,0
09-17-05,43,49,0,0,41,59,59,0,0,29,0
09-18-05,42,49,0,0,40,59,59,0,0,29,0
09-19-05,43,49,0,0,40,59,59,0,0,29,0
09-20-05,43,50,0,0,40,59,59,0,0,30,0
09-21-05,30,35,0,0,30,31,35,0,0,31,0
09-22-05,0,0,0,0,29,0,0,0,0,31,0
09-23-35,0,0,0,0,0,0,30,0,0,0,0
09-24-05,0,0,0,0,33,29,0,0,0,0,0
09-25-05,0,0,0,0,0,0,35,0,0,0,0
09-27-25,0,0,0,0,0,0,29,0,0,0,0
09-28-55,0,0,0,0,29,0,0,0,0,0,0
09-35-15,0,0,0,0,0,40,0,0,0,0,0
09-36-15,31,29,0,0,0,29,0,0,0,0,0
09-37-05,0,0,0,0,0,29,0,0,0,0,0
09-40-45,0,0,0,0,0,0,29,0,0,0,0
09-41-15,0,0,0,0,0,0,32,0,0,0,0
09-42-15,0,0,0,0,0,0,34,0,0,0,0
09-44-15,0,0,0,0,0,0,33,0,0,0,0
09-45-05,0,0,0,0,0,0,29,0,0,0,0
09-46-25,0,0,0,0,0,0,30,0,0,0,0
09-47-25,0,0,0,0,0,0,34,0,0,0,0
09-50-45,0,0,0,0,0,0,29,0,0,0,0
09-51-05,0,0,0,0,0,0,33,0,0,0,0
09-57-55,0,0,0,0,0,0,0,0,0,32,0
09-58-45,0,0,0,0,0,0,30,0,0,0,0
09-59-05,0,0,0,0,0,0,31,0,0,0,0
10-00-05,0,0,0,0,0,0,29,0,0,0,0
10-02-05,0,0,0,0,0,0,29,0,0,0,0
10-04-55,0,0,0,0,0,0,29,0,0,0,0
10-05-05,0,0,0,0,0,0,29,0,0,0,0
10-06-15,0,0,0,0,0,0,30,0,0,0,0
10-07-05,0,0,0,0,0,0,29,0,0,0,0
10-08-05,0,0,0,0,0,0,29,0,0,0,0
10-12-55,0,0,0,0,0,0,30,0,0,0,0
10-13-15,0,0,0,0,0,0,30,0,0,0,0
10-14-05,0,0,0,0,0,0,30,0,0,0,0
