date,Bob,Chris,Dave,Eliza,Fred,George,Helen,Ivan,Jack,Kelly,Linda,Meg,Noah,Oscar,Peter
09-03-00,0,0,32,0,0,35,0,0,0,0,0,0,0,32,32,0
09-04-00,0,0,32,0,0,35,0,0,0,0,0,0,0,32,0,0
09-05-00,0,0,31,0,0,37,0,0,0,0,0,0,0,32,0,0
09-06-00,0,0,32,0,0,37,0,0,0,0,0,0,0,32,0,0
09-07-00,0,0,32,0,0,37,0,0,0,0,0,0,0,32,0,0
09-08-00,0,0,32,0,0,37,0,0,0,0,0,0,0,32,0,0
09-09-00,0,0,32,0,0,37,0,0,0,0,0,0,0,32,0,0
09-10-00,0,0,31,0,0,37,0,0,0,0,0,0,0,32,0,0
09-11-00,0,0,32,0,0,37,0,0,0,0,0,0,0,32,0,0
09-12-00,0,0,31,0,0,37,0,0,0,0,0,0,0,33,0,0
09-13-00,0,0,32,0,0,37,0,0,0,0,0,0,0,32,0,0
09-14-00,0,0,32,0,0,37,0,0,0,0,0,0,0,33,0,0
09-15-00,0,0,32,0,0,36,0,0,0,0,0,0,0,32,0,0
09-16-00,0,0,32,0,0,36,0,0,0,0,0,0,0,33,0,0
09-17-00,0,0,31,0,0,36,0,0,0,0,0,0,0,32,0,0
09-18-00,0,0,32,0,0,34,0,0,0,0,0,0,0,33,0,0
09-19-00,0,0,32,0,0,34,0,0,0,0,0,0,0,33,0,0
09-20-00,0,0,31,0,0,33,0,0,0,0,0,0,0,33,0,0
09-21-00,0,0,31,0,0,34,0,0,0,0,0,0,0,33,0,0
09-22-00,0,0,31,0,0,32,0,0,0,0,0,0,0,32,0,0
09-23-00,0,0,32,0,0,35,0,0,0,0,0,0,0,33,0,0
09-24-00,0,0,31,0,0,41,0,0,0,0,0,0,0,33,0,0
09-25-00,0,0,0,0,0,40,0,0,0,0,0,0,0,33,0,0
09-26-00,0,0,32,0,0,38,0,0,0,0,0,0,0,0,0,0
09-27-00,0,0,33,0,0,43,0,0,0,0,0,0,0,0,0,0
09-28-00,0,0,32,0,0,42,0,0,0,0,0,0,0,31,0,0
09-29-00,0,0,32,0,0,43,0,0,0,0,0,0,0,0,0,0
09-30-00,0,0,33,0,0,43,0,0,0,0,0,0,0,0,0,0
09-31-00,0,0,32,0,0,43,0,0,0,0,0,0,0,0,0,0
09-32-00,0,0,33,0,0,43,0,0,0,0,0,0,0,32,0,0
09-33-00,0,0,32,0,0,43,0,0,0,0,0,0,0,32,0,0
09-34-00,0,0,32,0,0,45,0,0,0,0,0,0,0,32,0,0
09-35-00,0,0,32,31,0,44,0,0,0,0,0,0,0,0,0,0
09-36-00,0,0,32,0,0,45,0,0,0,0,0,0,0,0,0,0
09-37-00,0,0,32,0,0,44,0,0,0,0,0,0,0,0,0,0
09-38-00,0,0,32,0,0,44,0,0,0,0,0,0,0,0,0,0
09-39-00,0,0,32,0,0,49,0,0,0,0,0,0,0,0,0,0
09-40-00,0,0,32,0,0,49,0,0,0,0,0,0,0,0,0,0
09-41-00,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
09-43-00,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-44-00,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-51-00,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
10-16-00,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-17-00,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-18-00,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
10-23-00,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
10-26-00,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
10-40-00,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
10-41-00,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
10-44-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-49-00,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
10-50-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-56-00,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
10-57-00,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
10-58-00,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
10-59-00,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-00-00,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
11-02-00,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
11-03-00,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
11-04-00,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
11-05-00,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
11-07-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
11-18-00,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
11-20-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
11-24-00,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
11-32-00,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
11-33-00,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
11-38-00,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
11-40-00,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
11-41-00,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
11-42-00,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
11-51-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
11-55-00,0,0,31,0,0,40,0,0,0,0,0,0,0,0,0,0
11-56-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
11-57-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
11-58-00,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
12-01-00,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
12-02-00,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
12-03-00,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
12-04-00,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
12-13-00,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
12-30-00,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
12-33-00,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
12-34-00,0,0,0,42,0,0,0,0,0,0,0,0,0,0,31,0
12-36-00,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
12-37-00,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
12-38-00,0,0,33,0,0,0,0,0,0,0,0,0,0,33,0,0
12-39-00,0,0,38,0,0,0,0,0,0,0,0,0,0,32,0,0
12-40-00,0,0,38,0,0,0,0,0,0,0,0,0,0,34,0,0
12-41-00,0,0,38,0,0,34,0,0,0,0,0,0,0,34,0,0
12-42-00,0,0,38,0,0,34,0,0,0,0,0,0,0,34,0,0
12-43-00,0,0,39,0,0,34,0,0,0,0,0,0,0,34,0,0
12-44-00,0,0,35,0,0,32,0,0,0,0,0,0,0,0,0,0
12-45-00,0,0,35,0,0,32,0,0,0,0,0,0,0,0,0,0
12-46-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
12-47-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
12-48-00,0,0,34,0,0,31,0,0,0,0,0,0,0,31,0,0
12-49-00,0,0,35,0,0,35,0,0,0,0,0,0,0,33,0,0
12-50-00,0,0,34,0,0,32,0,0,0,0,0,0,0,0,0,0
12-51-00,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0,0
12-52-00,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0,0
12-53-00,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0,0
12-54-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
12-55-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
12-56-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
12-57-00,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0,0
