date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Silas,Beatrice,Willa
09-00-05,33,0,43,40,0,0,43,31,0,0,0,43,0,51,57,0
09-01-05,0,0,42,39,43,0,44,31,0,0,0,44,0,51,56,0
09-02-05,0,0,42,35,44,0,42,0,0,0,0,45,0,51,57,0
09-03-05,0,0,36,37,32,38,57,32,0,0,0,33,0,48,42,0
09-04-05,0,0,36,38,31,39,57,31,0,0,0,35,0,46,44,0
09-05-05,0,0,34,38,37,38,57,32,0,0,0,41,0,32,45,0
09-06-05,0,0,33,38,35,37,57,32,0,0,0,0,0,33,46,0
09-07-05,0,0,34,38,35,38,57,32,0,0,0,0,0,33,46,0
09-08-05,0,0,35,38,35,37,57,32,0,0,0,0,0,33,46,0
09-09-05,0,0,34,38,35,37,57,32,0,0,0,0,0,33,46,0
09-10-05,0,0,34,38,35,37,57,32,0,0,0,0,0,33,46,0
09-11-05,0,0,35,38,35,38,57,32,0,0,0,0,0,33,46,0
09-12-05,0,0,35,38,35,37,57,32,0,0,0,0,0,33,46,0
09-13-05,0,0,35,38,35,37,57,32,0,0,0,0,0,34,46,0
09-14-05,0,0,35,38,0,37,57,32,0,0,0,0,0,33,46,0
09-15-05,0,0,34,38,0,38,57,32,0,0,0,0,0,34,46,0
09-16-05,0,0,34,39,0,38,57,32,0,0,0,0,0,33,46,0
09-17-05,0,0,34,38,0,37,57,32,0,0,0,0,0,32,46,0
09-18-05,0,0,35,38,0,39,57,32,0,0,0,0,0,34,46,0
09-19-05,0,0,35,38,0,38,57,32,0,0,0,0,0,34,46,0
09-20-05,0,0,38,32,0,31,43,31,0,0,0,0,0,0,31,0
09-21-15,0,0,0,0,0,32,31,0,0,0,0,0,0,0,0,0
09-22-05,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
09-23-05,0,0,0,0,0,31,0,0,0,0,0,0,0,32,0,0
09-24-45,0,0,33,0,0,32,32,0,0,0,0,0,0,0,0,0
09-25-05,0,0,0,0,0,31,32,0,0,0,0,0,0,0,0,0
09-26-25,0,0,32,0,0,0,33,0,0,0,0,0,0,0,0,0
09-27-05,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
09-28-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
09-29-15,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
09-30-25,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
09-33-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
09-34-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
09-42-25,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
09-44-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
09-45-55,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
09-46-05,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
09-54-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
09-57-35,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
09-58-05,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
10-00-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
10-01-15,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
10-11-05,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-12-05,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
10-13-15,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
10-14-35,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
10-15-15,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-16-05,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
10-17-25,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
10-18-05,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
10-19-05,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
10-20-45,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
10-21-15,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
10-26-15,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-36-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
10-39-45,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
10-40-25,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-41-25,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
10-42-35,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
10-43-05,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
10-45-05,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
10-49-35,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
10-51-05,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
10-53-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
10-54-35,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
10-59-05,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
11-00-15,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
11-01-35,0,0,33,32,0,0,0,0,0,0,0,0,0,0,0,0
11-02-05,32,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
11-03-15,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-04-15,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-05-25,31,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
11-08-55,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
11-09-05,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
11-11-45,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
11-12-15,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
11-16-25,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
11-17-55,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
11-39-35,0,0,32,0,0,35,0,0,0,0,0,0,0,0,51,0
11-40-35,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
11-46-15,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
11-49-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
11-50-15,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
11-51-05,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
