date,Alice,Bob,Dave,Eliza,Fred,George,Helen,Ivan,Jack,Kelly,Linda,Meg,Noah,Oscar,Peter
09-03-00,31,0,0,55,54,56,51,51,0,0,31,53,34,59,59,0
09-04-00,31,0,0,55,55,57,53,50,0,0,31,52,35,59,60,0
09-05-00,31,0,0,56,56,57,53,50,0,0,31,56,34,60,59,0
09-06-00,31,0,0,55,56,56,53,49,0,0,31,0,35,60,59,0
09-07-00,31,0,0,56,56,56,52,49,0,0,31,0,34,59,60,0
09-08-00,31,0,0,55,57,57,52,50,0,0,31,0,34,59,60,0
09-09-00,31,0,0,54,56,57,53,50,0,0,31,0,33,58,60,0
09-10-00,31,0,0,56,57,56,53,50,0,0,31,0,33,59,60,0
09-11-00,31,0,0,55,56,57,53,50,0,0,31,0,34,59,60,0
09-12-00,31,0,0,55,56,56,53,50,0,0,31,0,33,58,60,0
09-13-00,31,0,0,55,57,58,51,49,0,0,0,0,33,60,60,0
09-14-00,31,0,0,54,31,56,53,49,0,0,31,0,33,59,60,0
09-15-00,31,0,0,55,32,57,51,50,0,0,31,0,33,59,60,0
09-16-00,31,0,0,55,33,57,54,50,0,0,31,0,33,59,61,0
09-17-00,31,0,0,55,31,57,54,50,0,0,31,0,34,59,60,0
09-18-00,32,0,0,55,31,58,51,50,0,0,31,0,34,58,60,0
09-19-00,31,0,0,55,0,56,52,49,0,0,0,0,34,59,61,0
09-20-00,31,0,0,55,0,57,53,47,0,0,31,0,36,58,60,0
09-21-00,31,0,0,55,0,55,53,47,0,0,31,0,0,60,60,0
09-22-00,0,0,0,53,0,56,54,47,0,0,31,0,0,58,60,0
09-23-00,31,0,0,51,0,57,53,48,0,0,0,0,0,60,60,0
09-24-00,31,0,0,52,0,57,55,44,0,0,0,0,0,60,60,0
09-25-00,0,0,0,52,0,57,50,31,0,0,0,0,0,59,60,0
09-26-00,31,0,0,52,0,56,58,0,0,0,31,0,0,57,61,0
09-27-00,32,0,0,31,0,57,60,0,0,0,31,0,0,57,60,0
09-28-00,31,0,0,31,0,58,38,0,0,0,31,0,0,57,64,0
09-29-00,32,0,0,0,0,57,35,0,0,0,31,0,0,57,64,0
09-30-00,32,0,0,0,0,57,0,0,0,0,0,0,0,56,62,0
09-31-00,31,0,0,0,0,57,0,0,0,0,0,0,0,57,39,0
09-32-00,32,0,0,0,0,57,0,33,0,0,0,0,0,57,31,0
09-33-00,32,0,0,0,0,58,0,0,0,0,31,0,0,58,33,0
09-34-00,31,0,0,0,0,50,0,0,0,0,31,0,0,54,34,0
09-35-00,31,0,0,0,0,49,0,0,0,0,0,0,0,54,31,0
09-36-00,31,0,0,0,0,50,0,32,0,0,0,0,0,53,31,0
09-37-00,31,0,0,0,0,51,0,0,0,0,31,0,0,54,0,0
09-38-00,31,0,0,0,0,50,0,0,0,0,31,0,0,54,0,0
09-39-00,31,0,0,0,0,43,0,0,0,0,31,0,0,53,0,0
09-40-00,31,0,0,0,0,44,0,0,0,0,31,0,0,54,0,0
09-41-00,0,0,0,0,0,44,0,0,0,0,31,0,0,54,0,0
09-42-00,0,0,0,0,0,45,32,0,0,0,31,0,0,54,0,0
09-43-00,0,0,0,0,0,40,0,0,0,0,31,0,0,54,31,0
09-44-00,0,0,0,0,0,42,0,0,0,0,31,0,0,51,0,0
09-45-00,0,0,0,0,0,41,0,0,0,0,31,0,0,51,31,0
09-46-00,0,0,0,0,0,42,0,0,0,0,31,0,31,51,34,0
09-47-00,0,0,0,0,0,43,0,0,0,0,0,0,0,49,34,0
09-48-00,0,0,0,0,0,42,0,0,0,0,32,0,0,49,33,0
09-49-00,0,0,0,0,0,42,0,0,0,0,31,0,0,49,37,0
09-50-00,0,0,0,0,0,33,0,0,0,0,31,0,0,48,36,0
09-51-00,0,0,0,34,0,31,0,0,0,0,32,0,0,48,31,0
09-52-00,0,0,0,36,0,0,0,0,0,0,31,0,0,50,32,0
09-53-00,0,0,0,0,0,31,0,0,0,0,31,0,0,32,32,0
09-54-00,0,0,0,33,0,0,0,0,0,0,0,0,0,31,32,0
09-55-00,0,0,0,34,0,0,0,31,0,0,32,0,0,0,33,0
09-56-00,0,0,0,0,0,32,0,0,0,0,32,0,0,0,0,0
09-57-00,0,0,0,36,0,43,0,0,0,0,0,0,0,32,34,0
09-58-00,0,0,0,34,0,33,0,0,0,0,34,0,31,32,31,0
09-59-00,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
