date,Alice,Bob,Chris,Eliza,Fred,George,Helen,Ivan,Jack,Kelly,Linda,Meg,Noah,Oscar,Peter
09-03-00,0,0,55,0,35,38,54,34,0,0,0,51,36,55,51,0
09-04-00,0,0,56,0,35,39,54,35,0,0,0,48,37,55,48,0
09-05-00,0,0,57,0,35,37,53,34,0,0,0,41,37,45,48,0
09-06-00,0,0,56,0,35,39,54,34,0,0,0,0,38,44,49,0
09-07-00,0,0,55,0,34,38,54,34,0,0,0,0,38,44,49,0
09-08-00,0,0,56,0,35,38,54,34,0,0,0,0,37,45,49,0
09-09-00,0,0,56,0,35,38,54,34,0,0,0,0,38,45,50,0
09-10-00,0,0,56,0,35,37,55,34,0,0,0,0,37,44,50,0
09-11-00,0,0,56,0,35,38,54,34,0,0,0,0,37,45,50,0
09-12-00,0,0,57,0,35,38,55,34,0,0,0,0,37,43,50,0
09-13-00,0,0,57,0,36,38,54,34,0,0,0,0,36,44,50,0
09-14-00,0,0,56,0,0,38,54,34,0,0,0,0,37,44,50,0
09-15-00,0,0,56,0,0,38,54,34,0,0,0,0,38,45,49,0
09-16-00,0,0,56,0,34,38,55,34,0,0,0,0,38,45,49,0
09-17-00,0,0,56,0,0,40,54,34,0,0,0,0,38,46,49,0
09-18-00,0,0,56,0,0,41,55,34,0,0,0,0,37,44,50,0
09-19-00,0,0,56,0,0,41,54,34,0,0,0,0,37,45,49,0
09-20-00,0,0,57,0,0,39,54,37,0,0,0,0,34,43,50,0
09-21-00,0,0,56,0,0,39,55,37,0,0,0,0,0,44,50,0
09-22-00,0,0,53,0,0,44,50,36,0,0,0,0,0,48,50,0
09-23-00,0,0,52,0,0,43,53,37,0,0,0,0,0,48,53,0
09-24-00,0,0,53,0,0,41,52,36,0,0,0,0,0,45,51,0
09-25-00,0,0,53,0,0,43,51,0,0,0,0,0,0,46,51,0
09-26-00,0,0,53,0,0,41,52,0,0,0,0,0,0,45,46,0
09-27-00,0,0,34,0,0,35,35,0,0,0,0,0,0,34,35,0
09-28-00,0,0,35,0,0,35,34,0,0,0,0,0,0,35,34,0
09-29-00,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-31-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
09-32-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
09-34-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
09-35-00,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
09-36-00,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-37-00,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-38-00,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-39-00,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-40-00,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
09-41-00,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-43-00,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-44-00,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-45-00,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-46-00,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
09-47-00,0,0,0,0,0,0,0,0,0,0,34,0,0,0,34,0
09-50-00,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
09-51-00,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
09-52-00,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
09-53-00,0,0,0,0,0,0,0,34,0,0,0,0,0,0,35,0
09-54-00,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
09-55-00,0,0,36,0,0,0,0,37,0,0,0,0,0,0,0,0
09-56-00,0,0,34,0,0,0,0,0,0,0,34,0,0,0,0,0
09-57-00,0,0,38,0,0,42,0,0,0,0,0,0,0,0,34,0
09-58-00,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
09-59-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-00-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-01-00,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
10-02-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-04-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-05-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
