date,Alice,Bob,Chris,Dave,Eliza,George,Helen,Ivan,Jack,Kelly,Linda,Meg,Noah,Oscar,Peter
09-03-00,32,0,55,37,32,0,48,42,0,0,0,39,35,51,40,0
09-04-00,32,0,56,36,32,0,49,41,0,0,31,37,35,50,37,0
09-05-00,34,0,55,35,0,0,50,42,0,0,30,34,34,53,36,0
09-06-00,33,0,56,37,30,0,48,41,0,0,31,0,35,53,37,0
09-07-00,34,0,55,36,0,0,48,42,0,0,32,0,34,53,35,0
09-08-00,34,0,55,36,0,0,48,42,0,0,32,0,35,53,36,0
09-09-00,34,0,55,35,30,0,47,42,0,0,34,0,34,54,40,0
09-10-00,34,0,55,35,30,0,47,42,0,0,34,0,34,53,40,0
09-11-00,34,0,55,35,30,0,47,42,0,0,32,0,35,53,41,0
09-12-00,34,0,55,35,30,0,48,43,0,0,33,0,34,53,40,0
09-13-00,34,0,56,36,30,0,49,43,0,0,33,0,34,53,39,0
09-14-00,34,0,55,35,0,0,49,42,0,0,33,0,34,53,35,0
09-15-00,33,0,56,35,0,0,48,42,0,0,33,0,35,53,35,0
09-16-00,33,0,56,35,0,0,48,42,0,0,32,0,35,52,36,0
09-17-00,34,0,55,36,29,0,48,42,0,0,31,0,35,53,37,0
09-18-00,31,0,56,39,32,0,49,42,0,0,30,0,35,53,35,0
09-19-00,31,0,56,39,0,0,49,42,0,0,33,0,34,52,36,0
09-20-00,30,0,55,35,0,0,47,41,0,0,33,0,29,52,35,0
09-21-00,31,0,53,37,0,0,48,40,0,0,0,0,0,53,35,0
09-22-00,30,0,56,42,0,0,46,40,0,0,34,0,0,49,39,0
09-23-00,32,0,56,41,0,0,48,41,0,0,30,0,0,53,35,0
09-24-00,38,0,56,40,0,0,48,38,0,0,31,0,0,55,38,0
09-25-00,37,0,55,39,0,0,49,32,0,0,30,0,0,56,38,0
09-26-00,35,0,55,38,0,0,48,0,0,0,31,0,0,56,40,0
09-27-00,39,0,56,33,0,0,50,0,0,0,30,0,0,57,45,0
09-28-00,39,0,57,31,0,0,37,29,0,0,30,0,0,58,49,0
09-29-00,39,0,56,0,0,0,35,0,0,0,30,0,0,57,48,0
09-30-00,39,0,56,0,0,0,0,0,0,0,0,0,0,57,45,0
09-31-00,39,0,56,0,0,0,0,0,0,0,30,0,0,57,42,0
09-32-00,39,0,56,0,0,0,0,0,0,0,30,0,0,56,32,0
09-33-00,39,0,57,0,0,0,0,0,0,0,0,0,0,57,0,0
09-34-00,41,0,49,0,0,0,0,0,0,0,31,0,0,56,35,0
09-35-00,40,0,48,0,0,0,0,0,0,0,30,0,0,56,0,0
09-36-00,41,0,49,0,0,0,0,0,0,0,33,0,0,57,32,0
09-37-00,41,0,50,0,0,0,0,0,0,0,33,0,0,57,0,0
09-38-00,41,0,49,0,0,0,0,0,0,0,32,0,0,57,0,0
09-39-00,45,0,43,0,0,0,0,0,0,0,31,0,0,55,29,0
09-40-00,45,0,43,0,0,0,0,0,0,0,30,0,0,54,0,0
