date,Alice,Bob,Chris,Dave,Eliza,Fred,George,Ivan,Jack,Kelly,Linda,Meg,Noah,Oscar,Peter
09-03-00,0,0,52,34,37,45,57,0,0,0,0,37,33,40,48,0
09-04-00,0,0,52,35,38,45,56,0,0,0,0,40,33,38,55,0
09-05-00,0,0,53,34,38,46,57,0,0,0,0,45,33,0,54,0
09-06-00,0,0,53,34,38,46,57,0,0,0,0,0,33,0,54,0
09-07-00,0,0,52,34,38,46,56,0,0,0,0,0,33,0,54,0
09-08-00,0,0,52,34,38,45,56,0,0,0,0,0,33,0,54,0
09-09-00,0,0,52,34,37,45,57,0,0,0,0,0,33,0,54,0
09-10-00,0,0,52,34,38,46,57,0,0,0,0,0,33,0,55,0
09-11-00,0,0,52,34,38,46,56,0,0,0,0,0,33,0,54,0
09-12-00,0,0,52,34,38,46,57,0,0,0,0,0,33,0,54,0
09-13-00,0,0,52,34,37,46,56,0,0,0,0,0,33,33,54,0
09-14-00,0,0,52,34,0,45,56,0,0,0,0,0,33,0,55,0
09-15-00,0,0,53,34,0,46,56,0,0,0,0,0,33,33,55,0
09-16-00,0,0,52,34,0,45,57,0,0,0,0,0,33,0,54,0
09-17-00,0,0,52,34,0,45,56,0,0,0,0,0,33,0,55,0
09-18-00,0,0,53,34,0,45,57,0,0,0,0,0,33,33,54,0
09-19-00,0,0,52,34,0,46,56,0,0,0,0,0,33,0,54,0
09-20-00,0,0,50,38,0,44,56,0,0,0,0,0,0,39,53,0
09-21-00,0,0,50,38,0,44,57,0,0,0,0,0,0,38,54,0
09-22-00,0,0,51,37,0,44,57,0,0,0,0,0,0,37,54,0
09-23-00,0,0,51,39,0,44,57,0,0,0,0,0,0,40,54,0
09-24-00,0,0,47,37,0,42,48,0,0,0,0,0,0,38,48,0
09-25-00,0,0,34,0,0,35,0,0,0,0,0,0,0,33,33,0
09-27-00,0,0,0,0,0,0,33,0,0,0,0,0,0,0,33,0
09-28-00,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
09-29-00,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-30-00,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0
09-32-00,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
09-33-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
09-34-00,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
09-35-00,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-36-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
09-37-00,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-39-00,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-40-00,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-42-00,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-43-00,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-44-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
09-51-00,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-52-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
09-53-00,0,0,0,33,0,0,0,0,0,0,0,0,0,0,34,0
09-54-00,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
09-55-00,0,0,33,36,0,0,0,0,0,0,33,0,0,0,0,0
09-56-00,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
09-57-00,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
09-58-00,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-59-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-00-00,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
10-01-00,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-03-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-04-00,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
10-05-00,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
10-06-00,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
10-07-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-11-00,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
10-13-00,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
10-14-00,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
10-15-00,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
10-16-00,0,0,34,36,0,0,0,0,0,0,0,0,0,0,0,0
10-20-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-21-00,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-23-00,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-24-00,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-25-00,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
10-28-00,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-29-00,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-30-00,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
10-31-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-32-00,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
10-33-00,0,0,0,0,0,0,34,0,0,0,0,0,0,33,0,0
10-34-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-35-00,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-37-00,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
10-38-00,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
10-39-00,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
10-40-00,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
10-41-00,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
10-42-00,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
10-43-00,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
10-44-00,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
10-45-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-46-00,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
10-49-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
10-50-00,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
10-51-00,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
10-52-00,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
10-53-00,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-54-00,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
10-55-00,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
10-58-00,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
10-59-00,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-00-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
11-01-00,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
11-02-00,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
11-03-00,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
11-04-00,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
11-05-00,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
11-07-00,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
11-08-00,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
11-09-00,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
11-10-00,0,0,0,34,0,40,0,0,0,0,0,0,0,0,0,0
11-11-00,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
