date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-00-05,0,0,41,0,0,32,36,0,0,0,0,47,33,0,53,0
09-01-05,0,0,35,38,36,0,0,0,0,0,0,38,0,34,34,0
09-02-05,0,0,32,0,0,36,0,0,0,0,0,0,0,32,32,0
09-03-05,0,0,32,0,0,35,0,0,0,0,0,0,0,32,32,0
09-04-05,0,0,32,0,0,35,0,0,0,0,0,0,0,32,0,0
09-05-05,0,0,31,0,0,37,0,0,0,0,0,0,0,32,0,0
09-06-05,0,0,32,0,0,37,0,0,0,0,0,0,0,32,0,0
09-07-05,0,0,32,0,0,37,0,0,0,0,0,0,0,32,0,0
09-08-05,0,0,32,0,0,37,0,0,0,0,0,0,0,32,0,0
09-09-05,0,0,32,0,0,37,0,0,0,0,0,0,0,32,0,0
09-10-05,0,0,31,0,0,37,0,0,0,0,0,0,0,32,0,0
09-11-05,0,0,32,0,0,37,0,0,0,0,0,0,0,32,0,0
09-12-05,0,0,31,0,0,37,0,0,0,0,0,0,0,33,0,0
09-13-05,0,0,32,0,0,37,0,0,0,0,0,0,0,32,0,0
09-14-05,0,0,32,0,0,37,0,0,0,0,0,0,0,33,0,0
09-15-05,0,0,32,0,0,36,0,0,0,0,0,0,0,32,0,0
09-16-05,0,0,32,0,0,36,0,0,0,0,0,0,0,33,0,0
09-17-05,0,0,31,0,0,36,0,0,0,0,0,0,0,32,0,0
09-18-05,0,0,32,0,0,34,0,0,0,0,0,0,0,33,0,0
09-19-05,0,0,32,0,0,34,0,0,0,0,0,0,0,33,0,0
09-20-05,0,0,31,0,0,33,0,0,0,0,0,0,0,33,0,0
09-21-05,0,0,31,0,0,34,0,0,0,0,0,0,0,33,0,0
09-22-05,0,0,31,0,0,32,0,0,0,0,0,0,0,32,0,0
09-23-05,0,0,32,0,0,35,0,0,0,0,0,0,0,33,0,0
09-24-05,0,0,31,0,0,41,0,0,0,0,0,0,0,33,0,0
09-25-05,0,0,0,0,0,40,0,0,0,0,0,0,0,33,0,0
09-26-05,0,0,32,0,0,38,0,0,0,0,0,0,0,0,0,0
09-27-05,0,0,33,0,0,43,0,0,0,0,0,0,0,0,0,0
09-28-05,0,0,32,0,0,42,0,0,0,0,0,0,0,31,0,0
