date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Beatrice,Willa
09-00-05,0,0,58,62,0,50,51,38,0,0,31,67,48,0,60,0
09-00-15,0,0,58,62,0,50,51,38,0,0,0,67,47,0,60,0
09-00-25,0,0,58,62,52,51,50,39,0,0,0,67,47,0,60,0
09-00-35,0,0,57,62,53,51,49,39,0,0,0,67,48,0,60,0
09-00-45,0,0,59,62,53,50,50,39,0,0,0,67,48,0,60,0
09-00-55,0,0,58,61,53,48,48,38,0,0,0,67,47,0,60,0
09-01-05,0,0,58,62,54,48,49,40,0,0,0,67,48,0,61,0
09-01-15,0,0,58,62,54,47,48,39,0,0,0,67,48,0,61,0
09-01-25,31,0,58,36,54,50,49,40,0,0,0,67,48,0,60,0
09-01-35,31,0,58,38,54,49,50,37,0,0,0,67,47,0,59,0
09-01-45,32,0,58,46,54,51,49,38,0,0,0,67,47,0,59,0
09-01-55,31,0,57,42,54,50,49,39,0,0,0,67,46,0,59,0
09-02-05,32,0,58,50,53,52,48,37,0,0,0,67,47,0,59,0
09-02-15,32,0,58,53,53,50,46,38,0,0,0,68,38,0,60,0
09-02-25,32,0,58,53,54,52,47,37,0,0,0,67,35,0,60,0
09-02-35,32,0,57,53,54,49,47,39,0,0,0,68,34,0,60,0
09-02-45,31,0,57,52,53,51,45,37,0,0,0,68,34,0,60,0
09-02-55,31,0,58,54,53,51,46,36,0,0,0,67,33,0,60,0
09-03-05,31,0,58,54,54,52,45,35,0,0,0,67,44,0,48,0
09-03-15,31,0,58,53,53,50,47,36,0,0,0,67,45,0,38,0
09-03-25,31,0,59,54,54,49,47,35,0,0,0,67,43,0,49,0
09-03-35,31,0,58,55,54,49,47,33,0,0,0,67,41,0,44,0
09-03-45,31,0,58,54,53,49,47,33,0,0,0,67,41,0,49,0
09-03-55,31,0,58,54,54,50,46,34,0,0,0,67,41,0,49,0
