date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-00-05,35,0,52,34,0,51,0,55,0,0,33,50,41,52,57,0
09-01-05,0,0,49,34,53,50,0,55,0,0,34,51,42,51,57,0
09-02-05,0,0,53,50,52,53,0,55,0,0,0,51,40,50,58,0
09-03-05,0,0,53,53,53,50,0,54,0,0,0,47,56,47,44,0
09-04-05,0,0,55,53,53,51,0,55,0,0,0,53,56,45,59,0
09-05-05,0,0,53,52,59,52,0,56,0,0,0,56,56,45,59,0
09-06-05,0,0,53,54,59,50,0,55,0,0,0,0,56,46,60,0
09-07-05,0,0,52,54,59,50,0,55,0,0,0,0,56,47,59,0
09-08-05,0,0,53,53,59,50,0,55,0,0,0,0,56,46,59,0
09-09-05,0,0,54,54,59,49,0,54,0,0,0,0,56,46,60,0
09-10-05,0,0,54,54,59,49,0,55,0,0,0,0,56,45,60,0
09-11-05,0,0,54,53,59,49,0,56,0,0,0,0,56,46,59,0
09-12-05,0,0,54,54,58,49,0,55,0,0,0,0,56,43,60,0
09-13-05,0,0,53,53,59,50,0,56,0,0,33,0,56,46,59,0
09-14-05,0,0,54,53,34,50,0,54,0,0,33,0,56,44,59,0
09-15-05,0,0,54,54,35,50,0,55,0,0,33,0,56,47,59,0
09-16-05,0,0,54,54,35,48,0,55,0,0,0,0,56,46,59,0
09-17-05,0,0,54,53,34,49,0,55,0,0,33,0,56,46,59,0
09-18-05,0,0,53,54,33,50,0,54,0,0,0,0,56,45,60,0
09-19-05,0,0,54,54,0,51,0,54,0,0,33,0,56,46,59,0
09-20-05,0,0,54,54,0,49,0,55,0,0,0,0,42,45,59,0
09-21-05,0,0,54,54,0,47,0,55,0,0,0,0,0,44,59,0
09-22-05,0,0,53,51,0,47,0,55,0,0,0,0,0,45,60,0
09-23-05,0,0,54,53,0,47,0,56,0,0,33,0,0,47,58,0
09-24-05,0,0,54,52,0,51,0,49,0,0,0,0,0,42,61,0
09-25-05,0,0,50,51,0,50,0,0,0,0,0,0,33,38,61,0
09-26-05,0,0,59,51,0,49,0,0,0,0,33,0,0,47,61,0
09-27-05,0,0,61,35,0,52,0,0,0,0,0,0,0,46,61,0
09-28-05,0,0,40,0,0,38,0,0,0,0,0,0,0,37,36,0
09-29-05,0,0,37,0,0,36,0,0,0,0,34,0,0,33,33,0
09-30-45,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
09-34-55,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
09-35-15,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
09-36-25,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
09-37-05,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
09-38-05,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
09-39-05,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
09-40-05,0,0,0,36,0,0,0,33,0,0,0,0,0,0,0,0
09-41-05,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
09-42-05,0,0,34,0,0,33,0,33,0,0,35,0,0,0,35,0
09-43-05,34,0,0,34,0,0,0,33,0,0,0,0,0,0,33,0
09-44-05,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
09-46-35,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
09-47-55,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
09-48-45,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
09-51-55,0,0,0,0,0,38,0,0,0,0,0,0,0,33,33,0
09-52-45,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
09-53-15,0,0,0,35,0,0,0,0,0,0,0,0,0,0,34,0
09-54-15,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
09-55-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
09-56-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
09-57-05,0,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0
09-58-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
09-59-05,0,0,0,0,0,35,0,0,0,0,0,0,0,0,33,0
10-00-05,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
10-01-05,0,0,0,0,0,34,0,0,0,0,0,0,0,0,33,0
10-02-25,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
10-03-05,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-04-05,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
10-05-15,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
10-06-05,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
10-07-15,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-08-35,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-09-15,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
10-14-25,0,0,0,0,0,33,0,0,0,0,0,0,0,0,33,0
10-16-55,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-17-15,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-18-25,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-19-05,0,0,34,33,0,34,0,0,0,0,36,0,0,33,33,0
10-20-05,0,0,34,0,0,0,0,0,0,0,35,0,0,35,0,0
10-21-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,33,0
10-22-05,0,0,0,0,0,34,0,0,0,0,35,0,0,39,34,0
10-23-05,0,0,0,0,0,34,0,0,0,0,0,0,0,34,0,0
10-24-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
10-25-05,0,0,33,0,0,33,0,0,0,0,33,0,0,37,0,0
10-26-05,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
