date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-00-51,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-01-01,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-02-05,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-03-15,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-04-01,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-05-01,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-12-05,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-13-87,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-14-17,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-15-09,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-16-01,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-20-97,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-21-01,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-22-01,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-23-19,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-24-07,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-25-01,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-26-01,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-46-19,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0
10-01-56,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
10-04-24,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
10-20-26,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
10-21-37,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
10-23-58,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
10-24-88,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
10-25-04,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0
10-43-41,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
10-44-01,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
10-52-51,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
10-59-51,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
11-18-11,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
11-20-41,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
11-45-01,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
