date,Uriah,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-00-01,0,0,0,0,0,58,54,0,0,61,0,0,0,61,50,39
09-00-11,40,0,48,38,0,58,54,0,0,62,0,0,0,57,52,0
09-00-21,31,0,47,0,0,58,54,0,31,64,0,0,0,61,54,0
09-00-31,0,0,47,0,0,57,52,0,0,62,0,31,0,59,54,39
09-00-41,40,0,47,38,0,58,0,0,0,60,0,0,0,59,53,36
09-00-51,37,0,47,40,0,56,48,0,44,0,0,0,0,59,54,39
09-01-01,0,0,48,0,0,58,0,0,0,61,0,0,0,59,0,0
09-01-11,40,0,48,33,0,57,55,0,33,61,0,0,0,59,58,0
09-01-21,40,0,48,36,0,55,52,0,0,62,0,0,0,60,54,0
09-01-31,40,0,47,38,0,57,54,0,0,62,0,0,0,60,54,0
09-01-41,40,0,47,37,0,58,54,0,0,63,0,0,0,60,53,36
09-01-51,40,0,0,0,0,57,55,0,0,63,0,0,0,59,53,38
09-02-01,32,0,47,0,0,55,48,0,0,62,0,0,0,59,54,0
09-02-11,0,0,44,0,0,58,0,0,0,57,0,0,0,60,57,0
09-02-21,40,0,43,0,0,57,55,0,0,62,0,0,0,60,53,40
09-02-31,38,0,47,0,0,56,54,0,0,62,0,0,0,58,55,0
09-02-41,0,0,47,38,0,54,54,0,32,62,0,0,0,60,54,0
09-02-51,40,0,47,39,0,58,0,0,0,58,0,0,31,58,52,0
09-03-01,40,0,0,0,0,57,54,0,0,61,0,0,0,61,53,38
09-03-11,42,0,0,41,0,59,49,0,0,62,0,0,0,60,54,38
09-03-21,0,0,47,38,0,55,0,0,0,61,0,0,0,60,54,38
09-03-31,40,0,47,0,0,0,54,0,42,60,0,0,0,60,53,38
09-03-41,42,0,0,0,0,58,0,31,40,62,0,0,31,60,54,42
09-03-51,0,0,0,0,0,58,55,0,0,61,0,0,0,61,55,0
09-04-01,0,0,46,0,0,0,55,0,0,60,0,0,0,57,54,38
09-04-11,0,0,46,39,0,54,0,0,32,59,0,0,0,59,0,38
09-04-21,41,0,47,0,0,56,54,0,0,61,0,0,0,60,0,0
09-04-31,44,0,46,0,0,57,54,0,44,62,0,0,0,60,54,40
09-04-41,43,0,0,38,0,57,54,0,32,60,0,0,0,60,56,41
09-04-51,0,0,44,31,0,57,55,0,44,62,0,0,0,59,55,0
09-05-01,40,0,0,0,0,57,56,0,0,60,0,0,0,59,54,37
09-05-11,40,0,48,35,0,56,48,0,0,0,0,0,0,60,0,0
09-05-21,0,0,47,0,0,58,54,0,43,63,0,0,0,59,54,0
09-05-31,40,0,0,38,0,58,55,0,33,61,0,0,0,59,0,0
09-05-41,40,0,0,0,0,0,0,0,0,60,0,0,0,59,54,38
09-05-51,0,0,47,40,0,54,54,0,31,61,0,0,0,59,54,0
09-06-01,40,0,47,37,0,58,54,0,33,62,0,0,0,59,56,39
09-06-11,40,0,0,0,0,57,45,0,43,62,0,0,0,60,54,0
09-06-21,42,0,47,0,0,57,54,0,0,62,0,0,0,58,0,39
09-06-31,41,0,0,36,0,57,51,0,33,63,0,0,0,58,51,38
09-06-41,0,0,46,40,0,56,54,0,0,61,0,0,0,60,0,38
09-06-51,36,0,47,44,0,56,54,0,0,61,0,0,0,58,54,38
09-07-01,40,0,47,32,0,57,55,0,0,61,0,0,0,60,54,0
09-07-11,40,0,0,39,0,58,0,0,40,62,0,0,31,59,54,39
09-07-21,0,0,47,38,0,58,48,0,0,62,0,0,0,61,54,0
09-07-31,41,0,47,35,0,56,54,0,45,62,0,0,0,60,54,0
09-07-41,41,0,45,0,0,56,54,0,0,53,0,0,0,60,53,38
09-07-51,40,0,48,38,0,57,55,0,0,62,0,0,0,61,54,37
09-08-01,0,0,42,39,0,56,54,0,0,63,0,0,0,59,0,0
09-08-11,40,0,47,0,0,56,0,0,32,61,0,0,0,60,0,0
09-08-21,0,0,0,39,0,57,55,0,0,56,0,0,0,59,54,0
09-08-31,40,0,45,39,0,57,54,0,0,62,0,0,0,60,54,39
09-08-41,42,0,47,0,0,57,54,0,0,61,0,0,0,60,55,40
09-08-51,0,0,47,0,0,58,0,0,0,62,0,0,0,60,55,40
