date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Erin,Taj,Silas,Beatrice,Willa
09-00-01,0,0,0,0,0,0,34,0,0,0,0,54,0,0,0,0
09-01-01,0,0,0,0,0,0,34,0,0,0,0,54,0,0,0,0
09-02-01,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0
09-03-01,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0
09-04-01,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0
09-05-21,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0
09-06-01,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0
09-07-01,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0
09-08-01,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0
09-09-01,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0
09-21-31,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-22-01,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
09-23-11,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-24-11,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
09-25-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
09-26-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
09-32-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
09-33-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
09-39-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
09-41-41,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
09-50-01,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-59-11,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
10-00-31,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10-05-11,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10-13-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
10-29-51,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
10-32-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
10-34-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
10-48-41,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
10-53-01,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
10-59-11,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
11-00-11,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
11-01-41,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
11-12-11,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
11-14-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
11-15-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
11-16-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
11-21-41,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
11-29-51,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
11-30-01,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
11-37-41,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
11-39-31,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
11-42-01,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
11-43-51,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
12-13-01,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
12-19-51,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
12-26-41,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
12-37-41,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
12-47-21,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
12-52-01,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
13-04-11,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
14-11-21,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
14-13-51,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
14-14-11,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
14-24-01,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
14-26-01,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
14-28-41,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
14-29-01,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
14-46-31,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
14-55-51,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
14-56-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
14-57-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
14-58-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
14-59-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-00-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-01-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-02-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-03-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-04-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-05-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-06-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-07-01,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0
15-08-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-09-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-10-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-11-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-12-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-13-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-14-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
