date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Taj,Silas,Beatrice,Willa
09-00-01,0,0,0,0,0,0,37,0,0,0,56,0,0,0,0,0
09-01-01,0,36,0,0,0,0,0,0,0,0,56,0,0,0,0,0
09-02-01,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
09-03-01,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
09-04-01,0,0,0,0,0,0,37,0,0,0,56,0,0,0,0,0
09-05-01,0,0,0,0,0,0,0,0,0,37,36,0,0,0,39,0
09-06-01,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0
09-07-01,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0
09-08-01,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0
09-09-01,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0
09-25-51,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
09-26-51,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
09-27-21,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
09-28-21,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
09-30-11,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
09-35-21,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
09-43-01,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
09-45-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
09-46-21,0,0,0,0,0,0,37,0,0,0,0,0,0,0,36,0
09-47-31,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
09-49-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
09-50-31,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
09-51-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
09-52-11,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
09-53-51,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
09-54-21,0,0,0,0,0,0,36,0,0,0,0,0,0,0,36,0
09-55-01,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
09-56-01,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
09-57-01,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
09-59-41,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
10-00-21,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
10-02-21,0,36,0,0,0,0,0,0,0,36,0,0,0,0,0,0
10-08-01,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
10-13-41,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
10-14-11,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-21-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
10-25-01,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
