date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Silas,Beatrice,Willa
09-00-01,0,0,39,50,0,0,53,0,0,38,0,0,0,0,55,0
09-00-11,0,0,40,49,0,0,52,0,0,36,0,0,0,0,55,0
09-00-21,0,0,42,50,0,0,53,0,0,37,0,0,0,40,56,0
09-00-31,0,0,40,50,0,0,52,0,0,36,0,0,0,41,55,0
09-00-41,0,0,0,49,0,0,54,0,0,34,0,0,0,40,55,0
09-00-51,0,0,39,51,0,0,52,0,0,0,0,0,0,0,54,0
09-01-01,0,0,39,50,0,0,53,0,0,37,0,0,0,40,56,0
09-01-11,0,0,36,49,0,0,52,0,0,36,0,0,0,39,54,0
09-01-21,0,31,40,50,0,0,52,0,0,37,0,0,0,40,53,0
09-01-31,0,0,40,50,0,0,52,0,0,36,0,0,0,38,55,0
09-01-41,0,0,0,50,0,0,53,0,0,38,0,0,0,0,55,0
09-01-51,0,0,0,50,0,0,52,0,0,37,0,0,0,40,55,0
09-02-01,0,0,40,50,0,0,50,0,0,37,0,0,0,40,55,0
09-02-11,0,0,41,50,0,0,52,0,0,36,0,0,0,39,53,0
09-02-21,0,0,0,51,0,0,52,0,0,38,0,0,0,40,54,0
09-02-31,0,0,40,50,0,0,53,0,0,35,0,0,0,37,54,0
09-02-41,0,0,40,51,0,0,52,0,0,0,0,0,0,41,55,0
09-02-51,0,0,40,51,0,0,53,0,0,38,0,0,0,39,0,0
09-03-01,0,0,40,49,0,0,53,0,0,37,0,0,0,39,53,0
09-03-11,0,0,39,50,0,0,53,0,0,36,0,0,0,39,56,0
09-03-21,0,0,41,50,0,0,53,0,0,38,0,0,0,40,55,0
09-03-31,0,0,40,49,0,0,52,0,0,36,0,0,0,37,54,0
09-03-41,0,0,40,50,0,0,53,0,0,37,0,0,0,0,54,0
09-03-51,0,0,39,49,0,0,52,0,0,0,0,0,0,40,53,0
09-04-01,0,0,41,49,0,0,53,0,0,38,0,0,0,40,55,0
09-04-11,0,0,0,50,0,0,52,0,0,36,0,0,0,39,54,0
09-04-21,0,0,40,50,0,0,53,0,0,37,0,0,0,40,54,0
09-04-31,0,0,41,50,0,0,53,0,0,0,0,0,0,40,54,0
09-04-41,0,0,40,49,0,0,52,0,0,35,0,0,0,39,55,0
09-04-51,0,0,0,50,0,0,53,0,0,36,0,0,0,40,55,0
09-05-01,0,0,40,50,0,0,53,0,0,37,0,0,0,40,55,0
09-05-11,0,0,39,49,0,0,53,0,0,37,0,0,0,41,54,0
09-05-21,0,0,40,49,0,0,53,0,0,37,0,0,0,39,55,0
09-05-31,0,0,41,50,0,0,53,0,0,37,0,0,0,40,54,0
09-05-41,0,0,41,50,0,0,53,0,0,35,0,0,0,40,55,0
09-05-51,0,0,0,49,0,0,53,0,0,0,0,0,0,40,53,0
09-06-01,0,0,39,51,0,0,53,0,0,38,0,0,0,0,54,0
09-06-11,0,0,40,50,0,0,53,0,0,36,0,0,0,38,55,0
09-06-21,0,0,0,51,0,0,53,0,0,36,0,0,0,40,56,0
09-06-31,0,0,40,49,0,0,53,0,0,38,0,0,0,40,55,0
09-06-41,0,0,40,51,0,0,53,0,0,36,0,0,0,0,55,0
09-06-51,0,0,40,49,0,0,52,0,0,37,0,0,0,40,54,0
09-07-01,0,0,40,50,0,0,52,0,0,0,0,0,0,38,55,0
09-07-11,0,0,40,50,0,0,53,0,0,0,0,0,0,39,55,0
09-07-21,0,0,39,49,0,0,52,0,0,36,0,0,0,40,54,0
09-07-31,0,0,0,50,0,0,53,0,0,36,0,0,0,39,55,0
09-07-41,0,0,41,50,0,0,53,0,0,36,0,0,0,39,55,0
09-07-51,0,0,39,48,0,0,53,0,0,38,0,0,0,38,55,0
09-08-01,0,33,39,49,0,0,52,0,0,0,0,0,0,0,55,0
09-08-11,0,0,40,51,0,0,53,0,0,37,0,0,0,40,55,0
09-08-21,0,0,39,49,0,0,52,0,0,37,0,0,0,38,55,0
09-08-31,0,0,40,50,0,0,52,0,0,36,0,0,0,40,55,0
09-08-41,0,0,0,49,0,0,53,0,0,35,0,0,0,41,55,0
09-08-51,0,0,40,50,0,0,52,0,0,37,0,0,0,40,55,0
09-09-01,0,0,0,49,0,0,52,0,0,33,0,0,0,40,55,0
09-09-11,0,0,40,49,0,0,52,0,0,36,0,0,0,40,54,0
09-09-21,0,0,40,50,0,0,53,0,0,0,0,0,0,40,55,0
09-09-31,0,0,40,50,0,0,52,0,0,36,0,0,0,40,55,0
09-09-41,0,0,0,50,0,0,53,0,0,0,0,0,0,40,54,0
