date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Beatrice,Willa
09-00-01,0,58,56,50,0,57,49,42,0,0,0,0,0,0,50,0
09-00-11,0,60,57,52,0,59,0,42,55,52,0,0,37,0,0,44
09-00-21,0,59,56,51,0,61,49,0,54,52,0,0,0,0,0,0
09-00-31,0,57,57,52,0,60,49,0,56,52,0,0,37,0,42,40
09-00-41,31,58,58,52,0,58,0,0,56,0,0,0,0,0,50,39
09-00-51,0,61,0,0,0,56,49,0,53,0,0,0,0,0,0,39
09-01-01,0,57,57,52,0,59,48,42,56,53,0,0,37,0,50,40
09-01-11,0,59,57,0,0,58,51,42,55,0,0,0,38,0,0,40
09-01-21,0,60,56,0,0,60,0,0,0,50,0,0,0,0,50,0
09-01-31,0,57,53,52,0,56,0,0,55,53,0,0,0,0,49,0
09-01-41,0,59,52,52,0,60,49,0,55,53,0,0,37,0,0,0
09-01-51,32,59,55,52,0,59,49,0,55,54,0,0,37,0,0,40
09-02-01,0,58,57,52,0,59,51,0,55,53,0,0,37,0,50,40
09-02-11,0,57,51,49,0,58,50,42,54,53,0,0,37,0,0,0
09-02-21,0,54,0,54,0,59,49,35,0,53,0,0,39,0,49,0
09-02-31,0,59,57,45,0,58,0,42,56,53,0,0,36,0,40,0
09-02-41,0,58,57,52,0,57,49,0,53,53,0,0,0,0,48,41
09-02-51,0,58,56,52,0,60,0,0,57,53,0,0,37,0,0,0
09-03-01,0,57,0,52,0,58,49,0,57,53,0,0,0,0,0,0
09-03-11,0,56,58,48,0,60,49,0,0,0,0,0,37,0,49,39
09-03-21,0,59,56,48,0,58,0,43,54,53,0,0,38,0,49,0
09-03-31,0,59,56,0,0,60,48,42,55,50,0,0,0,0,49,0
09-03-41,0,59,0,52,0,58,0,38,54,0,0,0,37,0,0,0
09-03-51,0,59,0,52,0,57,49,0,56,54,0,0,0,0,39,40
09-04-01,0,56,0,52,0,57,0,0,56,50,0,0,36,0,49,40
09-04-11,32,60,56,52,0,58,0,0,55,53,0,0,0,0,50,38
09-04-21,0,59,58,0,31,59,49,42,55,0,0,0,37,0,0,0
09-04-31,0,58,0,0,0,59,48,0,55,53,0,0,0,0,47,0
09-04-41,0,0,57,0,0,60,0,42,54,51,0,0,0,0,0,0
09-04-51,0,59,56,52,0,60,48,0,55,54,0,0,0,0,0,0
09-05-01,0,59,57,0,0,59,50,43,55,0,0,0,0,0,49,0
09-05-11,0,58,56,51,0,60,49,0,56,48,0,0,0,0,46,0
09-05-21,0,58,56,0,0,58,51,41,55,53,0,0,0,0,49,0
09-05-31,0,55,0,52,0,59,49,0,55,0,0,0,0,0,50,41
09-05-41,31,58,57,46,0,60,45,0,55,51,0,0,0,0,49,0
09-05-51,0,57,56,0,0,59,49,42,0,0,0,0,0,0,0,39
09-06-01,0,59,57,51,0,61,48,42,55,53,0,0,0,0,50,41
09-06-11,0,58,58,52,0,59,50,43,0,48,0,0,37,0,49,0
09-06-21,0,59,59,52,0,60,49,42,54,53,0,0,38,0,49,0
09-06-31,0,59,57,52,0,59,53,42,56,53,0,0,0,0,49,41
09-06-41,0,58,57,52,0,58,0,42,55,0,0,0,0,0,51,0
09-06-51,0,58,56,53,0,59,49,43,55,53,0,0,0,0,51,0
09-07-01,0,59,55,53,0,58,49,42,55,49,0,0,38,0,49,0
09-07-11,0,59,60,0,0,61,49,37,55,53,0,0,0,0,47,0
09-07-21,0,60,0,53,0,58,49,0,56,53,0,0,0,0,48,40
09-07-31,0,59,54,50,0,59,0,42,55,50,0,0,0,0,0,0
09-07-41,0,55,0,53,0,60,49,0,59,0,0,0,0,0,0,41
09-07-51,0,58,57,52,0,59,49,0,55,48,0,0,37,0,49,0
09-08-01,0,59,56,52,0,58,0,0,56,53,0,0,0,0,0,0
09-08-11,0,58,56,0,0,59,49,0,55,51,0,0,37,0,0,0
09-08-21,0,58,55,53,0,59,0,42,55,0,0,0,0,0,49,40
09-08-31,0,58,56,0,0,61,49,42,54,0,0,0,36,0,49,0
09-08-41,0,58,57,0,0,56,51,0,55,53,0,0,36,0,49,39
09-08-51,0,56,57,0,0,58,0,0,55,0,0,0,0,0,48,0
09-09-01,0,58,0,52,0,60,49,0,55,53,0,0,38,0,0,0
09-09-11,0,59,51,52,0,59,50,43,55,53,0,0,37,0,49,0
09-09-21,32,58,57,0,0,59,49,0,55,0,0,0,0,0,49,0
09-09-31,0,57,0,52,0,59,0,43,55,0,0,0,0,0,49,0
09-09-41,0,59,57,0,0,60,0,39,56,53,0,0,34,0,49,0
09-09-51,0,54,57,52,0,58,49,0,54,53,0,0,37,0,49,0
09-10-01,0,58,0,53,0,58,49,0,55,0,0,0,0,0,0,39
09-10-11,0,58,56,0,0,60,0,0,56,53,0,0,0,0,0,40
09-10-21,0,59,57,0,0,59,0,0,55,53,0,0,0,0,49,38
09-10-31,0,57,57,53,0,59,50,0,55,50,0,0,0,0,0,0
09-10-41,0,57,57,51,0,60,0,0,57,53,0,0,0,0,0,0
09-10-51,0,59,57,52,0,59,49,42,56,0,0,0,0,0,49,0
09-11-01,0,59,56,52,0,60,50,42,56,57,0,0,0,0,0,39
09-11-11,0,59,55,52,0,59,0,0,55,0,0,0,0,0,49,0
09-11-21,0,57,58,52,0,60,0,43,56,0,0,0,37,0,40,0
09-11-31,0,56,56,0,0,58,0,0,55,0,0,0,37,0,49,0
09-11-41,0,56,54,54,0,58,49,42,54,53,0,0,37,0,49,0
09-11-51,0,59,56,0,0,59,50,42,55,42,0,0,0,0,49,0
09-12-01,0,59,56,53,0,59,49,43,55,50,0,0,0,0,49,39
09-12-11,0,58,58,52,0,59,49,42,53,0,0,0,37,0,49,39
09-12-21,0,59,55,0,0,59,49,0,55,53,0,0,0,0,0,40
09-12-31,0,57,56,0,0,61,0,0,55,47,0,0,36,0,50,0
09-12-41,0,60,56,49,0,58,49,0,55,51,0,0,38,0,51,0
09-12-51,0,0,56,50,0,59,0,0,0,51,0,0,0,0,50,0
09-13-01,0,59,57,49,0,59,49,0,54,51,0,0,0,0,0,0
