date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Beatrice,Willa
09-00-01,0,58,56,50,0,57,49,42,0,0,0,0,0,0,50,0
09-01-01,0,57,57,52,0,59,48,42,56,53,0,0,37,0,50,40
09-02-01,0,58,57,52,0,59,51,0,55,53,0,0,37,0,50,40
09-03-01,0,57,0,52,0,58,49,0,57,53,0,0,0,0,0,0
09-04-01,0,56,0,52,0,57,0,0,56,50,0,0,36,0,49,40
09-05-01,0,59,57,0,0,59,50,43,55,0,0,0,0,0,49,0
09-06-01,0,59,57,51,0,61,48,42,55,53,0,0,0,0,50,41
09-07-01,0,59,55,53,0,58,49,42,55,49,0,0,38,0,49,0
09-08-01,0,59,56,52,0,58,0,0,56,53,0,0,0,0,0,0
09-09-01,0,58,0,52,0,60,49,0,55,53,0,0,38,0,0,0
09-10-01,0,58,0,53,0,58,49,0,55,0,0,0,0,0,0,39
09-11-01,0,59,56,52,0,60,50,42,56,57,0,0,0,0,0,39
09-12-01,0,59,56,53,0,59,49,43,55,50,0,0,0,0,49,39
09-13-01,0,59,57,49,0,59,49,0,54,51,0,0,0,0,0,0
09-14-01,0,58,60,52,0,52,0,0,51,55,0,0,36,0,52,0
09-15-01,35,58,57,33,0,61,0,41,0,55,0,0,0,0,52,31
09-16-01,0,58,55,40,0,59,53,42,55,54,0,0,34,0,49,0
09-17-01,0,57,56,0,0,58,0,42,53,0,0,0,33,0,49,0
09-18-01,0,58,56,0,0,58,53,42,55,52,0,0,0,0,50,0
09-19-01,0,57,56,0,0,58,53,42,54,0,0,0,33,0,49,0
09-20-01,0,58,55,0,0,58,51,0,56,48,0,0,35,0,0,0
09-21-01,0,56,56,0,0,58,41,0,55,56,0,0,0,0,41,35
09-22-01,0,58,57,0,0,59,0,0,55,50,0,0,0,0,43,35
09-23-01,0,58,56,0,0,59,58,0,56,54,0,0,37,0,0,0
09-24-01,0,53,56,0,0,58,0,0,55,50,0,0,38,0,40,0
09-25-01,0,0,51,0,0,58,0,0,55,0,0,0,34,0,38,35
09-26-01,0,56,46,0,0,57,0,0,39,58,0,0,33,0,0,0
09-27-01,0,56,52,0,0,59,0,0,0,57,0,0,33,0,0,38
09-28-01,0,57,49,0,0,60,36,0,0,0,0,0,0,0,0,0
09-29-01,0,57,48,31,0,60,31,0,0,56,0,0,32,0,0,35
09-30-01,0,58,51,0,0,60,0,0,0,56,0,0,32,0,0,35
09-31-01,0,58,46,0,0,58,0,0,0,48,0,0,31,0,0,36
09-32-01,0,60,53,0,0,62,31,0,0,47,0,0,36,0,0,0
09-33-01,32,60,47,0,0,61,0,0,0,42,0,0,0,0,0,0
09-34-01,0,58,48,0,0,63,0,0,0,53,0,0,0,0,0,0
09-35-01,33,59,48,0,0,62,35,0,0,49,0,0,0,0,0,0
09-36-01,32,59,47,0,0,61,31,0,0,39,0,0,0,0,0,0
09-37-01,0,58,58,0,0,61,0,0,0,47,0,0,0,0,0,0
09-38-01,32,57,54,0,0,62,34,0,0,46,0,0,0,0,0,0
09-39-01,33,60,57,0,0,65,0,0,0,51,0,0,0,0,31,0
09-40-01,31,59,56,0,0,62,0,0,0,52,0,0,0,0,31,0
09-41-01,31,60,55,0,0,61,0,0,0,49,0,0,0,0,39,0
09-42-01,0,56,55,0,0,58,0,0,0,39,0,0,0,0,0,0
09-43-01,0,56,56,0,0,55,0,0,0,34,0,0,0,0,0,0
09-44-01,0,56,57,0,0,56,0,0,0,32,0,0,0,0,0,0
09-45-01,0,56,56,0,0,58,35,0,0,0,0,0,0,0,33,0
09-46-01,0,56,54,0,0,57,0,0,0,0,0,0,0,0,31,0
09-47-01,0,0,55,0,0,58,33,0,0,0,0,0,0,0,0,0
09-48-01,0,56,53,0,0,58,0,0,0,0,0,0,0,0,0,0
09-49-01,0,56,54,0,0,58,0,0,0,0,0,0,0,0,0,0
09-50-01,0,56,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-51-01,0,55,52,0,0,58,0,0,0,0,0,0,0,0,0,0
09-52-01,0,56,56,0,0,57,37,0,0,0,0,0,0,0,0,0
09-53-01,0,56,55,0,0,59,36,0,0,0,0,0,0,0,0,0
09-54-01,0,55,56,0,0,58,0,0,0,0,0,0,0,0,31,0
09-55-01,0,55,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-56-01,0,56,56,0,0,57,0,0,0,0,0,0,0,0,0,0
09-57-01,0,55,56,0,0,57,0,0,0,0,0,0,0,0,0,0
09-58-01,0,56,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-59-01,0,56,56,0,0,58,0,0,0,0,0,0,0,0,0,0
10-00-01,0,57,55,0,0,59,0,0,0,0,0,0,0,0,0,0
10-01-01,0,31,56,0,0,60,0,0,0,0,0,0,0,0,0,0
10-02-01,0,0,54,0,0,58,0,0,0,44,0,0,0,0,0,0
10-03-01,0,0,56,0,0,59,0,0,0,0,0,0,0,0,0,0
10-04-01,0,0,55,0,0,59,0,0,36,32,0,0,0,0,0,0
10-05-01,0,0,56,0,0,58,0,0,0,33,0,0,0,0,0,0
