date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Willa
09-00-01,0,0,0,0,0,0,67,0,32,0,0,0,54,53,0,0
09-00-11,0,56,54,48,0,56,67,57,43,0,0,0,55,53,0,0
09-00-21,0,49,55,51,38,0,67,59,0,49,0,0,0,53,0,0
09-00-31,0,56,60,45,0,0,68,60,32,49,0,0,57,48,0,0
09-00-41,0,0,60,49,0,56,67,60,0,50,0,0,56,54,0,0
09-00-51,0,0,59,0,0,56,67,60,0,0,0,0,54,53,0,0
09-01-01,0,0,61,49,40,57,66,61,0,49,0,0,55,54,0,0
09-01-11,0,0,60,0,40,57,66,58,0,0,0,0,51,0,0,0
09-01-21,32,56,61,0,41,0,67,60,0,48,0,0,55,0,0,0
09-01-31,0,0,60,53,0,56,67,60,0,0,0,0,0,0,0,0
09-01-41,0,56,61,0,0,56,66,53,0,0,0,0,51,52,0,0
09-01-51,0,0,62,52,40,55,67,60,0,50,0,0,53,0,0,0
09-02-01,0,51,60,51,0,58,67,60,0,0,0,0,55,0,0,0
09-02-11,0,49,63,49,0,56,68,58,0,0,0,0,54,52,0,0
09-02-21,0,0,64,0,0,57,67,59,0,0,0,0,56,53,0,0
09-02-31,0,57,62,49,40,0,66,58,0,0,0,0,56,53,0,0
09-02-41,32,54,60,49,41,55,66,58,0,50,0,0,0,51,0,0
09-02-51,32,54,61,0,0,0,66,58,0,49,0,0,55,0,0,0
09-03-01,0,0,62,49,0,56,64,58,0,0,0,0,55,53,0,0
09-03-11,0,0,0,51,40,56,67,60,0,0,0,0,55,53,0,0
09-03-21,0,55,0,49,0,0,67,60,0,0,0,0,56,0,0,0
09-03-31,0,0,58,50,0,55,68,59,37,51,0,0,55,53,0,0
09-03-41,0,0,56,49,0,52,67,60,32,0,0,0,55,0,0,0
09-03-51,34,58,0,49,0,49,67,57,0,0,0,0,55,53,0,0
09-04-01,0,58,61,0,40,49,65,56,0,0,0,0,57,52,0,0
09-04-11,0,54,61,49,0,0,66,62,0,50,0,0,0,53,0,0
09-04-21,0,56,58,49,39,56,68,60,0,0,0,0,55,52,0,0
09-04-31,0,56,60,50,40,56,67,0,43,0,0,0,55,0,0,0
09-04-41,0,0,59,49,0,0,67,60,0,49,0,0,54,0,0,0
09-04-51,0,55,54,49,0,56,67,59,0,0,0,0,60,0,0,0
09-05-01,0,56,60,0,40,56,68,61,0,49,0,0,54,0,0,0
09-05-11,0,54,61,0,40,0,64,59,0,45,0,0,55,53,0,0
09-05-21,0,51,61,0,40,0,66,60,32,0,0,0,56,53,0,0
09-05-31,0,0,60,49,0,56,65,59,0,49,0,0,55,0,0,0
09-05-41,32,56,58,0,40,56,66,60,32,49,0,0,0,53,0,0
09-05-51,0,56,61,0,0,0,68,60,0,49,0,0,0,53,0,0
09-06-01,0,56,63,49,40,0,66,57,0,0,0,0,56,0,0,0
09-06-11,0,55,62,0,40,56,68,60,0,49,0,0,54,0,0,0
09-06-21,0,56,61,0,0,50,65,56,0,49,0,0,0,0,0,0
09-06-31,0,53,0,49,40,56,67,61,0,0,0,0,56,0,0,0
09-06-41,0,56,61,49,40,56,67,60,32,0,0,0,55,0,0,0
09-06-51,0,56,60,51,40,56,68,60,0,0,0,0,56,53,0,0
09-07-01,0,56,58,50,40,56,67,60,0,0,0,0,55,0,0,0
09-07-11,0,54,61,0,0,55,66,59,43,45,0,0,0,53,0,0
09-07-21,0,56,57,50,0,57,68,0,40,49,0,0,57,54,0,0
09-07-31,0,56,62,53,40,55,67,57,0,0,0,0,54,53,0,0
09-07-41,0,55,59,52,40,0,67,60,32,40,0,0,52,53,0,0
09-07-51,32,53,57,49,0,56,66,61,32,50,0,0,55,0,0,0
09-08-01,0,0,63,0,0,0,68,62,41,0,0,0,55,0,0,0
09-08-11,0,56,0,49,44,0,67,59,33,50,0,0,56,52,0,0
09-08-21,0,59,61,53,40,56,65,59,0,49,0,0,55,0,0,0
09-08-31,32,57,62,49,40,0,66,58,0,0,0,0,55,53,0,0
09-08-41,0,56,60,51,0,57,66,60,0,0,0,0,54,53,0,0
09-08-51,0,0,60,52,0,56,65,58,0,45,0,0,55,0,0,0
09-09-01,0,0,0,51,0,0,66,60,0,48,0,0,0,51,0,0
09-09-11,0,0,61,50,40,56,66,59,0,49,0,0,55,0,0,0
09-09-21,0,56,61,0,40,58,68,59,0,45,0,0,55,0,0,0
09-09-31,0,56,0,0,40,55,65,53,43,48,0,0,55,0,0,0
09-09-41,0,0,0,0,0,56,66,59,0,0,0,0,55,0,0,0
09-09-51,0,56,60,0,0,57,65,60,0,0,0,0,55,0,0,0
09-10-01,0,56,62,0,39,56,65,59,0,48,0,0,55,49,0,0
09-10-11,0,56,63,50,0,57,65,59,38,0,0,0,55,0,0,0
09-10-21,0,0,57,49,0,0,61,57,0,49,0,0,55,0,0,0
09-10-31,0,56,55,0,0,0,64,60,0,50,0,0,0,0,0,0
09-10-41,0,54,58,49,0,56,67,0,33,0,0,0,56,53,0,0
09-10-51,0,56,61,0,0,57,67,60,0,0,0,0,55,53,0,0
09-11-01,0,0,61,49,0,0,66,60,0,51,0,0,55,0,0,0
09-11-11,0,56,62,0,39,55,66,0,0,0,0,0,55,53,0,0
09-11-21,0,0,58,0,0,56,68,60,41,0,0,0,57,53,0,0
