date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Willa
09-00-01,0,0,0,0,0,0,67,0,32,0,0,0,54,53,0,0
09-01-01,0,0,61,49,40,57,66,61,0,49,0,0,55,54,0,0
09-02-01,0,51,60,51,0,58,67,60,0,0,0,0,55,0,0,0
09-03-01,0,0,62,49,0,56,64,58,0,0,0,0,55,53,0,0
09-04-01,0,58,61,0,40,49,65,56,0,0,0,0,57,52,0,0
09-05-01,0,56,60,0,40,56,68,61,0,49,0,0,54,0,0,0
09-06-01,0,56,63,49,40,0,66,57,0,0,0,0,56,0,0,0
09-07-01,0,56,58,50,40,56,67,60,0,0,0,0,55,0,0,0
09-08-01,0,0,63,0,0,0,68,62,41,0,0,0,55,0,0,0
09-09-01,0,0,0,51,0,0,66,60,0,48,0,0,0,51,0,0
09-10-01,0,56,62,0,39,56,65,59,0,48,0,0,55,49,0,0
09-11-01,0,0,61,49,0,0,66,60,0,51,0,0,55,0,0,0
09-12-01,0,0,60,49,40,54,67,58,0,0,0,0,0,54,0,0
09-13-01,0,55,0,0,0,56,67,60,40,45,0,0,56,54,0,0
09-14-01,0,51,0,55,42,56,53,57,0,0,0,0,52,53,0,0
09-15-01,34,48,57,0,44,51,59,56,0,0,0,0,52,54,0,0
09-16-01,0,51,58,0,0,53,53,58,0,47,0,0,53,53,0,0
09-17-01,0,47,56,0,0,52,59,58,0,0,0,0,51,51,0,34
09-18-01,0,48,56,38,0,53,0,57,36,0,0,0,50,53,0,36
09-19-01,0,47,58,0,42,52,59,57,0,47,0,0,51,52,0,0
09-20-01,0,0,59,0,42,53,58,55,0,45,0,0,52,53,0,0
09-21-01,0,43,38,0,39,0,51,45,36,40,0,0,0,0,0,0
09-22-01,0,41,49,0,0,48,58,42,40,51,0,0,45,47,0,0
09-23-01,0,45,52,0,36,43,56,0,0,47,0,0,47,43,0,0
09-24-01,0,44,56,0,0,42,0,0,0,42,0,0,45,46,0,0
09-25-01,0,35,43,0,0,40,0,0,0,38,0,0,0,44,0,0
09-26-01,0,0,44,0,0,36,0,0,0,36,0,0,0,45,0,0
09-27-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
09-28-01,36,0,34,0,0,35,0,0,0,0,0,0,0,0,0,0
09-29-01,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
09-30-01,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
09-31-01,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-32-21,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
09-33-01,39,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
09-34-11,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-35-41,40,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
09-36-01,0,0,0,0,0,0,35,0,0,0,0,0,36,0,0,0
09-37-21,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
09-38-01,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
09-39-01,0,36,0,44,0,39,0,0,0,37,0,0,0,34,0,0
09-40-01,0,33,0,52,0,38,0,0,0,45,0,0,0,32,0,0
09-41-01,0,38,39,0,0,42,0,0,0,39,0,0,0,41,0,0
09-42-01,0,39,44,0,0,37,0,0,0,0,0,0,43,42,0,0
09-43-01,0,0,0,34,0,0,35,0,0,0,0,0,0,0,0,0
09-44-01,0,0,0,38,0,0,37,0,0,0,0,0,0,0,0,0
09-45-01,0,0,0,33,0,35,0,0,0,0,0,0,0,36,0,0
09-46-11,0,0,0,33,0,34,32,0,0,0,0,0,0,35,0,0
09-47-21,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
09-48-01,0,34,38,40,0,0,0,0,0,0,0,0,0,0,0,0
09-49-01,0,0,0,36,0,0,0,0,0,32,0,0,0,0,0,0
09-50-01,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
09-51-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-52-01,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
09-53-01,37,0,0,37,0,0,33,0,0,0,0,0,0,0,0,0
09-54-01,0,0,0,0,0,0,44,0,0,0,0,0,0,35,0,0
09-55-01,0,0,39,45,0,0,36,0,0,0,0,0,0,0,0,0
09-56-01,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
09-57-01,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
09-58-01,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-59-01,0,0,35,34,0,0,0,0,0,0,0,0,0,0,0,0
10-00-01,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-01-31,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
10-02-21,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-03-21,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
10-05-51,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-06-01,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
10-07-11,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-09-21,0,0,35,0,0,0,33,0,0,0,0,0,0,0,0,0
10-10-11,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-11-01,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
