date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice
09-00-01,0,44,0,0,0,0,0,0,48,51,0,0,0,47,0,0
09-01-01,0,43,0,0,0,40,0,0,44,52,0,0,0,47,0,0
09-02-01,0,44,0,39,0,0,43,0,0,52,0,0,0,48,0,0
09-03-01,0,45,0,38,0,39,0,0,46,52,0,0,0,45,0,0
09-04-01,0,0,0,39,0,0,0,0,45,52,0,0,0,45,0,0
09-05-01,0,45,0,0,0,38,42,0,49,51,0,0,0,46,0,0
09-06-01,0,44,0,39,0,40,43,0,45,54,0,0,0,0,0,0
09-07-01,0,44,0,37,0,40,43,0,45,51,0,0,0,44,0,0
09-08-01,0,45,0,39,0,39,43,0,46,53,0,0,0,47,0,0
09-09-01,0,45,0,40,0,41,0,0,45,52,0,0,0,46,0,0
09-10-01,0,43,0,38,0,39,41,0,45,51,0,0,0,47,0,0
09-11-01,0,47,35,39,0,39,43,0,45,52,0,0,0,45,0,0
09-12-01,0,0,0,0,0,40,43,0,44,52,0,0,0,47,0,0
09-13-01,0,47,0,39,0,0,43,0,46,53,0,0,0,44,0,0
09-14-01,0,45,0,40,0,43,0,0,44,56,0,0,0,44,0,0
09-15-01,0,46,0,0,0,0,40,0,46,53,0,0,0,48,38,0
09-16-01,0,43,0,0,0,40,45,0,45,52,0,0,0,42,39,0
09-17-01,0,44,0,0,0,40,0,0,0,52,0,0,0,43,0,0
09-18-01,0,45,0,0,0,0,43,0,45,52,0,0,0,43,0,0
09-19-01,0,45,0,0,0,40,44,0,45,52,0,0,0,40,0,0
09-20-01,0,46,0,0,0,40,43,0,45,52,0,0,0,43,0,0
09-21-01,0,45,0,0,0,39,0,0,45,53,0,0,0,42,0,0
09-22-01,0,45,0,0,0,0,0,0,46,53,0,0,0,41,0,0
09-23-01,0,45,0,0,0,40,37,0,46,53,0,0,0,43,0,0
09-24-01,0,47,38,0,0,39,0,0,48,52,0,0,0,43,0,0
09-25-01,0,46,37,0,0,40,0,0,45,52,0,0,0,42,0,0
09-26-01,0,45,38,0,0,38,0,0,0,52,0,0,0,41,0,0
09-27-01,0,47,39,0,0,39,0,0,0,52,0,0,0,43,0,0
09-28-01,0,46,38,0,0,0,0,0,0,53,0,0,0,40,0,0
09-29-01,0,47,39,0,0,45,0,0,0,54,0,0,0,42,0,0
09-30-01,0,46,39,0,0,44,0,0,0,53,0,0,0,40,0,0
09-31-01,0,46,39,0,0,41,0,0,0,0,0,0,0,40,0,0
09-32-11,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
09-44-21,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
09-45-11,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
09-46-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
09-47-11,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
09-54-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
10-02-51,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0
10-03-01,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
10-05-41,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-21-31,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-24-01,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
10-26-51,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
10-33-21,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
10-35-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
10-36-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
11-22-41,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
11-46-31,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
11-47-51,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
11-52-41,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
11-53-01,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
11-54-51,0,0,0,0,0,35,0,0,0,37,0,0,0,0,0,0
12-02-01,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
12-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
12-06-41,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
12-08-41,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
12-09-51,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
12-14-31,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
12-16-51,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
12-17-41,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
12-18-01,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
12-19-01,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
12-20-01,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
12-21-01,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
12-22-01,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
12-23-21,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
12-24-51,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
12-25-41,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
12-31-21,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
12-35-31,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
12-38-11,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
12-40-11,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
12-41-21,37,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
12-45-11,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
12-48-21,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
12-49-41,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
12-50-01,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
12-51-41,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
12-52-21,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
12-53-11,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
12-54-01,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
12-55-11,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
12-56-01,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
12-57-11,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
12-58-01,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
12-59-01,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
13-00-21,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
13-01-01,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
13-02-01,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
13-03-31,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
13-04-01,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
13-05-31,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
13-11-01,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
13-19-51,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
13-27-21,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
13-30-31,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-47-51,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-50-01,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
13-56-41,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
13-57-01,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0
13-59-41,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
14-01-21,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
