date,Uriah,Veylan,Sofi,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-00-01,0,0,58,0,0,0,57,36,40,0,0,0,49,51,46,0
09-00-11,0,0,61,0,0,46,57,0,38,54,0,0,46,53,0,34
09-00-21,0,0,62,0,0,41,57,0,0,54,0,0,0,52,45,0
09-00-31,0,38,60,0,32,45,57,34,39,53,0,0,0,52,47,32
09-00-41,0,0,60,0,32,0,57,0,0,49,0,0,0,50,45,0
09-00-51,0,0,61,0,32,46,58,36,39,0,0,0,48,51,49,0
09-01-01,0,0,61,0,0,0,57,0,0,48,0,0,47,51,47,0
09-01-11,0,0,58,0,0,46,58,0,40,49,0,0,48,0,48,0
09-01-21,0,0,60,0,0,46,57,0,0,53,0,0,47,51,44,32
09-01-31,0,0,60,0,0,0,57,0,0,54,0,0,0,0,48,0
09-01-41,0,39,60,0,0,46,57,37,0,56,0,0,47,52,0,0
09-01-51,0,0,61,0,32,0,58,0,0,54,0,0,48,52,0,34
09-02-01,0,38,60,0,0,45,57,36,0,55,0,0,49,52,49,0
09-02-11,0,0,62,0,0,46,58,0,0,55,0,0,47,53,51,0
09-02-21,0,0,62,0,0,46,57,0,38,51,0,0,47,52,0,0
09-02-31,0,38,61,0,0,0,56,0,0,55,0,0,0,53,48,0
09-02-41,0,40,58,0,32,45,55,36,38,54,0,0,47,52,47,0
09-02-51,0,39,61,0,0,45,57,0,0,54,0,0,49,53,47,34
09-03-01,0,0,61,0,0,45,56,40,0,54,0,0,0,0,46,0
09-03-11,0,0,60,0,32,47,57,0,0,52,0,0,0,52,0,34
09-03-21,0,0,59,0,0,45,55,0,33,53,0,0,47,0,0,32
09-03-31,0,38,61,0,0,45,57,36,39,0,0,0,49,52,46,0
09-03-41,0,0,60,0,0,0,58,36,0,54,0,0,50,52,49,0
09-03-51,0,0,0,0,0,0,57,0,0,54,0,0,47,52,46,0
09-04-01,0,0,58,0,0,0,56,37,0,54,0,0,0,52,46,34
09-04-11,0,39,57,0,0,0,58,0,34,54,0,0,47,48,47,33
09-04-21,0,0,61,0,32,46,57,38,0,40,0,0,47,53,0,0
09-04-31,0,0,60,0,0,0,57,0,0,54,0,0,48,0,47,0
09-04-41,0,38,60,0,0,0,56,37,38,54,0,0,0,52,48,32
09-04-51,0,0,61,0,32,46,59,37,0,0,0,0,0,53,45,0
09-05-01,0,0,57,0,0,47,57,38,0,50,0,0,48,53,47,0
09-05-11,0,0,62,0,0,0,56,0,0,53,0,0,48,52,49,0
09-05-21,0,0,60,0,32,45,57,37,39,0,0,0,0,54,51,0
09-05-31,0,0,57,0,0,47,55,37,0,54,0,0,47,46,46,0
09-05-41,0,0,59,0,0,0,58,0,39,53,0,0,0,53,47,0
09-05-51,0,37,58,0,0,0,58,0,0,49,0,0,0,52,46,33
09-06-01,0,0,61,0,0,0,57,0,36,55,0,0,48,53,47,34
09-06-11,0,0,59,0,0,0,57,36,0,54,0,0,48,46,0,0
09-06-21,0,38,60,0,0,45,57,0,0,51,0,0,0,40,47,34
09-06-31,0,0,58,0,0,46,59,0,0,51,0,0,50,53,47,0
09-06-41,0,0,61,0,0,45,56,37,0,56,0,0,47,52,0,0
09-06-51,0,0,61,0,32,38,57,36,40,51,0,0,47,52,46,34
09-07-01,0,40,52,0,32,47,57,36,0,54,0,0,47,53,0,0
09-07-11,0,38,57,0,0,46,58,0,0,52,0,0,0,40,43,0
09-07-21,0,0,61,0,32,45,57,0,39,55,0,0,49,51,49,33
09-07-31,0,0,58,0,0,0,57,0,0,55,0,0,50,53,49,0
09-07-41,0,0,59,0,0,49,57,0,40,55,0,0,49,53,48,0
09-07-51,0,38,61,0,0,36,57,0,39,55,0,0,47,52,47,0
09-08-01,0,0,61,0,32,0,57,0,38,0,0,0,47,54,0,0
09-08-11,0,0,59,0,0,0,57,0,0,54,0,0,49,47,46,34
09-08-21,0,0,59,0,0,46,57,37,0,53,0,0,47,0,47,0
09-08-31,0,38,60,0,32,45,56,0,40,55,0,0,46,51,47,33
09-08-41,0,0,58,0,0,0,57,0,37,51,0,0,49,0,47,33
09-08-51,0,0,60,0,0,45,58,36,0,54,0,0,49,53,47,0
09-09-01,0,42,60,0,0,47,57,0,39,55,0,0,0,53,50,0
09-09-11,0,0,57,0,0,47,57,0,0,50,0,0,48,54,48,0
09-09-21,0,0,59,0,0,42,57,0,0,54,0,0,48,0,47,34
