date,Uriah,Veylan,Sofi,Neve,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-00-01,0,0,33,33,0,0,44,0,0,0,0,0,0,0,37,0
09-01-01,0,0,0,0,0,0,43,0,0,0,0,0,0,0,38,0
09-02-01,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-03-01,0,0,33,33,0,0,42,0,0,0,0,0,0,0,38,0
09-04-01,0,0,0,33,0,0,44,0,0,0,0,0,0,0,38,0
09-05-01,0,0,33,34,0,0,45,0,0,0,0,0,0,0,38,0
09-06-01,0,0,33,33,0,0,42,0,0,0,0,0,0,0,38,0
09-07-01,0,0,33,33,0,0,43,0,0,0,0,0,0,0,39,0
09-08-01,0,0,0,33,0,0,42,0,0,0,0,0,0,0,38,0
09-09-01,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-10-01,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-11-01,0,0,33,33,0,0,42,0,0,0,0,0,0,0,38,0
09-12-01,0,0,33,33,0,0,43,0,0,0,0,0,0,0,38,0
09-13-01,0,0,0,33,0,0,44,0,0,0,0,0,0,0,38,0
09-14-01,0,0,0,34,0,0,39,0,0,0,0,0,0,0,39,0
09-15-01,0,0,33,0,0,0,38,0,0,0,0,0,0,0,41,0
09-16-01,0,0,33,0,0,0,37,0,0,0,0,0,0,0,39,0
09-17-01,0,0,33,0,0,0,40,0,0,0,0,0,0,0,40,0
09-18-01,0,0,33,0,0,0,40,0,0,0,0,0,0,0,40,0
09-19-01,0,0,0,0,0,0,39,0,0,0,0,0,0,0,41,0
09-20-01,0,0,33,0,0,0,39,0,0,0,0,0,0,0,40,0
09-21-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
09-22-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
09-23-01,0,0,0,0,0,0,0,0,0,0,0,0,33,0,34,0
09-24-01,0,0,0,0,0,0,0,0,0,0,0,0,33,0,36,0
09-25-01,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
09-26-01,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
09-27-01,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0,0
09-28-01,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
09-29-11,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0,0
09-30-01,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-31-01,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0,0
09-33-31,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-35-01,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-37-41,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-38-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
09-39-21,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-42-21,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-47-51,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
09-48-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
09-53-51,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
09-54-01,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
09-55-01,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
10-02-01,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
