date,Uriah,Veylan,Sofi,Neve,Elliot,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-00-01,36,56,0,0,0,0,48,0,37,60,0,0,0,57,52,33
09-00-11,0,55,47,45,0,0,50,0,0,58,0,0,0,59,52,33
09-00-21,0,0,49,0,0,0,0,0,0,60,0,0,0,60,53,0
09-00-31,0,54,48,0,0,0,50,0,40,61,0,0,0,59,55,33
09-00-41,34,55,0,43,0,0,47,0,0,60,0,0,0,57,54,33
09-00-51,0,55,50,45,0,0,53,0,40,60,0,0,0,56,53,0
09-01-01,0,56,48,0,0,0,51,0,0,60,0,0,0,59,53,33
09-01-11,33,55,51,45,0,0,0,0,39,57,0,0,0,0,54,31
09-01-21,35,56,50,45,0,0,0,0,0,62,0,0,0,59,0,33
09-01-31,0,56,47,45,0,0,51,0,0,60,0,0,0,57,52,0
09-01-41,0,56,0,45,0,0,0,0,0,60,0,0,0,59,53,0
09-01-51,35,0,50,0,0,0,46,0,40,60,0,0,0,59,53,0
09-02-01,0,56,0,45,0,0,50,0,0,59,0,0,0,59,0,0
09-02-11,34,56,51,0,0,0,0,0,0,62,0,0,0,59,51,0
09-02-21,33,56,50,43,0,0,50,0,0,60,0,0,0,62,51,32
09-02-31,0,55,48,45,0,0,50,0,0,61,0,0,0,59,51,0
09-02-41,34,56,50,41,0,0,50,0,0,61,0,0,0,58,53,33
09-02-51,34,55,42,44,0,0,50,0,0,61,0,0,0,59,51,0
09-03-01,0,56,50,0,0,0,0,0,0,0,0,0,0,59,50,33
09-03-11,33,56,48,44,0,0,38,0,0,62,0,0,0,59,53,0
09-03-21,0,55,51,44,0,0,50,0,0,61,0,0,0,58,53,32
09-03-31,0,55,50,0,0,0,50,0,40,60,0,0,0,58,0,0
09-03-41,34,56,50,44,0,0,50,30,0,60,0,0,0,57,53,33
09-03-51,0,53,0,45,0,0,50,0,0,59,0,0,0,58,53,33
09-04-01,0,56,0,45,0,0,49,0,39,60,0,0,0,57,53,32
09-04-11,0,56,50,45,0,0,50,0,40,61,0,0,0,59,53,33
09-04-21,33,57,50,45,0,0,50,0,0,59,0,0,0,59,0,0
09-04-31,34,0,49,0,0,0,50,0,0,58,0,0,0,57,54,0
09-04-41,34,55,50,45,0,0,50,0,39,61,0,0,0,59,0,0
09-04-51,34,56,47,45,0,0,50,0,0,61,0,0,0,59,55,0
09-05-01,35,54,49,44,0,0,50,0,0,61,0,0,0,59,53,32
09-05-11,35,53,0,0,0,0,49,0,40,61,0,0,0,58,53,33
09-05-21,35,56,49,41,0,0,48,0,0,61,0,0,0,58,53,0
09-05-31,0,56,50,45,0,0,50,0,40,61,0,0,0,59,53,34
09-05-41,34,55,0,45,0,0,47,0,0,61,0,0,0,59,54,33
09-05-51,0,56,0,45,0,0,50,0,0,60,0,0,0,59,0,33
09-06-01,0,56,50,45,0,0,49,0,40,60,0,0,0,59,45,0
09-06-11,34,0,50,0,0,0,50,0,40,59,0,0,0,57,0,0
