date,Uriah,Veylan,Sofi,Neve,Elliot,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-00-01,36,56,0,0,0,0,48,0,37,60,0,0,0,57,52,33
09-01-01,0,56,48,0,0,0,51,0,0,60,0,0,0,59,53,33
09-02-01,0,56,0,45,0,0,50,0,0,59,0,0,0,59,0,0
09-03-01,0,56,50,0,0,0,0,0,0,0,0,0,0,59,50,33
09-04-01,0,56,0,45,0,0,49,0,39,60,0,0,0,57,53,32
09-05-01,35,54,49,44,0,0,50,0,0,61,0,0,0,59,53,32
09-06-01,0,56,50,45,0,0,49,0,40,60,0,0,0,59,45,0
09-07-01,34,55,50,45,0,0,50,0,0,61,0,0,0,58,51,33
09-08-01,33,55,0,0,0,0,50,0,0,59,0,0,0,59,53,0
09-09-01,34,55,50,42,0,0,50,0,40,59,0,0,0,59,53,0
09-10-01,34,58,51,46,0,0,50,0,40,59,0,0,0,58,0,33
09-11-01,34,55,0,45,0,0,0,0,40,61,0,0,0,58,53,33
09-12-01,35,55,51,36,0,0,50,0,38,60,0,0,0,59,51,33
09-13-01,0,55,50,38,0,0,49,31,41,61,0,0,0,56,53,30
09-14-01,0,59,40,32,0,0,39,0,0,58,0,0,0,56,51,0
09-15-01,0,55,53,0,0,0,0,30,42,61,0,0,0,59,48,0
09-16-01,0,57,50,0,0,0,45,0,0,61,0,0,0,57,52,0
09-17-01,30,56,51,0,0,0,0,0,43,62,0,0,0,57,50,33
09-18-01,0,57,49,0,0,0,0,0,42,61,0,0,0,56,50,0
09-19-01,0,58,50,0,0,0,39,0,43,61,0,0,29,57,0,0
09-20-01,36,56,50,0,0,0,0,0,39,61,0,0,0,0,49,0
09-21-01,0,56,0,0,0,0,39,0,0,62,0,0,0,56,44,0
09-22-01,0,58,50,0,0,0,0,0,44,61,0,0,0,57,45,34
09-23-01,0,57,49,0,0,0,44,0,43,60,0,0,0,57,38,0
09-24-01,0,57,49,0,0,0,0,0,42,62,0,0,0,57,38,36
09-25-01,34,58,51,0,0,0,0,0,43,61,0,0,0,58,0,33
09-26-01,37,58,50,0,0,0,0,0,30,60,0,0,0,57,33,30
09-27-01,37,57,50,0,0,0,0,0,0,59,0,0,0,59,0,29
09-28-01,34,58,51,0,0,0,33,0,0,60,0,0,0,59,0,34
09-29-01,37,58,0,0,0,0,0,33,0,61,0,0,0,58,0,39
09-30-01,0,53,52,0,0,0,0,0,0,60,0,0,30,59,0,35
09-31-01,37,57,50,0,0,0,33,0,0,47,0,0,0,57,0,35
09-32-01,32,59,50,0,0,0,0,0,0,50,0,0,0,60,0,0
09-33-01,38,59,47,0,0,0,0,0,0,49,0,0,0,62,0,0
09-34-01,0,60,52,0,0,0,0,0,0,42,0,0,0,61,0,0
09-35-01,0,60,53,0,0,0,37,0,0,0,0,0,0,61,0,0
09-36-01,34,59,53,0,0,0,0,0,0,0,0,0,0,60,0,0
09-37-01,32,61,53,0,0,0,0,0,0,33,0,0,0,60,0,0
09-38-01,0,59,51,0,0,0,31,0,0,46,0,0,0,60,0,0
