date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-14-89,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-15-21,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-15-29,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-21-11,0,0,0,0,0,0,0,0,0,39,0,0,33,37,45,0
09-21-21,0,37,39,0,0,43,0,0,0,38,0,0,33,41,42,0
09-21-31,0,36,34,0,0,0,0,0,0,36,0,0,0,0,46,0
09-21-41,0,33,0,0,0,0,0,0,0,0,33,0,0,37,38,0
09-21-51,0,38,0,0,0,33,0,0,0,39,36,0,0,37,39,0
09-22-01,0,0,37,0,0,0,0,34,0,41,0,0,33,44,56,0
09-22-11,0,42,39,0,0,47,0,0,0,39,0,0,0,38,53,0
09-22-21,0,0,37,0,0,35,0,0,0,35,0,0,0,0,41,0
09-22-31,0,0,57,0,0,39,0,0,33,51,0,0,0,57,50,0
09-22-41,0,50,60,0,0,45,0,0,36,38,0,0,36,52,53,0
09-22-51,0,49,60,0,0,0,0,0,0,53,0,0,0,57,54,0
09-23-01,33,47,59,0,0,43,0,0,0,52,0,0,39,54,57,0
09-23-11,0,38,0,0,0,40,0,0,0,39,0,0,0,41,47,0
09-23-21,0,0,42,0,0,40,0,35,0,0,0,0,0,39,52,0
09-23-31,0,0,0,0,0,0,0,33,0,0,0,0,0,0,33,0
09-23-41,0,33,36,0,0,35,0,0,0,39,0,0,0,39,36,0
09-23-51,0,0,38,0,0,34,0,0,0,0,0,0,0,38,0,0
09-24-01,0,0,0,0,0,0,0,0,0,33,0,0,0,33,33,0
09-24-11,0,37,42,0,0,40,0,0,0,44,33,0,0,38,36,0
09-24-21,0,37,52,0,0,35,0,0,33,39,0,0,43,42,41,0
09-24-31,0,37,40,0,0,38,0,0,33,40,0,0,0,43,36,0
09-24-41,0,0,33,39,0,0,0,0,0,0,0,0,0,0,34,0
09-24-51,41,33,0,0,0,33,0,0,0,0,0,0,0,0,34,0
09-25-01,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
09-25-11,0,0,39,0,0,37,0,0,0,0,0,0,0,0,37,0
09-25-21,0,0,38,0,0,0,0,39,0,39,0,0,0,0,36,0
09-25-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
09-25-41,0,40,35,0,0,40,0,0,0,38,0,0,0,0,0,0
09-25-51,0,0,36,0,0,42,0,0,0,0,0,0,0,34,0,0
09-26-01,0,33,34,0,0,34,0,0,0,0,0,0,0,0,33,0
09-26-11,0,0,33,0,0,0,0,0,0,33,0,0,0,0,0,0
09-26-21,0,36,34,0,0,34,0,0,0,37,0,0,0,38,0,0
09-26-31,0,33,37,0,0,39,0,0,0,40,0,0,0,39,34,0
09-26-41,0,36,0,0,0,35,0,0,0,0,0,0,0,0,41,0
09-26-51,0,38,37,0,0,36,0,0,0,40,0,33,0,44,0,0
09-27-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
09-27-11,0,33,0,0,0,35,0,0,0,0,0,0,0,33,0,0
09-27-21,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0
09-27-41,0,0,33,0,0,0,0,0,0,34,0,0,0,0,0,0
