date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-14-89,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-15-21,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
09-21-11,0,0,0,0,0,0,0,0,0,39,0,0,33,37,45,0
09-22-01,0,0,37,0,0,0,0,34,0,41,0,0,33,44,56,0
09-23-01,33,47,59,0,0,43,0,0,0,52,0,0,39,54,57,0
09-24-01,0,0,0,0,0,0,0,0,0,33,0,0,0,33,33,0
09-25-01,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
09-26-01,0,33,34,0,0,34,0,0,0,0,0,0,0,0,33,0
09-27-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
09-28-01,0,36,35,0,0,41,0,0,0,0,0,0,0,36,0,0
09-29-01,0,0,36,0,0,0,0,0,0,33,0,0,0,0,0,0
09-30-01,0,0,35,0,0,35,0,0,0,33,0,0,0,33,0,0
09-31-01,0,0,33,0,0,34,0,0,0,0,0,0,0,0,0,0
09-32-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
09-33-01,0,0,33,0,0,0,0,0,0,33,0,0,0,33,0,0
09-34-01,0,34,0,0,0,0,0,0,0,35,0,0,0,33,0,0
09-35-01,0,0,33,0,0,41,0,0,0,46,0,0,0,35,0,0
09-36-01,0,0,0,46,0,0,0,0,0,0,0,0,0,0,33,0
09-37-11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-38-01,0,33,0,0,0,33,0,0,0,34,0,0,0,36,0,0
09-39-11,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
09-40-01,37,0,33,0,0,33,0,0,0,34,0,0,0,0,0,0
09-41-01,42,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
09-42-01,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
09-43-01,42,0,33,40,0,0,0,0,0,0,0,0,0,0,34,0
09-44-01,0,0,0,0,0,0,0,0,0,33,0,0,0,0,35,0
09-45-01,0,0,33,0,0,34,0,0,0,33,0,0,0,38,0,0
09-46-01,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-47-01,0,0,34,0,0,35,0,0,0,0,0,0,0,34,0,0
09-48-01,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
09-49-01,0,0,0,35,0,0,0,33,0,0,0,0,0,0,33,0
09-50-01,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
09-51-01,0,0,0,35,0,0,0,0,0,0,0,33,0,0,0,0
09-52-01,0,33,40,0,0,37,0,0,0,0,0,0,0,39,0,0
09-53-01,0,0,33,0,0,33,0,0,0,0,0,0,0,35,33,0
09-54-01,0,0,34,0,0,37,0,0,0,0,0,0,0,0,47,0
09-55-01,0,0,0,38,0,0,0,0,0,0,0,33,0,0,34,0
09-56-01,0,0,0,0,0,33,0,0,0,0,0,33,0,0,36,0
09-57-01,0,0,33,0,0,0,0,0,0,0,0,0,0,36,0,0
09-58-01,0,0,0,33,0,34,0,0,0,0,0,0,0,0,0,0
09-59-01,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
10-00-01,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0
