date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-00-01,0,42,45,0,0,0,47,0,0,56,0,0,0,60,42,46
09-00-11,0,0,0,44,0,45,45,0,0,56,0,0,0,61,43,45
09-00-21,0,38,45,45,0,46,47,0,0,55,0,0,0,61,42,0
09-00-31,0,0,44,0,0,48,46,0,0,59,0,0,0,60,43,41
09-00-41,0,38,45,44,0,0,0,0,0,56,0,0,0,60,0,43
09-00-51,0,38,44,44,0,45,0,0,0,56,0,0,0,60,43,46
09-01-01,0,48,0,44,0,0,0,0,0,57,0,0,0,59,0,46
09-01-11,0,0,42,0,0,0,43,0,0,56,0,0,0,59,0,0
09-01-21,0,41,43,0,0,45,46,0,0,57,0,0,0,59,0,43
09-01-31,0,0,45,0,0,45,0,0,0,56,0,0,0,60,45,43
09-01-41,0,0,44,45,0,0,39,0,0,56,0,0,0,59,0,0
09-01-51,0,47,0,0,0,45,46,0,0,56,0,0,0,60,0,43
09-02-01,0,44,44,43,0,0,44,0,0,57,0,0,0,60,0,41
09-02-11,0,38,0,43,0,46,46,0,0,55,0,0,0,59,0,46
09-02-21,0,48,0,43,0,46,46,0,0,55,0,0,0,60,0,43
09-02-31,0,38,0,44,0,46,46,0,0,57,0,0,0,60,0,42
09-02-41,0,38,45,44,0,0,46,0,0,55,0,0,0,61,0,44
09-02-51,0,42,0,43,0,42,0,0,0,57,0,0,0,59,0,43
09-03-01,0,0,44,42,0,38,46,0,0,57,0,0,0,61,43,0
09-03-11,0,38,45,43,0,45,46,0,0,55,0,0,0,61,43,43
09-03-21,0,41,44,45,0,0,46,0,0,56,0,0,0,59,0,44
09-03-31,0,0,45,0,0,0,46,0,0,57,0,0,0,60,42,0
09-03-41,0,43,43,43,0,45,47,0,0,56,0,0,0,61,0,42
09-03-51,0,38,0,43,0,46,45,0,0,57,0,0,0,60,0,44
09-04-01,0,46,45,43,0,0,0,0,0,57,0,0,0,60,0,44
09-04-11,0,38,44,43,0,45,0,0,0,55,0,0,0,60,44,0
09-04-21,0,38,0,43,0,0,46,0,0,57,0,0,0,60,43,44
09-04-31,0,0,43,44,0,0,0,0,0,56,0,0,0,61,43,0
09-04-41,0,38,0,0,0,46,46,0,0,55,0,0,0,60,0,43
09-04-51,0,0,0,43,0,47,46,0,0,57,0,0,0,60,0,45
09-05-01,0,0,45,42,0,0,46,0,0,57,0,0,0,61,0,43
09-05-11,0,38,0,43,0,0,46,0,0,57,0,0,0,60,43,45
09-05-21,0,38,45,44,0,0,48,0,0,56,0,0,0,60,44,43
09-05-31,0,0,0,43,0,0,39,0,0,57,0,0,0,60,0,48
09-05-41,0,46,40,43,0,47,46,0,0,57,0,0,0,60,0,45
09-05-51,0,0,0,44,0,0,45,0,0,54,0,0,0,60,0,43
09-06-01,0,41,45,43,0,45,46,0,0,57,0,0,0,58,39,44
09-06-11,0,38,43,42,0,45,46,0,0,56,0,0,0,60,0,44
09-06-21,0,47,0,39,0,0,46,0,0,56,0,0,0,58,44,44
09-06-31,0,38,44,44,0,45,45,0,0,55,0,0,0,61,0,47
09-06-41,0,42,43,44,0,0,46,0,0,53,0,0,0,60,0,45
09-06-51,0,0,0,43,0,45,46,0,0,56,0,0,0,60,0,46
09-07-01,0,41,44,45,0,46,46,0,0,57,0,0,0,60,0,43
09-07-11,0,42,0,44,0,0,46,0,0,56,0,0,0,61,0,45
09-07-21,0,0,44,45,0,44,41,0,0,56,0,0,0,60,0,46
09-07-31,0,41,0,44,0,0,0,0,0,56,0,0,0,60,0,0
09-07-41,0,38,43,44,0,45,46,0,0,57,0,0,0,60,0,43
09-07-51,0,38,43,43,0,45,0,0,0,56,0,0,0,60,38,0
09-08-01,0,38,0,44,0,44,46,0,0,56,0,0,0,61,44,46
09-08-11,0,0,38,0,0,0,47,0,0,56,0,0,0,59,0,46
09-08-21,0,38,44,44,0,45,46,0,0,56,0,0,0,60,0,42
09-08-31,0,42,44,45,0,0,0,0,0,55,0,0,0,60,0,44
