date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-00-01,0,42,45,0,0,0,47,0,0,56,0,0,0,60,42,46
09-01-01,0,48,0,44,0,0,0,0,0,57,0,0,0,59,0,46
09-02-01,0,44,44,43,0,0,44,0,0,57,0,0,0,60,0,41
09-03-01,0,0,44,42,0,38,46,0,0,57,0,0,0,61,43,0
09-04-01,0,46,45,43,0,0,0,0,0,57,0,0,0,60,0,44
09-05-01,0,0,45,42,0,0,46,0,0,57,0,0,0,61,0,43
09-06-01,0,41,45,43,0,45,46,0,0,57,0,0,0,58,39,44
09-07-01,0,41,44,45,0,46,46,0,0,57,0,0,0,60,0,43
09-08-01,0,38,0,44,0,44,46,0,0,56,0,0,0,61,44,46
09-09-01,0,0,45,45,0,45,46,0,0,56,0,0,0,61,38,0
09-10-01,0,38,47,42,0,47,0,0,0,57,0,0,0,61,0,43
09-11-01,0,43,44,43,0,45,46,0,0,57,0,0,0,60,0,43
09-12-01,0,44,44,0,0,46,46,0,0,57,0,0,0,61,43,42
09-13-01,0,0,44,41,0,44,49,0,0,56,0,0,0,60,0,44
09-14-01,0,42,46,45,0,43,48,0,0,49,0,0,0,59,0,46
09-15-01,0,41,39,0,0,47,47,0,0,55,0,0,0,60,39,43
09-16-01,0,0,42,0,0,0,49,0,0,58,0,0,0,60,0,0
09-17-01,0,0,43,0,0,48,48,0,0,55,0,0,0,60,0,44
09-18-01,0,40,42,0,0,47,49,0,0,54,0,0,0,60,0,43
09-19-01,0,39,43,0,0,48,47,0,0,54,0,0,0,60,0,0
09-20-01,0,47,45,0,0,0,49,0,0,55,0,0,0,58,0,0
09-21-01,0,40,44,0,0,49,0,0,0,56,0,0,0,60,38,43
09-22-01,0,46,41,0,0,49,0,0,0,56,0,0,0,61,0,44
09-23-01,0,40,0,0,0,48,40,0,0,55,0,0,0,61,39,0
09-24-01,0,42,44,0,0,48,0,0,0,55,0,0,0,61,38,44
09-25-01,0,41,46,0,0,50,0,0,0,54,0,0,0,60,0,43
09-26-01,0,38,0,0,0,38,0,0,0,50,0,0,0,43,0,0
09-27-01,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
09-28-01,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-29-11,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
09-30-11,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
09-31-21,0,39,51,0,0,38,0,0,0,0,0,0,0,48,0,0
09-34-41,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
09-37-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
09-45-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
09-47-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
09-48-21,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-49-41,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
09-50-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
09-51-11,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
09-53-31,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
10-00-01,0,0,39,0,0,38,0,0,0,0,0,0,0,38,0,0
10-01-01,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
10-02-11,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
10-03-31,0,0,40,0,0,38,0,0,0,0,0,0,0,0,0,0
10-04-01,0,0,39,0,0,38,0,0,0,0,0,0,0,41,0,0
10-05-01,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
10-06-11,0,0,41,0,0,0,0,0,0,0,0,0,0,38,0,0
10-07-01,0,0,46,0,0,0,0,0,0,0,0,0,0,38,0,0
10-08-01,0,0,43,0,0,0,0,0,0,0,0,0,0,38,0,0
10-09-01,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
10-12-11,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0
10-13-01,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
10-14-01,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
10-16-41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-17-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
10-18-31,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
10-19-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
10-20-01,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
10-21-51,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
10-22-01,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
10-29-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
10-30-31,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
10-31-01,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
10-32-21,48,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
10-33-01,0,0,0,0,0,0,39,0,0,0,0,0,0,0,38,0
10-34-01,0,0,46,38,0,0,0,0,0,0,0,0,0,0,0,0
10-35-11,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-38-51,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
10-39-51,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
10-41-51,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
10-43-21,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
10-44-01,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
10-51-01,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-52-01,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-53-01,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-54-01,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-55-01,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-56-01,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-57-01,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-58-01,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-59-01,0,38,0,0,0,0,0,0,0,38,0,0,0,0,0,0
11-00-11,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
11-01-21,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0
11-02-01,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-03-11,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-04-31,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
11-05-11,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
11-06-01,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
11-07-01,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
11-09-01,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
11-10-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
11-13-41,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
11-14-11,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
11-15-01,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-21-31,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
11-22-11,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
11-24-01,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-26-41,0,0,0,0,0,0,38,0,0,0,0,0,0,0,39,0
11-30-21,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
11-32-11,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
11-33-01,0,0,0,0,0,0,38,0,0,39,0,0,0,0,0,0
11-34-01,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
11-38-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
11-39-11,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
11-40-01,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
11-41-11,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
11-42-11,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0
11-43-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
11-44-31,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
11-45-01,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-46-21,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
11-50-21,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-51-51,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
11-52-11,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
11-53-21,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
11-54-01,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
12-00-41,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
12-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
12-03-31,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
12-04-11,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
12-05-21,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
12-07-01,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0
12-08-01,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
12-09-01,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
12-10-01,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
12-11-01,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0
12-12-01,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
12-13-01,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0
12-14-01,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
12-15-01,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
12-16-01,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0
12-17-01,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
12-18-01,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
12-19-01,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
