date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Mary,Erin,Taj,Silas,Beatrice,Willa
09-00-01,47,62,0,55,0,63,44,37,0,0,0,0,0,53,0,47
09-00-11,44,63,53,55,0,55,0,37,52,0,0,0,0,0,46,48
09-00-21,39,61,0,56,0,62,0,0,0,0,0,0,36,54,48,0
09-00-31,39,62,0,55,0,60,0,0,53,0,0,0,0,54,0,48
09-00-41,0,61,53,55,0,62,0,0,0,0,0,0,34,54,0,47
09-00-51,41,63,53,54,0,63,0,0,0,0,0,0,0,51,0,0
09-01-01,44,63,0,0,0,60,0,0,0,0,0,0,0,56,48,48
09-01-11,43,61,55,55,0,61,0,37,53,0,0,0,35,55,0,0
09-01-21,39,62,53,54,0,62,0,0,0,0,0,0,0,54,0,0
09-01-31,0,62,0,55,0,62,41,0,52,0,0,0,0,55,0,0
09-01-41,0,62,0,55,0,60,0,36,53,0,0,0,0,51,0,0
09-01-51,43,60,0,59,0,63,43,38,52,0,0,0,35,53,0,48
09-02-01,43,63,53,55,0,63,0,0,53,0,0,0,34,0,0,0
09-02-11,42,61,0,55,0,63,0,36,0,0,0,0,0,0,0,47
09-02-21,0,60,49,54,0,62,41,0,54,0,0,0,35,55,0,48
09-02-31,0,61,53,56,0,62,0,38,53,0,0,0,34,0,47,0
09-02-41,0,62,53,55,0,62,0,0,53,0,0,0,0,54,47,48
09-02-51,44,62,51,54,0,62,0,0,0,0,0,0,34,50,0,0
09-03-01,0,62,53,55,0,60,42,0,52,0,0,0,0,54,48,46
09-03-11,44,62,54,51,0,0,45,0,0,0,0,0,0,0,0,0
09-03-21,0,61,53,55,0,61,42,39,0,0,0,0,35,53,0,0
09-03-31,0,60,0,53,0,62,42,34,53,0,0,0,0,50,49,0
09-03-41,41,60,53,55,0,60,0,0,0,0,0,0,0,0,0,48
09-03-51,44,62,0,55,0,62,0,0,51,0,0,0,0,53,48,0
09-04-01,46,62,52,0,0,62,0,0,53,0,0,0,0,54,0,48
09-04-11,43,60,53,55,0,60,0,0,0,0,0,0,0,0,48,47
09-04-21,0,62,0,0,0,62,42,0,54,0,0,0,0,45,0,0
09-04-31,0,61,53,55,0,63,0,0,53,0,0,0,0,54,0,48
09-04-41,44,64,53,53,0,61,41,38,52,0,0,0,0,54,0,48
09-04-51,0,63,52,0,0,62,41,0,53,0,0,0,0,55,48,48
09-05-01,0,62,54,59,0,63,0,0,0,0,0,0,35,0,0,48
09-05-11,0,61,0,0,0,61,41,0,0,0,0,0,0,55,0,0
09-05-21,41,62,53,54,0,61,0,38,45,0,0,0,0,53,48,0
09-05-31,45,60,53,56,0,62,42,0,53,0,0,0,0,0,0,48
09-05-41,41,59,54,53,0,61,0,0,0,0,0,0,0,54,48,47
09-05-51,0,60,54,54,0,61,0,0,52,0,0,0,0,53,0,48
09-06-01,44,64,54,55,0,61,42,38,53,0,0,0,0,45,0,0
09-06-11,44,61,0,55,0,62,0,0,53,0,0,0,0,0,0,0
09-06-21,0,62,53,54,0,62,46,0,53,0,0,0,0,0,0,48
09-06-31,0,62,53,55,0,61,0,0,53,0,0,0,0,0,0,0
09-06-41,44,60,53,55,0,61,42,0,51,0,0,0,36,54,0,48
09-06-51,44,64,53,52,0,62,41,0,0,0,0,0,0,51,48,0
09-07-01,46,62,50,56,0,62,44,39,0,0,0,0,35,0,0,0
09-07-11,0,62,0,55,0,61,0,35,52,0,0,0,0,54,47,0
09-07-21,0,62,0,53,0,63,0,0,53,0,0,0,0,54,0,48
09-07-31,44,63,53,56,0,62,0,0,53,0,0,0,0,53,47,0
09-07-41,41,62,0,55,0,61,0,0,50,0,0,0,0,46,48,0
09-07-51,44,62,43,0,0,59,0,0,52,0,0,0,0,51,48,50
09-08-01,0,62,53,49,0,61,42,0,53,0,0,0,0,54,47,0
09-08-11,43,60,0,0,0,61,42,37,53,0,0,0,33,55,0,46
09-08-21,0,63,54,57,0,63,0,36,50,0,0,0,0,54,48,47
09-08-31,44,62,46,55,0,62,0,37,52,0,0,0,0,53,48,0
09-08-41,0,61,53,52,0,60,0,0,53,0,0,0,0,54,47,0
09-08-51,48,62,51,55,0,62,42,38,52,0,0,0,0,54,48,0
09-09-01,44,62,0,0,0,60,41,0,52,0,0,0,0,46,46,48
09-09-11,0,60,54,57,0,62,42,0,52,0,0,0,0,0,48,48
09-09-21,43,62,53,53,0,61,42,0,52,0,0,0,0,0,0,48
09-09-31,44,62,0,54,0,60,0,0,53,0,0,0,0,54,0,0
09-09-41,43,62,0,60,0,63,0,38,0,0,0,0,34,55,47,0
09-09-51,0,63,53,0,0,62,42,0,0,0,0,0,0,54,47,48
09-10-01,0,62,53,54,0,63,0,0,53,0,0,0,35,0,48,48
09-10-11,46,62,54,55,0,62,0,38,53,0,0,0,0,54,0,48
09-10-21,0,60,53,55,0,64,41,0,51,0,0,0,35,0,0,49
09-10-31,0,62,53,55,0,61,0,37,53,0,0,0,0,0,0,45
09-10-41,44,62,54,58,0,58,0,0,53,0,0,0,0,0,48,0
09-10-51,44,62,53,53,0,62,0,0,52,0,0,0,34,55,47,48
09-11-01,43,61,53,0,0,61,39,0,51,0,0,0,0,0,48,0
09-11-11,0,62,57,55,0,62,0,37,53,0,0,0,0,0,48,0
09-11-21,0,63,53,0,0,60,0,0,0,0,0,0,0,54,0,48
09-11-31,0,62,57,54,0,62,0,0,0,0,0,0,0,0,0,49
09-11-41,0,60,52,55,0,62,41,38,0,0,0,0,0,0,47,48
09-11-51,0,62,53,55,0,62,0,0,53,0,0,0,0,55,47,0
09-12-01,43,60,53,55,0,60,42,37,53,0,0,0,34,0,46,0
09-12-11,0,62,53,55,0,61,40,36,54,0,0,0,0,0,0,48
09-12-21,0,62,46,51,0,60,43,0,0,0,0,0,0,0,0,47
09-12-31,0,61,0,55,0,63,40,0,52,0,0,0,34,54,0,0
09-12-41,0,62,54,55,0,63,0,0,0,0,0,0,0,50,43,48
09-12-51,0,59,54,0,0,62,0,0,0,0,0,0,33,53,0,0
09-13-01,0,58,53,55,0,63,49,0,50,0,0,0,0,56,0,0
09-13-11,44,62,52,53,0,63,0,0,52,0,0,0,0,0,0,0
09-13-21,45,60,50,55,0,57,45,35,0,0,0,0,36,44,0,49
09-13-31,0,60,51,0,0,59,42,0,0,0,0,0,0,55,50,48
09-13-41,39,63,0,53,0,60,41,0,49,0,0,0,0,58,53,50
09-13-51,39,60,0,55,0,61,40,0,50,0,0,0,0,55,51,50
09-14-01,0,61,53,52,0,61,0,0,0,0,0,0,0,55,50,0
09-14-11,44,61,53,0,0,60,39,0,0,0,0,0,34,54,50,50
09-14-21,0,63,53,55,0,61,0,0,49,0,0,0,0,57,0,51
09-14-31,39,60,53,0,0,61,50,34,54,0,0,0,0,41,52,0
09-14-41,43,62,53,56,0,63,0,0,50,0,0,0,35,0,0,47
09-14-51,46,61,0,0,0,63,50,36,51,0,0,0,0,55,0,0
09-15-01,0,63,52,0,0,63,40,39,0,0,0,0,0,61,0,0
09-15-11,0,63,0,0,0,62,42,0,0,0,0,0,0,0,0,0
09-15-21,41,59,54,37,0,61,45,0,51,0,0,0,0,0,0,0
09-15-31,0,62,53,0,0,62,47,38,53,0,0,0,33,0,0,47
09-15-41,0,61,54,0,0,62,54,35,50,0,0,0,0,55,46,47
09-15-51,45,63,56,0,0,64,45,0,0,0,0,0,34,50,44,48
09-16-01,45,62,53,0,0,61,47,0,53,0,0,0,0,55,0,0
09-16-11,0,60,58,32,0,63,51,38,52,0,0,0,0,53,36,46
09-16-21,44,61,39,0,0,61,0,0,0,0,0,0,34,54,49,0
09-16-31,0,62,53,0,0,63,0,39,52,0,0,0,0,51,0,51
09-16-41,0,59,55,0,0,62,44,39,0,0,0,0,0,54,0,48
09-16-51,44,63,53,0,0,62,38,0,0,0,0,0,33,53,0,48
09-17-01,0,62,54,0,0,63,41,0,0,0,0,0,0,53,43,47
09-17-11,43,62,54,0,0,63,41,0,0,0,0,0,32,53,0,43
09-17-21,0,63,54,0,0,63,0,40,0,0,0,0,0,0,46,48
09-17-31,0,62,54,0,0,63,42,39,53,0,0,0,0,52,46,48
09-17-41,44,59,55,0,0,62,0,32,0,0,0,0,0,51,46,0
09-17-51,44,63,55,0,0,62,39,0,51,0,0,0,33,54,46,48
09-18-01,0,62,55,0,0,63,39,40,50,0,0,0,0,54,46,47
