date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Mary,Erin,Taj,Silas,Beatrice,Willa
09-00-01,47,62,0,55,0,63,44,37,0,0,0,0,0,53,0,47
09-01-01,44,63,0,0,0,60,0,0,0,0,0,0,0,56,48,48
09-02-01,43,63,53,55,0,63,0,0,53,0,0,0,34,0,0,0
09-03-01,0,62,53,55,0,60,42,0,52,0,0,0,0,54,48,46
09-04-01,46,62,52,0,0,62,0,0,53,0,0,0,0,54,0,48
09-05-01,0,62,54,59,0,63,0,0,0,0,0,0,35,0,0,48
09-06-01,44,64,54,55,0,61,42,38,53,0,0,0,0,45,0,0
09-07-01,46,62,50,56,0,62,44,39,0,0,0,0,35,0,0,0
09-08-01,0,62,53,49,0,61,42,0,53,0,0,0,0,54,47,0
09-09-01,44,62,0,0,0,60,41,0,52,0,0,0,0,46,46,48
09-10-01,0,62,53,54,0,63,0,0,53,0,0,0,35,0,48,48
09-11-01,43,61,53,0,0,61,39,0,51,0,0,0,0,0,48,0
09-12-01,43,60,53,55,0,60,42,37,53,0,0,0,34,0,46,0
09-13-01,0,58,53,55,0,63,49,0,50,0,0,0,0,56,0,0
09-14-01,0,61,53,52,0,61,0,0,0,0,0,0,0,55,50,0
09-15-01,0,63,52,0,0,63,40,39,0,0,0,0,0,61,0,0
09-16-01,45,62,53,0,0,61,47,0,53,0,0,0,0,55,0,0
09-17-01,0,62,54,0,0,63,41,0,0,0,0,0,0,53,43,47
09-18-01,0,62,55,0,0,63,39,40,50,0,0,0,0,54,46,47
09-19-01,0,63,55,0,0,63,39,0,50,0,0,0,0,55,0,0
09-20-01,46,62,54,0,0,62,0,0,52,0,0,0,33,53,0,48
09-21-01,39,62,49,0,0,62,41,0,49,0,0,0,0,55,48,0
09-22-01,0,59,54,0,0,63,41,0,53,0,0,0,0,0,52,48
09-23-01,43,61,54,0,0,63,0,0,50,0,0,0,0,53,0,0
09-24-01,0,62,52,0,0,61,0,0,0,0,0,0,0,55,42,0
09-25-01,0,62,50,0,0,62,0,0,50,0,0,0,0,52,0,48
09-26-01,43,62,50,0,0,61,0,0,47,0,0,0,0,59,0,47
09-27-01,44,62,50,0,0,59,0,0,0,0,0,0,0,56,0,0
09-28-01,43,59,50,0,0,61,33,0,0,0,0,0,0,57,0,49
09-29-01,44,61,46,0,0,61,32,0,0,0,0,0,0,58,0,48
