date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-00-05,58,54,0,66,67,59,56,51,70,52,0
09-00-15,58,54,0,66,68,60,56,53,69,52,0
09-00-25,58,54,0,66,68,60,55,52,70,52,0
09-00-35,58,54,0,66,68,60,55,52,69,52,0
09-00-45,58,54,0,66,67,59,55,53,69,52,0
09-00-55,59,54,0,66,67,59,56,51,69,52,0
09-01-05,58,54,0,66,68,60,56,52,70,53,0
09-01-15,58,54,0,66,67,60,55,52,69,52,0
09-01-25,57,54,0,66,68,59,55,52,69,51,0
09-01-35,58,54,0,66,68,59,55,52,69,52,0
09-01-45,58,54,0,66,67,59,55,52,69,52,0
09-01-55,58,54,0,66,67,59,55,51,70,52,0
09-02-05,58,54,0,66,68,59,55,52,70,51,0
09-02-15,57,54,0,66,68,60,55,52,70,52,0
09-02-25,58,54,0,66,68,59,56,52,70,51,0
09-02-35,57,54,0,66,67,59,55,51,70,52,0
09-02-45,58,54,0,66,67,59,55,52,70,51,0
09-02-55,58,54,0,66,67,59,55,52,69,53,0
09-03-05,58,54,0,66,68,59,56,52,69,52,0
09-03-15,58,54,0,66,68,59,56,51,69,50,0
09-03-25,57,54,0,66,68,60,55,52,69,51,0
09-03-35,58,54,0,67,67,59,55,52,69,52,0
09-03-45,58,54,0,66,68,59,55,52,70,52,0
09-03-55,58,54,0,65,67,59,55,52,69,52,0
09-04-05,58,54,0,66,67,59,55,52,70,51,0
09-04-15,58,54,0,66,67,59,55,51,70,53,0
09-04-25,58,54,0,66,68,59,55,52,70,52,0
09-04-35,58,54,0,66,68,59,55,52,69,52,0
09-04-45,57,54,0,66,68,59,55,52,69,52,0
09-04-55,58,54,0,66,67,59,55,52,69,53,0
09-05-05,58,54,0,66,68,59,55,52,69,51,0
09-05-15,58,54,0,66,68,60,55,52,70,51,0
09-05-25,58,54,0,66,68,59,55,52,70,52,0
09-05-35,58,54,0,66,67,59,55,52,69,52,0
09-05-45,59,54,0,66,68,59,56,52,69,51,0
09-05-55,58,54,0,66,67,60,55,52,69,52,0
09-06-05,58,54,0,66,68,59,55,52,70,52,0
09-06-15,57,54,0,66,68,59,55,52,69,51,0
09-06-25,58,54,0,66,68,59,55,52,69,51,0
09-06-35,58,54,0,66,68,59,55,52,69,52,0
09-06-45,58,54,0,66,68,59,56,52,69,52,0
09-06-55,58,54,0,66,68,59,55,52,69,50,0
09-07-05,58,54,0,66,68,59,56,52,69,52,0
09-07-15,58,54,0,66,68,59,55,52,69,52,0
09-07-25,58,54,0,66,67,58,56,52,69,52,33
09-07-35,58,54,0,66,67,59,56,52,69,53,0
09-07-45,58,54,0,66,68,59,55,52,69,52,0
09-07-55,58,54,0,66,67,59,56,52,70,52,0
09-08-05,58,54,0,66,67,59,55,51,70,52,0
09-08-15,59,54,0,66,68,59,55,52,70,53,0
09-08-25,58,54,0,66,67,59,55,52,69,52,0
09-08-35,59,54,0,66,66,59,56,52,70,51,0
09-08-45,58,54,0,66,68,59,55,52,70,52,0
09-08-55,58,54,0,66,68,59,56,52,69,51,0
