date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-00-05,58,54,0,66,67,59,56,51,70,52,0
09-01-05,58,54,0,66,68,60,56,52,70,53,0
09-02-05,58,54,0,66,68,59,55,52,70,51,0
09-03-05,58,54,0,66,68,59,56,52,69,52,0
09-04-05,58,54,0,66,67,59,55,52,70,51,0
09-05-05,58,54,0,66,68,59,55,52,69,51,0
09-06-05,58,54,0,66,68,59,55,52,70,52,0
09-07-05,58,54,0,66,68,59,56,52,69,52,0
09-08-05,58,54,0,66,67,59,55,51,70,52,0
09-09-05,57,54,0,66,68,59,56,52,70,52,0
09-10-05,58,54,0,66,68,59,56,52,69,52,0
09-11-05,58,54,0,66,68,59,55,52,70,52,0
09-12-05,58,54,0,66,68,59,56,52,70,53,0
09-13-05,58,54,0,66,68,59,55,51,70,51,0
09-14-05,58,54,0,66,67,60,55,52,70,52,0
09-15-05,57,54,0,66,67,59,56,52,70,52,34
09-16-05,58,54,0,66,67,59,55,52,69,51,37
09-17-05,58,54,0,66,67,59,54,52,70,53,37
09-18-05,55,57,0,66,67,59,55,0,69,53,39
09-19-05,37,57,0,66,67,59,54,0,69,52,32
09-20-05,36,62,0,67,66,59,55,0,68,51,0
09-21-05,0,59,0,67,67,58,54,0,70,54,39
09-22-05,0,51,0,67,68,61,45,0,69,53,37
09-23-05,41,59,0,66,68,58,36,0,71,53,47
09-24-05,40,61,0,46,68,59,33,0,70,50,36
09-25-05,32,58,0,0,67,58,33,0,51,55,37
09-26-05,34,62,0,0,67,59,40,0,34,57,43
09-27-05,0,63,0,0,67,57,51,0,0,35,40
09-28-05,38,63,0,0,67,57,32,0,42,36,32
09-29-05,32,65,0,0,67,58,0,0,42,46,36
09-30-05,0,64,0,0,66,58,32,0,46,42,35
09-31-05,0,64,0,0,41,59,0,0,37,0,36
09-32-05,32,65,0,0,40,59,0,0,43,36,37
09-33-05,32,64,0,0,41,60,32,0,37,34,40
09-34-05,0,64,0,0,33,61,32,0,0,34,37
09-35-05,0,35,0,0,38,60,32,0,38,33,37
09-36-05,0,41,0,0,39,61,32,0,39,45,40
09-37-05,0,0,0,0,33,62,34,0,38,35,35
09-38-05,0,0,0,0,0,36,33,0,35,44,46
09-39-05,38,0,0,0,0,32,0,0,35,33,0
09-40-05,0,0,0,0,0,33,33,0,32,32,0
09-41-05,0,32,0,0,32,34,36,0,35,37,39
09-42-05,0,0,0,0,0,32,33,0,34,32,0
09-43-05,34,0,0,0,0,32,35,0,0,0,0
09-44-05,0,0,0,0,32,33,39,0,32,32,0
09-45-05,35,0,0,0,35,32,40,0,40,0,0
09-46-05,0,0,0,0,32,0,34,0,0,0,0
09-47-05,0,0,0,0,32,33,36,0,33,32,0
09-48-05,0,0,0,0,32,51,32,0,32,0,0
09-49-05,0,0,0,0,33,44,0,0,47,32,0
09-50-05,0,0,0,0,32,48,0,0,33,32,0
09-51-05,0,0,0,0,0,49,0,0,48,0,0
09-52-05,0,35,0,0,32,48,0,0,37,32,32
09-53-05,0,0,0,0,35,37,0,0,33,0,0
