date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Eleanor,Bodhi,Mary,Erin
09-00-05,50,50,51,56,46,58,62,0,55,58,0
09-00-15,48,50,51,56,48,59,62,0,55,58,0
09-00-25,50,50,51,56,45,58,62,0,56,58,0
09-00-35,50,49,52,56,48,59,62,0,55,58,0
09-00-45,49,49,51,56,48,59,62,0,56,58,0
09-00-55,51,50,51,56,46,59,62,0,54,58,0
09-01-05,50,50,52,56,48,59,62,0,56,58,0
09-01-15,49,50,51,56,48,59,62,0,56,57,0
09-01-25,49,50,51,56,48,59,62,0,55,58,0
09-01-35,49,50,51,56,47,59,62,0,55,58,0
09-01-45,49,51,51,56,48,59,62,0,55,58,0
09-01-55,50,50,51,56,48,60,62,0,56,57,0
09-02-05,49,50,51,56,48,59,62,0,55,56,0
09-02-15,49,50,51,56,48,59,62,0,54,58,0
09-02-25,49,49,51,56,47,59,62,0,55,58,0
09-02-35,49,50,52,56,47,60,62,0,55,58,0
09-02-45,50,49,51,56,49,58,62,0,55,58,0
09-02-55,50,50,51,57,45,58,63,0,55,58,0
09-03-05,49,49,51,56,49,59,62,0,56,58,0
09-03-15,49,50,51,56,48,59,62,0,55,58,0
09-03-25,50,50,51,56,49,58,62,0,56,58,0
09-03-35,49,50,52,56,48,59,62,0,55,58,0
09-03-45,49,50,52,56,46,58,62,0,56,57,0
09-03-55,49,49,52,56,48,59,62,0,56,58,0
09-04-05,50,50,51,56,46,59,62,0,55,57,0
09-04-15,50,50,51,56,48,57,62,0,55,58,0
09-04-25,50,50,51,56,47,59,62,0,56,58,0
09-04-35,49,50,52,55,48,58,62,0,56,58,0
09-04-45,49,49,51,56,47,58,62,0,55,58,0
09-04-55,49,51,51,56,45,59,62,0,56,58,0
09-05-05,50,50,51,56,48,59,62,0,55,57,0
09-05-15,49,50,51,56,48,59,62,0,56,58,0
09-05-25,50,49,52,55,48,59,62,0,56,58,0
09-05-35,51,50,51,56,48,59,62,0,55,58,0
09-05-45,48,50,51,56,47,59,62,0,55,57,0
09-05-55,50,50,51,56,47,58,63,0,56,58,0
09-06-05,49,51,51,56,46,59,62,0,55,58,0
09-06-15,48,49,50,56,48,59,62,0,55,58,0
09-06-25,49,50,51,56,48,58,62,0,55,58,0
09-06-35,48,51,52,56,47,60,62,0,56,57,0
09-06-45,49,50,51,56,45,58,62,0,56,58,0
09-06-55,50,50,51,56,46,59,62,0,55,57,0
09-07-05,49,50,51,56,47,59,62,0,55,58,0
09-07-15,49,50,51,56,48,59,62,0,55,58,0
09-07-25,50,50,51,56,48,59,62,0,56,58,0
09-07-35,49,50,51,56,47,59,62,0,55,58,0
09-07-45,49,50,52,56,47,59,62,0,55,57,0
09-07-55,49,51,50,56,47,59,62,0,56,58,0
09-08-05,50,50,51,56,46,59,62,0,55,58,0
09-08-15,48,49,51,56,48,59,62,0,55,58,0
09-08-25,50,51,51,56,47,59,62,0,55,58,0
09-08-35,49,50,51,56,47,59,62,0,55,57,0
09-08-45,49,50,51,56,48,59,62,0,56,58,0
09-08-55,50,50,51,56,47,58,62,0,55,57,0
09-09-05,50,50,51,56,48,58,62,0,55,58,0
09-09-15,48,50,51,56,48,58,62,0,56,58,0
09-09-25,50,49,51,56,47,59,62,0,55,57,0
09-09-35,50,50,51,55,47,60,62,0,56,58,0
09-09-45,48,50,52,55,48,58,62,0,55,58,0
09-09-55,49,50,51,56,47,60,62,0,56,57,0
09-10-05,49,49,52,56,47,59,62,0,56,57,0
09-10-15,49,49,51,56,48,59,62,0,55,58,0
09-10-25,49,50,52,56,48,60,62,0,55,57,0
09-10-35,49,50,52,56,48,59,62,0,56,57,0
09-10-45,49,50,52,56,48,58,62,0,55,58,0
09-10-55,49,51,51,56,48,58,62,0,55,57,0
09-11-05,49,51,52,56,48,59,62,0,56,58,0
09-11-15,48,49,51,56,47,59,62,0,55,57,0
09-11-25,49,49,51,56,48,59,62,0,55,58,0
09-11-35,48,50,52,56,47,59,62,0,56,58,0
09-11-45,49,50,51,56,47,58,62,0,55,58,0
09-11-55,50,50,51,56,48,59,62,0,56,57,0
09-12-05,49,50,52,56,48,59,62,0,55,58,0
09-12-15,49,50,51,56,48,59,62,0,55,58,0
09-12-25,50,50,51,56,47,59,62,0,55,58,0
09-12-35,48,50,51,56,48,59,61,0,57,58,0
09-12-45,49,50,51,56,46,58,62,0,56,58,0
09-12-55,50,50,50,56,49,59,62,0,56,58,0
09-13-05,50,50,51,56,49,59,62,0,56,58,0
09-13-15,49,51,51,56,48,59,62,0,55,57,0
09-13-25,50,50,51,55,48,59,62,0,55,57,0
09-13-35,48,49,51,56,48,58,62,0,56,58,0
09-13-45,49,50,51,56,47,59,62,0,55,57,0
09-13-55,49,51,51,56,47,59,62,0,56,58,0
09-14-05,50,49,51,56,48,59,62,0,55,58,0
09-14-15,50,51,51,56,48,58,62,0,55,58,0
09-14-25,49,50,51,56,48,58,62,0,56,58,0
09-14-35,50,51,51,56,48,59,62,0,55,57,0
09-14-45,49,51,51,56,47,58,62,0,55,57,0
09-14-55,48,50,51,56,49,58,62,0,55,58,0
09-15-05,50,51,51,56,48,59,62,0,56,58,34
09-15-15,50,49,51,56,48,59,62,0,55,58,0
09-15-25,50,50,52,56,48,59,62,0,55,57,34
09-15-35,49,50,52,56,49,59,62,0,55,58,41
09-15-45,50,49,51,56,48,58,62,0,55,57,35
09-15-55,50,50,51,56,48,59,62,0,56,58,34
09-16-05,50,48,51,56,49,58,62,0,56,58,35
09-16-15,49,49,51,56,48,60,62,0,55,58,34
09-16-25,50,50,49,56,48,58,62,0,55,57,34
09-16-35,53,50,50,56,47,58,62,0,55,57,34
09-16-45,53,49,51,56,48,59,62,0,56,58,34
09-16-55,53,49,51,57,46,59,63,0,55,58,35
09-17-05,53,48,51,57,46,58,62,0,58,59,34
09-17-15,53,50,49,56,47,58,62,0,56,58,36
09-17-25,52,48,52,57,48,59,62,0,57,59,35
09-17-35,49,47,50,54,45,54,59,0,51,58,35
