date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Eleanor,Bodhi,Mary,Erin
09-00-05,0,57,60,60,57,64,72,0,70,56,41
09-01-05,0,57,61,61,56,64,73,0,70,42,57
09-02-05,0,57,59,60,57,63,73,0,70,0,58
09-03-05,0,56,60,60,57,64,73,0,69,0,57
09-04-05,0,57,60,60,57,64,73,0,69,0,56
09-05-05,0,57,60,60,57,64,73,0,70,0,57
09-06-05,0,39,60,61,56,63,73,0,69,0,55
09-07-05,0,39,60,60,57,64,73,0,69,0,56
09-08-05,0,38,60,60,57,64,73,0,69,0,56
09-09-05,0,39,60,60,57,64,73,0,70,0,56
09-10-05,0,42,60,60,57,64,73,0,70,48,56
09-11-05,0,40,60,60,57,64,74,0,70,74,56
09-12-05,0,45,60,60,58,63,73,0,69,74,56
09-13-05,0,37,59,61,58,63,74,0,70,75,54
09-14-05,0,35,59,60,59,64,73,0,44,74,56
09-15-05,0,37,59,60,61,64,35,0,42,74,56
09-16-05,0,38,39,59,62,44,38,0,40,74,55
09-17-05,0,47,57,55,55,60,60,0,49,41,50
09-18-05,0,48,59,52,56,59,58,0,56,53,0
09-19-05,0,47,58,52,55,59,58,0,56,52,35
09-20-05,0,48,58,50,55,57,57,0,56,53,34
09-21-05,0,48,58,49,55,56,56,0,56,53,34
09-22-05,0,34,35,34,34,35,35,0,37,37,0
