date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-00-05,0,35,0,0,0,44,40,0,43,0,0
09-01-05,0,35,0,0,0,44,39,0,42,0,0
09-02-05,0,35,0,0,0,44,40,0,43,32,0
09-03-05,0,35,0,0,0,43,40,0,42,0,0
09-04-05,0,35,0,0,0,43,40,0,42,0,0
09-05-05,0,35,0,0,0,44,40,0,43,0,0
09-06-05,0,35,0,0,0,44,40,0,43,0,0
09-07-05,0,35,0,0,0,44,40,0,42,0,0
09-08-05,0,35,0,0,0,44,40,0,43,32,0
09-09-05,0,35,0,0,0,44,40,0,42,32,0
09-10-05,0,35,0,0,0,44,40,0,43,0,0
09-11-05,0,35,0,0,0,44,40,0,43,0,0
09-12-05,0,35,0,0,0,44,40,0,43,0,0
09-13-05,0,35,0,0,0,44,40,0,42,32,0
09-14-05,0,35,0,0,0,44,40,0,43,0,0
09-15-05,0,35,0,0,0,44,40,0,42,0,0
09-16-05,0,35,0,0,0,44,40,0,43,32,0
09-17-05,0,35,0,0,0,43,39,0,43,32,0
09-18-05,0,35,0,0,0,44,40,0,42,32,0
09-19-05,0,35,0,0,0,44,39,0,43,32,0
09-20-05,0,34,0,0,33,44,38,0,43,32,0
09-21-05,0,33,0,0,0,43,33,0,33,0,0
09-22-05,0,32,0,0,0,44,32,0,0,32,0
09-23-05,0,32,0,0,0,46,32,0,0,32,0
09-24-05,0,0,0,0,0,46,0,0,0,0,0
09-25-05,0,32,0,0,0,46,0,0,0,33,0
09-26-05,0,32,0,0,0,44,40,0,0,0,0
09-27-05,0,32,0,0,0,45,32,0,0,32,0
09-28-05,0,32,0,0,0,45,0,0,0,32,0
09-29-05,0,32,0,0,32,45,0,0,0,0,0
09-30-05,0,32,0,0,0,46,0,0,0,32,0
09-31-05,0,33,0,0,0,41,0,0,0,38,0
09-32-05,0,0,0,0,0,43,0,0,0,45,0
09-33-05,0,32,0,0,0,47,0,0,0,45,0
09-34-05,0,0,0,0,0,40,0,0,0,32,0
09-35-05,0,32,0,0,0,37,0,0,0,0,0
09-36-05,0,32,0,0,0,32,0,0,0,0,0
09-37-05,0,34,0,0,0,0,0,0,0,0,0
09-38-05,0,33,0,0,0,0,0,0,0,0,0
09-39-05,0,33,0,0,0,0,0,0,0,0,0
09-40-05,0,33,0,0,0,0,0,0,0,0,0
09-41-05,0,33,0,0,0,0,0,0,0,0,0
09-42-05,0,33,0,0,0,0,0,0,0,0,0
09-43-05,0,33,0,0,0,0,0,0,0,0,0
09-44-15,0,32,0,0,0,0,0,0,0,0,0
09-45-15,0,32,0,0,0,0,32,0,0,0,0
