date,0,1,2,3,4,5,6,7,8,9,10
09-00-05,0,0,0,30,0,0,33,0,30,0,0
09-01-05,0,0,29,0,0,0,29,0,0,0,0
09-02-25,0,0,30,0,0,0,35,0,0,29,0
09-03-15,0,0,0,0,0,0,0,0,0,32,34
09-04-05,0,30,33,30,29,29,37,0,31,32,0
09-05-05,0,31,35,31,35,29,37,0,35,35,0
09-06-15,0,0,0,0,0,0,31,0,0,0,0
09-07-15,0,0,0,0,0,0,0,0,0,0,31
09-08-05,0,0,0,0,0,0,0,0,31,0,0
09-11-55,0,0,0,0,0,0,0,0,0,0,32
09-12-05,0,0,0,0,0,0,0,0,0,0,32
09-13-15,0,0,0,0,0,0,0,0,0,0,30
09-14-45,0,0,0,0,0,0,0,0,0,0,35
09-17-55,0,0,0,0,0,0,0,0,0,0,29
09-18-05,0,0,0,0,0,0,0,0,0,0,34
09-19-05,0,41,44,42,35,38,39,31,45,38,0
09-20-05,0,37,40,36,35,33,31,0,44,33,0
09-21-05,0,39,32,31,38,35,37,0,39,32,0
09-22-05,0,37,30,30,37,38,39,0,39,34,0
09-23-35,0,0,0,0,0,0,29,0,0,0,0
09-24-05,0,0,0,0,0,0,29,0,0,0,0
09-25-05,0,32,44,33,31,36,47,0,43,40,0
09-26-05,0,34,52,39,36,36,51,0,44,50,0
09-27-05,0,39,56,47,42,43,38,0,42,47,0
09-28-05,0,37,55,48,38,39,0,0,0,47,0
09-29-05,0,31,52,49,29,31,0,0,0,54,0
09-30-05,0,35,0,29,0,0,0,0,0,0,0
09-31-05,0,29,37,36,0,34,0,0,0,45,0
09-32-05,0,29,36,39,0,0,0,0,0,36,0
09-33-05,0,0,0,0,0,0,0,0,33,0,0
09-34-05,0,42,48,48,0,32,0,0,0,40,0
09-35-05,0,0,30,0,0,0,0,0,0,0,0
09-36-05,0,0,36,33,0,31,29,0,47,0,0
09-37-05,0,37,34,0,0,30,0,0,0,37,0
09-38-05,0,0,0,0,0,0,31,0,0,0,0
09-39-05,0,29,32,0,0,0,32,0,0,0,0
09-40-15,0,29,32,0,0,0,30,0,0,0,0
09-41-05,0,39,0,0,0,32,30,0,0,0,0
09-42-05,0,0,38,0,0,0,31,0,0,0,0
09-43-05,0,0,30,29,0,32,33,0,0,0,0
09-44-05,0,32,31,0,0,30,30,0,0,0,0
09-45-15,0,32,0,0,0,0,0,0,0,0,0
09-46-05,0,33,0,0,0,0,0,0,0,0,0
09-47-15,0,0,0,0,0,0,29,0,0,0,0
09-48-05,0,31,0,0,0,0,30,0,0,0,0
09-49-05,0,35,34,0,0,0,0,0,0,0,0
09-50-25,0,35,0,0,0,0,0,0,0,0,0
09-51-05,0,0,32,0,0,0,30,0,30,0,0
09-52-05,0,0,0,0,0,0,35,0,29,0,0
09-53-05,0,33,30,0,0,32,32,0,0,0,0
09-54-05,0,32,33,31,0,0,33,0,0,0,0
09-55-05,0,30,0,0,0,0,0,0,37,0,0
09-56-05,0,32,0,35,0,0,33,0,0,0,0
09-57-05,0,32,0,29,0,0,30,0,0,0,0
09-58-05,0,0,0,0,0,0,32,0,0,0,0
09-59-05,0,31,0,0,0,0,0,0,0,0,0
10-00-05,0,31,0,29,0,0,0,0,29,0,0
10-01-05,0,30,0,0,0,0,30,0,0,0,0
10-02-05,0,33,0,29,0,31,38,0,0,0,0
10-03-05,0,55,0,31,0,0,0,0,0,0,0
10-04-05,0,0,0,34,0,32,46,30,0,0,0
10-05-05,0,0,0,0,0,0,32,0,33,0,0
10-06-05,0,0,0,0,0,30,0,0,0,0,0
10-07-05,0,30,0,0,0,29,31,0,0,0,0
10-08-05,0,0,0,0,0,0,34,0,32,0,0
10-09-05,0,0,0,0,0,0,0,0,30,0,0
10-10-05,0,0,30,0,0,0,0,0,31,0,0
10-11-15,0,0,0,0,0,0,32,0,0,0,0
10-12-05,0,0,0,0,0,32,29,0,0,0,0
10-13-15,0,0,0,0,0,0,30,0,0,0,0
10-14-05,0,0,0,0,0,0,30,0,0,0,0
10-15-05,0,32,0,0,0,29,34,0,0,0,0
10-16-05,0,33,0,0,0,0,31,30,0,0,0
10-17-05,0,40,0,0,0,0,0,0,0,0,0
10-18-05,0,37,0,0,0,0,31,0,0,0,0
10-19-05,0,30,0,0,0,0,34,0,0,0,0
10-20-15,0,37,0,0,0,0,0,0,0,0,0
10-21-05,0,0,0,0,0,31,0,0,0,0,0
10-22-05,0,36,0,0,0,0,33,0,0,0,0
10-23-05,0,31,0,0,0,0,0,0,0,0,0
10-25-55,0,0,0,0,0,0,31,0,0,0,0
10-26-05,0,0,0,0,0,0,29,0,0,0,0
10-27-05,0,0,33,0,0,32,32,0,34,0,0
10-28-45,0,33,0,0,0,0,33,0,0,0,0
10-29-05,0,38,0,0,0,35,31,0,0,0,0
10-30-15,0,31,0,0,0,0,0,0,0,0,0
10-31-05,0,0,0,0,33,0,31,0,0,0,0
10-32-15,0,0,0,0,0,36,0,0,0,0,0
10-33-05,0,0,0,0,0,0,37,0,0,0,0
10-34-05,0,29,0,0,0,0,0,0,29,0,0
10-35-15,0,0,30,0,0,0,0,37,34,0,0
