date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary
09-00-05,0,33,39,33,34,33,36,0,38,0,0
09-00-15,0,42,41,33,37,38,43,33,45,0,0
09-00-25,0,35,35,34,37,37,36,32,41,32,0
09-00-35,0,36,37,33,33,37,41,32,42,0,0
09-00-45,0,37,39,33,34,34,38,0,42,32,0
09-00-55,0,42,40,35,36,38,42,32,45,32,0
09-01-05,0,43,40,33,39,35,42,33,45,0,0
09-01-15,0,45,39,34,36,39,43,32,46,32,0
09-01-25,0,41,38,34,36,37,40,32,43,32,0
09-01-35,0,42,42,34,36,38,43,32,44,0,0
09-01-45,0,43,36,34,36,38,40,33,45,32,0
09-01-55,0,41,40,32,35,40,41,33,39,32,0
09-02-05,0,42,42,32,33,45,40,0,44,0,0
09-02-15,0,39,39,35,37,43,37,36,42,34,0
09-02-25,0,38,42,34,35,39,38,33,40,34,0
09-02-35,0,36,40,33,33,45,40,0,38,33,0
09-02-45,0,40,43,37,35,40,41,33,37,33,0
09-02-55,0,42,47,32,35,47,43,34,45,32,0
09-03-05,0,40,41,35,35,44,40,33,39,0,0
09-03-15,0,40,47,35,34,43,40,38,41,34,0
09-03-25,0,32,41,33,37,37,36,32,39,32,0
09-03-35,0,0,41,32,38,38,37,0,38,32,0
09-03-45,0,41,41,38,38,44,46,36,40,33,0
09-03-55,0,40,46,36,38,44,41,34,43,32,0
09-04-05,0,36,39,33,34,38,39,0,39,0,38
09-04-15,0,0,0,0,0,0,0,0,0,0,33
09-04-35,0,0,0,0,0,0,0,0,0,0,32
09-04-45,0,0,0,0,0,0,0,0,0,0,32
09-04-55,0,0,0,0,0,0,0,0,0,0,33
09-05-05,0,0,0,0,0,0,0,0,0,0,37
09-05-15,0,0,0,0,0,0,32,0,0,0,42
09-05-25,0,0,0,0,0,0,0,0,0,0,37
09-05-35,0,0,0,0,0,0,0,0,0,0,33
09-05-45,0,0,0,0,0,0,0,0,0,0,33
09-05-55,0,0,0,0,0,0,0,0,0,0,34
09-06-05,0,0,0,0,0,0,0,0,0,0,33
09-06-15,0,0,0,0,0,0,0,0,0,0,33
09-06-25,0,0,0,0,0,0,0,0,0,0,32
09-06-35,0,0,0,0,0,0,0,0,0,0,32
09-06-45,0,0,0,0,0,0,0,0,0,0,32
09-06-55,0,0,0,0,0,0,0,0,0,0,33
09-07-05,0,0,0,0,0,0,0,0,0,0,35
09-07-15,0,0,0,0,0,0,0,0,0,0,33
09-07-25,0,0,0,0,0,0,0,0,0,0,33
09-07-35,0,0,0,0,0,0,0,0,0,0,33
09-07-45,0,0,0,0,0,0,0,0,0,0,34
09-07-55,0,0,0,0,0,0,0,0,0,0,38
09-08-05,0,0,0,0,0,0,0,0,0,0,40
