date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-00-05,40,56,0,67,66,63,81,63,60,52,0
09-01-05,41,56,0,67,66,62,81,64,61,54,0
09-02-05,42,56,0,67,65,64,81,64,60,53,0
09-03-05,41,55,0,67,66,65,81,64,61,53,0
09-04-05,41,55,0,67,66,65,81,64,60,53,0
09-05-05,42,56,0,67,66,64,81,64,60,54,31
09-06-05,41,55,0,68,66,64,81,64,61,52,0
09-07-05,41,55,0,67,66,62,81,64,61,51,0
09-08-05,39,56,0,68,66,62,81,64,61,54,0
09-09-05,39,55,0,67,66,64,81,63,62,53,0
09-10-05,39,56,0,68,66,63,81,64,61,52,0
09-11-05,40,56,0,68,66,62,81,65,61,54,0
09-12-05,40,56,0,67,66,64,81,64,61,54,0
09-13-05,40,56,0,68,66,63,81,63,62,53,0
09-14-05,40,56,0,66,66,63,81,64,62,53,0
09-15-05,40,56,0,67,66,64,81,64,61,53,0
09-16-05,40,55,0,67,66,62,81,64,61,53,0
09-17-05,40,55,0,67,66,63,81,64,61,53,0
09-18-05,41,56,0,66,66,64,81,64,62,53,31
09-19-05,40,56,0,68,66,63,81,64,62,53,0
09-20-05,39,53,0,67,66,64,81,64,60,53,0
09-21-05,43,55,0,69,67,66,83,62,62,53,0
09-22-05,45,54,0,69,67,65,82,63,63,53,35
09-23-05,45,55,0,70,67,63,62,62,60,50,51
09-24-05,46,52,0,70,67,63,48,61,56,50,40
09-25-05,45,53,0,70,67,64,40,62,56,53,0
09-26-05,41,55,0,70,67,62,0,62,55,52,0
09-27-05,44,50,0,69,67,63,32,61,53,55,46
09-28-05,45,51,0,70,66,62,0,61,63,54,45
09-29-05,41,49,0,69,66,64,0,63,31,58,46
09-30-05,42,46,0,67,66,64,0,63,33,52,38
09-31-05,42,50,0,68,66,63,0,63,32,55,43
09-32-05,43,46,0,67,65,67,31,44,31,56,35
09-33-05,41,45,0,66,43,66,32,45,31,54,31
09-34-05,40,49,0,67,32,67,0,33,31,56,0
09-35-05,43,53,0,69,0,66,0,0,32,52,0
09-36-05,47,56,0,49,0,71,0,34,32,47,0
09-37-05,47,59,0,63,38,70,0,34,0,52,33
09-38-05,47,57,0,0,34,70,32,33,0,50,39
09-39-05,47,57,0,0,44,69,0,32,32,50,42
09-40-05,48,49,0,32,38,69,31,31,32,51,49
09-41-05,33,51,0,51,35,68,32,34,32,50,0
09-42-05,0,57,0,36,35,60,37,34,31,44,32
09-43-05,0,37,0,31,34,57,42,31,31,46,37
09-44-05,0,0,0,31,32,40,37,37,31,41,36
09-45-05,31,33,0,32,31,45,0,35,32,32,0
09-46-05,0,0,0,0,41,42,0,34,31,40,31
09-47-05,0,0,0,0,40,42,0,0,0,35,43
09-48-05,0,39,0,31,42,38,0,32,33,43,41
09-49-05,0,41,0,0,33,40,32,33,34,46,42
09-50-05,0,36,0,41,37,32,40,0,33,0,42
09-51-05,0,32,0,50,31,33,46,0,38,32,39
09-52-05,0,45,0,0,33,34,0,0,34,0,33
09-53-05,0,34,0,41,35,43,32,39,34,37,0
09-54-05,0,35,0,32,39,41,31,0,33,32,0
09-55-05,0,39,0,52,0,38,32,31,36,34,42
09-56-05,0,40,0,42,44,40,0,0,34,36,0
09-57-05,0,34,0,39,0,38,0,0,33,0,32
09-58-05,0,37,0,38,35,41,0,35,34,38,36
09-59-05,0,36,0,32,32,37,32,32,38,33,38
10-00-05,0,34,0,37,39,35,33,0,34,35,0
10-01-05,0,38,0,35,38,43,0,0,33,44,34
10-02-05,0,0,0,32,35,35,41,0,32,45,32
10-03-05,0,37,0,35,35,36,35,31,32,35,43
10-04-05,0,34,0,33,40,44,0,0,32,34,38
10-05-05,0,31,0,37,39,41,0,31,36,40,33
10-06-05,0,0,0,40,36,32,0,32,32,0,0
10-07-05,0,33,0,33,42,32,32,38,33,34,0
10-08-05,0,0,0,35,64,32,0,32,31,33,0
10-09-05,0,37,0,34,52,41,0,34,36,0,38
10-10-05,0,0,0,39,33,34,0,35,31,31,33
10-11-05,0,0,0,47,37,45,0,51,31,35,40
10-12-05,0,0,0,42,36,36,0,31,0,0,0
10-13-05,0,33,0,35,39,37,0,36,32,0,36
10-14-05,0,0,0,40,31,33,0,0,0,0,0
10-15-05,0,0,0,42,36,41,0,32,34,0,0
10-16-05,0,34,0,41,37,39,31,31,34,0,0
10-17-05,0,31,0,33,33,45,0,31,38,0,45
10-18-05,0,41,0,0,0,0,36,0,0,33,0
10-19-05,0,54,0,0,0,0,0,0,0,35,0
10-20-05,0,46,0,0,0,32,34,0,31,36,33
10-21-05,0,52,0,0,33,31,33,0,0,33,36
10-22-05,0,38,0,39,0,32,0,0,0,38,31
10-23-05,0,38,0,32,0,31,31,0,0,39,33
10-24-05,0,0,0,0,34,40,53,41,33,0,0
10-25-05,0,35,0,0,36,35,33,35,35,31,35
10-26-05,0,0,0,0,37,40,33,46,37,35,38
10-27-05,0,39,0,0,40,44,35,41,38,33,34
10-28-05,0,37,0,0,38,50,0,36,33,36,0
10-29-05,0,0,0,33,32,45,33,33,37,0,0
10-30-05,0,34,0,0,37,48,54,36,34,40,42
10-31-05,0,38,0,31,32,45,31,36,34,34,48
10-32-05,0,37,0,34,0,38,35,35,35,37,50
10-33-05,0,34,0,31,36,37,42,36,34,35,35
10-34-05,0,34,0,36,39,43,39,40,37,40,39
10-35-05,0,32,0,0,35,34,37,0,31,31,34
10-36-05,0,32,0,32,32,56,37,32,36,0,38
10-37-05,0,42,0,32,32,37,33,0,31,33,41
10-38-05,0,34,0,32,33,50,32,35,37,0,58
10-39-05,0,33,0,31,0,37,53,31,34,40,48
10-40-05,0,32,0,0,35,32,46,33,0,36,51
10-41-05,0,39,0,32,32,40,34,32,38,34,33
10-42-05,31,34,0,0,33,33,31,0,0,0,34
10-43-05,31,38,0,0,31,32,0,0,31,31,0
10-44-05,31,0,0,31,31,32,0,0,0,0,0
10-45-05,0,38,0,35,34,47,43,0,32,0,0
10-46-05,0,35,0,31,39,36,41,31,34,0,38
10-47-05,0,39,0,34,31,38,35,34,32,0,39
10-48-05,0,33,0,38,40,42,0,33,31,0,37
10-49-05,0,35,0,44,32,58,0,35,32,32,40
10-50-05,32,32,0,34,54,0,0,31,31,0,39
10-51-05,0,32,0,33,33,0,0,31,34,0,32
10-52-05,33,31,0,36,42,35,49,33,36,31,36
10-53-05,34,35,0,50,36,0,38,0,36,33,43
10-54-05,0,31,0,32,31,0,40,34,36,39,34
10-55-05,0,36,0,0,33,0,34,0,34,0,32
10-56-05,34,37,0,35,34,0,0,35,34,32,51
10-57-05,0,32,0,42,36,0,0,34,32,0,33
10-58-05,31,0,0,36,46,38,38,45,32,32,45
10-59-05,34,0,0,32,34,41,44,36,37,37,42
11-00-05,31,33,0,0,38,31,35,0,37,35,0
11-01-05,0,33,0,31,36,0,38,33,37,34,34
11-02-05,0,33,0,34,33,49,0,0,32,0,0
11-03-05,0,0,0,34,0,36,0,32,36,0,36
11-04-05,33,37,0,0,0,31,0,34,33,0,37
11-05-05,0,40,0,0,31,32,0,34,35,0,41
11-06-05,0,40,0,36,31,0,36,31,35,0,42
11-07-05,0,0,0,0,39,42,32,0,32,0,32
11-08-05,0,43,0,31,31,33,31,34,45,0,32
11-09-05,0,38,0,32,32,31,0,34,34,0,37
11-10-05,31,0,0,32,36,31,41,0,33,32,0
11-11-05,0,0,0,31,38,0,39,35,33,37,0
11-12-05,0,0,0,0,49,0,42,38,34,37,0
11-13-05,0,35,0,33,32,0,39,32,35,34,0
11-14-05,0,41,0,34,32,0,0,32,32,32,0
11-15-05,0,37,0,38,32,32,40,31,32,37,0
11-16-05,31,43,0,0,35,34,43,0,34,32,31
11-17-05,0,0,0,0,0,34,37,0,32,38,0
11-18-05,0,0,0,0,35,37,37,33,37,33,0
11-19-05,0,0,0,0,38,32,38,39,32,32,0
11-20-05,0,0,0,0,39,33,35,0,38,0,31
11-21-05,0,0,0,0,43,33,34,33,35,38,0
11-22-05,0,0,0,0,35,39,42,34,32,38,33
11-23-05,0,31,0,0,38,31,41,33,37,33,0
11-24-05,0,0,0,0,50,35,37,40,32,33,0
11-25-05,0,32,0,0,44,38,34,32,33,41,31
11-26-05,0,32,0,0,40,37,43,31,39,39,0
11-27-05,0,33,0,0,33,34,40,0,34,41,32
11-28-05,0,31,0,0,31,37,31,31,33,33,31
11-29-05,0,45,0,0,40,33,35,0,0,37,0
11-30-05,0,58,0,0,33,35,35,0,32,35,0
11-31-05,0,48,0,0,0,35,36,31,37,33,0
11-32-05,0,37,0,0,0,40,41,0,32,37,39
11-33-05,0,32,0,0,32,60,35,0,0,0,33
11-34-05,0,34,0,0,0,61,41,0,0,0,37
11-35-05,0,32,0,0,0,63,40,0,0,0,36
11-36-05,0,35,0,42,31,62,38,0,0,0,37
11-37-05,0,32,0,44,0,62,48,0,0,31,37
11-38-05,0,33,0,47,0,62,43,0,0,31,39
11-39-05,0,35,0,47,0,62,51,0,0,0,39
11-40-05,0,32,0,46,0,62,56,0,0,0,37
11-41-05,0,35,0,48,0,62,39,0,0,0,35
11-42-05,0,34,0,44,0,62,40,0,0,0,34
11-43-05,0,32,0,45,0,60,36,0,0,0,39
11-44-05,0,35,0,45,0,61,48,0,0,0,40
11-45-05,0,33,0,41,31,58,46,0,0,31,32
11-46-05,0,31,0,31,34,58,46,0,31,33,33
11-47-05,0,32,0,0,33,59,51,0,0,0,36
11-48-05,0,35,0,0,32,57,52,0,0,0,32
11-49-05,0,32,0,31,32,59,32,0,0,0,32
11-50-05,0,32,0,31,33,0,40,0,0,0,32
11-51-05,0,38,0,32,31,32,58,43,31,0,40
