date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Eleanor,Bodhi,Mary,Erin
09-00-05,0,45,65,59,53,62,71,0,57,41,0
09-01-05,0,45,66,58,54,63,71,0,58,41,0
09-02-05,0,45,66,58,55,62,71,0,58,40,0
09-03-05,0,47,66,58,54,63,71,0,57,41,0
09-04-05,0,46,66,58,55,63,71,0,58,41,0
09-05-05,33,46,66,58,54,63,71,0,58,39,0
09-06-05,0,45,66,58,54,63,71,0,57,40,0
09-07-05,0,44,66,58,54,63,71,0,58,40,0
09-08-05,0,46,66,58,55,63,71,0,57,41,0
09-09-05,0,45,66,59,54,62,71,0,58,41,0
09-10-05,33,46,67,58,53,63,70,0,58,40,0
09-11-05,0,46,67,59,54,63,71,0,58,41,0
09-12-05,0,46,66,58,55,63,71,0,58,41,0
09-13-05,33,46,66,58,55,63,71,0,58,41,0
09-14-05,0,46,66,59,53,63,71,0,58,41,0
09-15-05,0,46,66,58,55,63,71,0,57,40,0
09-16-05,0,46,66,58,53,63,71,0,58,40,0
09-17-05,33,46,66,58,54,62,71,0,56,41,0
09-18-05,0,46,66,58,54,63,71,0,57,41,0
09-19-05,0,46,66,58,54,62,70,0,57,41,0
09-20-05,0,46,66,58,55,62,71,0,57,42,0
09-21-05,0,48,64,56,54,62,71,0,58,36,0
09-22-05,0,49,64,56,53,63,71,0,57,42,33
09-23-05,33,48,63,57,52,63,50,0,56,43,0
09-24-05,33,48,63,58,51,63,41,0,56,42,33
09-25-05,33,48,63,57,51,63,0,0,55,39,0
09-26-05,33,48,63,57,50,63,0,0,55,39,0
09-27-05,33,44,63,58,52,62,0,0,35,41,0
09-28-05,34,45,62,57,53,64,0,0,57,43,33
09-29-05,34,43,65,59,52,61,0,0,0,37,34
09-30-05,34,47,65,59,53,62,0,0,0,42,0
09-31-05,33,46,65,58,54,62,0,0,0,42,34
09-32-05,0,38,46,42,37,36,0,0,0,34,34
09-33-05,0,35,47,34,33,40,0,0,0,37,0
09-34-05,0,38,36,33,0,34,0,0,33,0,0
09-35-05,0,0,0,0,0,0,33,0,0,0,0
09-36-05,0,37,35,34,0,37,0,0,33,0,0
09-37-05,0,36,35,0,33,33,0,0,34,0,0
09-38-05,0,36,37,33,36,34,0,0,0,0,38
09-39-05,0,36,34,0,34,34,0,0,0,0,33
09-40-05,0,35,34,0,33,33,0,0,33,0,33
09-41-05,0,34,35,37,0,0,0,0,0,0,0
09-42-05,0,0,36,0,0,35,35,0,0,0,0
09-43-05,0,33,34,0,0,34,37,0,33,0,34
09-44-05,0,0,38,0,0,35,0,0,0,34,33
09-45-05,0,34,37,0,0,39,0,0,34,0,0
09-46-05,0,0,36,0,34,36,0,0,34,39,0
09-47-05,0,0,34,0,0,0,0,0,0,0,41
09-48-05,0,0,35,0,34,35,0,0,0,33,40
09-49-05,0,0,35,0,0,0,0,0,0,33,40
09-50-05,0,34,0,0,0,33,0,0,0,0,35
09-51-05,0,0,0,0,36,35,0,0,0,0,0
09-52-05,0,0,0,0,0,0,0,0,0,0,34
09-53-05,0,33,40,43,33,40,0,0,0,34,0
09-54-05,0,0,0,0,0,0,48,0,0,0,36
09-55-05,0,0,33,0,0,38,0,0,0,0,35
09-56-05,0,0,0,0,0,34,0,0,0,0,0
09-57-05,0,0,33,0,0,46,0,0,0,0,0
09-58-05,0,34,36,37,0,34,0,0,0,33,34
09-59-05,0,33,35,0,0,34,36,0,34,0,33
10-00-05,0,34,0,0,0,33,0,0,0,0,0
10-01-05,0,35,0,0,0,34,33,0,44,0,39
10-02-05,0,0,0,0,0,0,0,0,33,0,0
10-03-05,0,0,33,0,0,36,0,0,0,0,0
10-04-05,0,38,0,0,0,34,0,0,0,33,34
10-05-05,0,0,35,0,37,33,0,0,33,41,0
10-06-05,0,0,34,34,35,35,0,0,36,35,0
10-07-05,0,0,39,33,40,0,0,0,33,35,0
10-08-05,0,0,35,0,37,33,0,0,0,0,0
10-09-05,0,39,35,42,0,35,0,0,0,0,38
10-10-05,0,0,38,33,35,37,0,0,0,0,33
10-11-05,0,0,52,40,35,35,0,0,0,34,34
10-12-05,0,0,34,34,34,37,0,0,33,0,0
10-13-05,0,0,36,0,0,35,0,0,33,0,0
10-14-05,0,0,0,0,34,39,0,0,0,0,0
10-15-05,0,0,35,34,33,36,0,0,33,0,0
10-16-05,33,0,34,0,0,34,0,0,38,0,0
10-17-05,0,0,33,0,36,0,0,0,33,0,0
10-18-05,0,0,0,0,38,33,0,0,35,0,33
10-19-05,0,0,0,34,0,0,45,0,33,0,40
10-20-05,0,0,0,0,0,35,40,0,33,0,33
10-21-05,0,0,0,0,0,0,36,0,0,0,33
10-22-05,0,0,0,0,0,0,34,0,33,0,33
10-23-05,0,0,0,0,0,37,40,0,0,0,33
10-24-05,0,0,42,0,0,0,41,0,0,0,0
10-25-05,0,0,36,0,0,0,0,0,37,0,0
10-26-05,0,0,46,0,0,0,0,0,0,0,33
10-27-05,0,0,41,0,0,33,0,0,35,37,33
10-28-05,0,34,38,0,35,40,0,0,34,0,0
10-29-05,0,0,35,34,33,37,37,0,33,34,0
10-30-05,0,0,39,0,33,35,35,0,33,0,38
10-31-05,0,34,40,0,0,35,0,0,0,0,43
10-32-05,0,34,39,34,0,37,39,0,0,34,36
10-33-05,0,0,38,0,41,37,40,0,0,33,37
10-34-05,0,0,39,0,33,34,0,0,0,0,33
10-35-05,0,0,0,0,0,34,0,0,0,0,33
10-36-05,0,0,34,0,35,35,37,0,33,0,35
10-37-05,0,0,0,0,0,35,33,0,0,0,0
10-38-05,0,0,39,0,33,39,0,0,0,0,34
10-39-05,0,0,33,0,0,34,34,0,0,0,0
10-40-05,0,33,36,0,35,35,36,0,0,34,33
10-41-05,0,0,35,0,0,33,36,0,0,0,0
10-42-05,0,33,0,0,0,35,0,0,0,0,37
10-43-05,0,34,0,0,0,0,0,0,33,0,0
10-44-05,0,0,0,0,33,36,0,0,0,0,0
10-45-05,0,0,0,0,37,0,39,0,0,0,0
10-46-05,0,0,33,0,33,38,34,0,0,0,0
10-47-05,0,35,35,36,0,36,33,0,0,0,33
10-48-05,0,34,34,0,37,57,0,0,0,0,0
10-49-05,0,35,37,35,0,38,0,0,33,0,35
10-50-05,0,33,33,34,35,0,0,0,0,0,33
10-51-05,0,35,34,34,0,0,0,0,34,0,33
10-52-05,0,0,36,0,33,0,36,0,35,0,0
10-53-05,0,0,0,0,0,36,0,0,0,0,0
10-54-05,0,0,38,34,34,0,36,0,34,37,33
10-55-05,0,0,0,0,33,0,0,0,0,0,0
10-56-05,0,0,37,34,0,0,0,0,0,0,37
10-57-05,0,0,35,34,33,0,0,0,0,0,35
10-58-05,0,0,43,0,37,36,34,0,0,0,33
10-59-05,0,0,37,0,0,33,37,0,0,0,0
11-00-05,0,34,33,0,0,0,0,0,0,33,0
11-01-05,0,0,35,0,0,0,34,0,0,33,0
11-02-05,0,0,33,0,0,39,0,0,35,0,33
11-03-05,0,0,35,0,0,0,0,0,33,0,0
11-04-05,0,36,37,0,0,33,0,0,35,0,34
11-05-05,0,0,38,0,0,0,0,0,0,0,0
11-06-05,0,0,34,33,0,0,0,0,0,0,0
11-07-05,35,33,0,0,0,0,0,0,0,0,39
11-08-05,33,0,35,0,0,0,0,0,0,0,33
11-09-05,0,0,38,0,0,0,0,0,0,0,44
11-10-05,0,0,0,0,0,36,0,0,37,0,0
11-11-05,0,0,38,0,34,0,38,0,34,40,0
11-12-05,0,0,40,0,37,0,38,0,0,34,0
11-13-05,0,0,35,0,0,0,0,0,0,0,0
11-14-05,0,43,35,35,0,0,0,0,0,0,0
11-15-05,0,0,34,34,0,0,33,0,0,0,0
