date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
00-00-00,0,128,0,0,0,0,0,0,0,0,0
00-15-92,113,0,0,0,0,0,0,0,0,0,0
00-21-17,0,0,0,0,0,0,0,0,0,0,0
00-25-60,0,0,0,0,0,0,0,0,0,0,40
00-28-80,0,0,0,0,0,57,0,0,0,0,0
00-35-22,0,0,0,0,0,51,0,0,0,0,0
00-39-86,0,0,0,0,0,0,0,0,0,0,53
00-44-19,0,0,0,0,0,0,73,0,0,0,0
00-44-32,0,0,0,0,79,0,0,0,0,0,0
00-51-04,0,0,0,0,58,0,0,0,0,0,0
00-51-39,0,0,0,0,79,0,0,0,0,0,0
00-58-28,0,0,0,0,0,0,103,0,0,0,0
00-61-44,0,0,0,0,0,0,0,0,0,0,0
00-61-82,0,0,0,0,0,0,0,0,0,116,0
00-62-32,0,0,0,0,0,0,0,0,0,0,0
00-63-20,0,0,0,0,0,0,0,0,0,0,0
00-70-56,0,0,0,0,58,0,0,0,0,0,0
00-87-05,0,0,0,0,0,47,0,0,0,0,0
01-01-77,0,0,0,0,55,0,0,0,0,0,0
01-06-39,0,0,0,0,0,0,0,0,0,0,0
01-09-54,0,0,0,0,0,0,0,0,0,35,0
01-09-68,0,0,0,0,0,0,107,0,0,0,0
01-12-27,0,0,0,0,53,0,0,0,0,0,0
01-28-74,0,0,0,0,0,0,0,0,0,0,0
01-42-08,0,0,0,0,58,0,0,0,0,0,0
01-44-55,0,0,0,0,0,0,0,99,0,0,0
01-45-16,0,0,0,0,0,0,0,0,0,0,0
01-45-79,0,0,0,0,0,0,0,0,0,0,0
01-45-83,0,0,0,0,0,0,0,0,0,0,0
01-45-96,0,0,0,0,0,0,0,0,0,0,0
01-47-20,0,0,0,0,58,0,0,0,0,0,0
01-63-68,0,0,0,0,0,0,0,0,0,35,0
01-79-29,0,127,0,0,0,0,0,0,0,0,0
02-05-61,0,0,0,0,0,0,40,0,0,0,0
02-26-93,0,0,0,0,0,91,0,0,0,0,0
02-29-05,0,0,0,0,58,0,0,0,0,0,0
02-42-91,0,0,0,0,0,0,0,0,0,0,0
02-71-47,0,0,0,0,0,45,0,0,0,0,0
02-71-53,0,128,0,0,0,0,0,0,0,0,0
02-71-62,0,0,0,0,0,0,80,0,0,0,0
02-74-17,0,0,0,0,119,0,0,0,0,0,0
02-90-58,0,0,0,0,54,0,0,0,0,0,0
02-94-88,0,0,0,0,96,0,0,0,0,0,0
03-13-63,0,0,0,0,58,0,0,0,0,0,0
03-13-73,0,0,0,0,58,0,0,0,0,0,0
03-20-12,0,0,0,0,116,0,0,0,0,0,0
03-20-86,0,0,0,0,0,0,0,73,0,0,0
03-21-88,0,0,0,0,0,0,0,73,0,0,0
03-26-34,0,0,0,0,0,42,0,0,0,0,0
03-26-40,0,0,0,0,58,0,0,0,0,0,0
03-30-27,0,0,0,0,0,0,124,0,0,0,0
03-31-52,0,0,0,0,58,0,0,0,0,0,0
03-44-64,0,0,0,0,0,0,0,0,122,0,0
03-46-16,0,0,0,0,0,0,0,0,0,0,0
03-50-09,0,0,0,0,0,0,0,0,0,0,0
03-58-42,0,0,0,0,108,0,0,0,0,0,0
03-61-31,0,0,0,0,0,0,0,0,68,0,0
03-63-54,0,0,0,0,108,0,0,0,0,0,0
03-64-16,0,0,0,0,0,0,0,0,0,0,0
03-64-19,0,0,0,0,0,0,0,0,0,0,0
03-64-24,0,0,0,0,0,0,0,0,0,0,0
03-64-32,0,0,0,0,0,0,0,0,0,0,0
03-64-64,0,0,0,0,0,0,0,0,0,0,0
03-64-72,0,0,0,0,0,0,0,0,0,0,0
03-65-28,0,0,0,0,0,0,0,0,0,0,0
03-66-12,0,0,0,0,0,0,0,72,0,0,0
03-66-56,0,0,0,0,0,0,0,0,0,0,0
03-66-63,0,0,0,0,0,0,0,0,0,0,0
03-66-64,0,0,0,0,0,0,0,0,0,0,0
03-71-45,0,0,0,0,0,0,124,0,0,0,0
03-76-32,0,0,0,0,0,0,0,0,68,0,0
03-82-19,0,0,0,0,108,0,0,0,0,0,0
03-85-22,0,0,0,0,55,0,0,0,0,0,0
