date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin
09-00-05,32,32,0,0,0,0,0,0,0,0,0
09-01-05,0,32,0,0,0,0,0,0,0,0,0
09-02-05,0,33,0,0,0,0,0,0,0,0,0
09-03-05,0,32,0,0,0,0,0,0,0,0,0
09-04-05,0,32,0,0,0,0,0,0,0,0,0
09-05-05,0,33,0,0,0,0,0,0,0,0,0
09-06-05,0,33,0,0,0,0,0,0,0,0,0
09-07-05,0,33,0,0,0,0,0,0,0,0,0
09-08-05,0,32,0,0,0,0,0,0,0,0,0
09-09-05,0,33,0,0,0,0,0,0,0,0,0
09-10-05,0,32,0,0,0,0,0,0,0,0,0
09-11-05,0,32,0,0,0,0,0,0,0,0,0
09-12-05,0,32,0,0,0,0,0,0,0,0,0
09-13-05,0,32,0,0,0,0,0,0,0,0,0
09-14-05,0,32,0,0,0,0,0,0,0,0,0
09-15-05,0,32,0,0,0,0,0,0,0,0,0
09-16-05,0,32,0,0,0,0,0,0,0,0,0
09-17-05,0,32,0,0,0,0,0,0,0,0,0
09-18-05,0,32,0,0,0,0,0,0,0,0,0
09-19-05,0,32,0,0,0,0,0,0,0,0,0
09-20-05,0,32,0,0,0,0,0,0,0,0,0
09-21-05,0,32,0,0,0,0,0,0,0,0,0
09-22-05,0,32,0,0,0,0,0,0,0,0,0
09-23-05,0,32,0,0,0,0,0,0,0,0,0
09-24-05,0,32,0,0,0,0,0,0,0,0,0
09-25-05,0,32,0,0,0,0,0,0,0,0,0
09-26-05,0,32,0,0,0,0,0,0,0,0,0
09-27-05,0,32,0,0,0,0,0,0,0,0,0
09-28-05,0,32,0,0,0,32,0,0,0,0,0
09-29-05,0,33,0,0,0,32,0,0,0,0,0
09-30-05,0,32,0,0,0,32,0,0,0,0,0
09-31-05,0,32,0,0,0,32,0,0,0,0,0
09-32-05,0,32,0,0,0,32,0,0,0,0,0
09-33-05,0,33,0,0,0,32,0,0,0,0,0
09-34-05,0,33,0,0,0,32,0,0,0,0,0
09-35-05,0,33,0,0,0,32,0,0,0,0,0
09-36-05,0,33,0,0,0,32,0,0,0,0,0
09-37-05,0,33,0,0,0,32,0,0,0,0,0
09-38-05,0,32,0,0,0,0,0,0,0,0,0
09-39-05,0,32,0,0,0,0,0,0,0,0,0
09-40-05,0,32,0,0,0,0,0,0,0,0,0
09-41-05,0,32,0,0,0,0,0,0,0,0,0
09-42-05,0,32,0,0,0,0,0,0,0,0,0
10-09-25,0,0,0,0,0,32,0,0,0,0,0
10-10-25,0,0,0,0,0,37,0,0,0,0,0
10-11-05,0,0,0,0,0,33,0,0,0,0,0
10-12-35,0,0,0,0,0,44,0,0,0,0,0
10-13-15,0,0,0,0,0,33,0,0,0,0,0
10-15-25,0,0,0,0,0,40,0,0,0,0,0
10-16-25,0,0,0,0,0,33,0,0,0,0,0
10-18-45,0,0,0,0,0,32,0,0,0,0,0
10-22-45,0,0,0,0,0,38,0,0,0,0,0
10-23-45,0,0,0,0,0,32,0,0,0,0,0
10-24-05,0,0,0,0,0,32,0,0,0,0,0
10-25-55,0,0,0,0,0,33,0,0,0,0,0
10-57-55,0,0,0,0,0,33,0,0,0,0,0
11-50-55,0,0,35,0,0,0,0,0,0,0,0
11-55-55,0,0,0,32,0,0,0,0,0,0,0
11-58-05,0,0,0,0,0,0,35,0,0,0,0
12-00-15,0,0,0,0,0,0,33,0,0,0,0
12-02-35,0,0,0,0,0,0,32,0,0,0,0
12-03-05,0,0,0,0,0,0,36,0,0,0,0
12-04-05,0,0,0,0,0,0,34,0,0,0,0
12-07-35,0,0,0,0,0,0,33,0,0,0,0
12-09-35,0,0,32,0,0,0,0,0,0,0,0
12-10-15,0,0,0,0,0,0,32,0,0,0,0
12-11-05,0,0,0,0,0,0,33,0,0,0,0
12-12-55,0,0,0,0,0,0,33,0,0,0,0
12-15-15,0,0,0,0,0,0,34,0,0,0,0
12-16-05,0,0,0,0,0,0,32,0,0,0,0
12-17-05,0,0,0,0,0,0,32,0,0,0,0
12-18-05,0,0,0,0,0,0,32,0,0,0,0
12-20-35,0,0,39,0,0,0,0,0,0,0,0
12-21-05,0,0,0,0,0,0,32,0,0,0,0
12-25-35,0,0,0,0,0,36,0,0,0,0,0
12-35-45,0,0,0,0,0,33,0,0,0,0,0
12-37-25,0,0,0,0,0,32,0,0,0,0,0
12-38-05,0,0,0,0,0,32,0,0,0,0,0
12-44-35,0,0,0,0,0,32,0,0,0,0,0
12-45-15,0,0,0,0,0,32,0,0,0,0,0
12-46-05,0,0,0,0,0,32,0,0,0,0,0
12-47-05,0,0,0,0,0,32,0,0,0,0,0
12-48-05,0,0,0,0,0,32,0,0,0,0,0
12-49-05,0,0,0,0,0,32,0,0,0,0,0
13-15-25,0,0,0,0,0,32,0,0,0,0,0
14-25-15,0,0,32,0,0,0,0,0,0,0,0
14-29-35,0,0,0,0,32,0,0,0,0,0,0
14-39-15,0,0,0,0,0,0,33,0,0,0,0
15-09-15,0,0,0,0,0,32,0,0,0,0,0
16-46-35,0,0,0,0,0,32,0,0,0,0,0
18-38-05,0,0,0,0,0,0,32,0,0,0,0
