date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary
09-23-45,0,0,0,0,0,0,0,0,0,0,51
09-24-05,0,0,0,0,0,0,0,0,0,0,61
09-25-05,0,0,0,0,0,0,0,0,0,0,64
09-26-05,0,0,0,0,0,0,0,0,0,0,45
09-27-05,0,0,0,0,0,0,0,0,0,0,53
09-28-05,0,0,0,0,0,0,0,0,0,0,54
09-29-05,0,0,0,0,0,0,0,0,0,0,38
09-30-05,0,0,0,0,0,0,0,0,0,0,39
09-31-05,0,0,0,0,0,0,0,0,0,0,47
09-32-05,0,0,0,0,0,0,0,0,0,0,47
09-33-05,0,0,0,0,35,0,32,0,0,0,0
09-34-05,0,0,0,0,33,0,0,0,0,0,0
09-36-15,0,0,0,0,0,0,33,0,0,0,0
09-39-55,0,0,0,0,35,0,0,0,0,0,0
09-40-35,0,0,0,0,32,0,0,0,0,0,0
09-42-15,0,0,0,0,33,0,0,0,0,0,0
09-43-05,0,0,0,0,33,0,0,0,0,0,0
09-45-15,0,0,0,0,0,36,0,0,0,0,0
09-46-15,0,33,33,0,0,0,0,0,0,0,0
09-53-25,0,0,0,0,33,0,0,0,0,0,0
09-54-45,0,0,0,0,0,0,0,0,0,32,0
09-58-45,0,32,0,0,0,0,0,0,0,0,0
10-00-45,0,31,0,0,0,0,0,0,0,0,0
10-02-55,0,0,0,0,0,0,0,0,0,32,0
10-03-55,0,0,0,0,0,0,0,0,0,31,0
10-04-25,0,34,0,0,0,0,0,0,0,0,0
10-05-25,0,0,0,0,0,0,35,0,0,0,0
10-06-15,0,0,0,0,36,0,0,0,0,0,0
10-08-25,0,0,0,0,31,0,0,0,0,0,0
10-09-55,0,33,0,0,0,0,0,0,0,0,0
10-10-05,0,34,0,0,0,0,0,0,0,0,0
10-14-05,0,32,0,0,0,0,0,0,0,0,0
10-16-35,0,36,0,0,0,0,0,0,0,0,0
10-17-55,0,37,0,0,0,0,0,0,0,0,0
10-18-05,0,0,0,0,0,0,42,0,0,0,0
10-20-15,0,0,0,0,34,0,0,0,0,0,0
10-21-05,0,0,0,0,0,0,0,0,0,37,0
10-22-15,0,0,0,0,35,0,0,0,0,0,0
10-24-25,0,0,0,0,0,0,37,0,0,0,0
10-48-35,0,0,0,0,35,0,0,0,0,0,0
10-49-55,0,0,0,0,0,0,37,0,0,0,0
10-51-05,0,0,0,0,0,0,0,0,0,34,0
10-52-15,0,0,0,0,0,0,32,0,0,0,0
10-53-45,0,0,0,0,0,0,32,0,0,0,0
10-54-05,0,0,0,0,0,0,33,0,0,0,0
10-55-05,0,0,0,0,0,0,32,0,0,0,0
10-58-15,0,0,0,0,34,0,0,0,0,0,0
10-59-05,0,0,33,0,0,0,0,0,0,0,0
11-00-05,0,0,0,0,31,0,0,0,0,0,0
11-02-05,0,0,0,0,0,0,32,0,0,0,0
11-05-25,0,0,0,0,0,0,0,0,0,33,0
11-06-05,0,0,0,0,0,0,33,0,0,0,0
11-15-45,0,0,0,0,31,0,0,0,0,0,0
11-16-45,0,0,0,0,35,0,0,0,0,0,0
11-17-05,0,0,0,0,34,0,0,0,0,0,0
11-19-15,0,0,0,0,0,0,36,0,0,0,0
11-20-15,0,0,0,0,32,0,0,0,0,0,0
11-21-35,0,0,31,0,0,0,0,0,0,0,0
11-22-55,0,0,33,0,0,0,0,0,0,0,0
