date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-09-05,61,64,0,0,0,0,0,0,0,0,0
09-09-15,75,79,0,0,0,0,0,0,0,0,0
09-09-25,75,79,0,0,0,0,0,0,0,0,0
09-09-35,76,80,0,0,0,0,0,0,0,0,0
09-09-45,76,81,0,0,84,0,0,0,0,0,0
09-09-55,77,80,0,0,84,0,0,0,0,0,0
09-10-05,76,81,0,0,84,80,0,0,0,0,0
09-10-15,77,80,0,0,84,79,0,0,0,0,0
09-10-25,76,81,0,0,84,76,0,0,0,0,0
09-10-35,76,81,0,0,84,81,64,0,0,0,0
09-10-45,76,80,0,0,84,82,79,0,0,0,0
09-10-55,77,80,0,0,84,81,81,79,0,0,0
09-11-05,76,81,0,0,84,81,80,78,63,0,0
09-11-15,76,80,0,0,85,81,80,79,76,0,0
09-11-25,77,81,0,0,83,82,80,79,76,61,0
09-11-35,76,80,0,0,83,81,80,79,76,68,0
09-11-45,69,80,0,0,84,82,80,80,76,69,0
09-11-55,37,80,0,0,84,82,80,79,76,51,0
09-12-05,0,81,0,0,85,82,80,78,77,48,0
09-12-15,36,80,0,0,84,81,81,78,38,44,0
09-12-25,33,80,0,0,84,80,80,79,41,46,0
09-12-35,0,80,0,0,83,81,80,78,0,46,0
09-12-45,0,80,0,0,84,82,80,38,0,40,0
09-12-55,0,80,0,0,85,81,42,34,0,46,0
09-13-05,0,81,0,0,85,81,47,37,0,47,0
09-13-15,0,39,0,0,41,39,39,40,0,43,0
09-13-25,0,38,0,0,39,39,49,47,0,55,0
09-13-35,0,32,0,0,43,35,50,63,0,57,0
09-13-45,0,37,0,0,37,56,48,63,0,57,0
09-13-55,0,65,0,0,37,53,50,62,0,58,0
09-14-05,0,65,0,0,36,56,48,63,0,58,0
09-14-15,0,64,0,0,37,56,50,62,0,58,0
09-14-25,0,65,0,0,44,55,50,62,0,58,0
09-14-35,0,65,0,0,47,55,51,61,0,57,0
09-14-45,0,65,0,0,48,56,50,60,0,58,0
09-14-55,0,65,0,0,49,56,50,60,0,59,0
09-15-05,0,64,0,0,45,55,49,59,0,58,0
09-15-15,0,65,0,0,43,55,53,63,0,57,0
09-15-25,0,65,0,0,46,54,54,64,0,58,0
09-15-35,0,65,0,0,44,49,49,63,0,59,0
09-15-45,0,65,0,0,47,54,51,63,0,58,0
09-15-55,0,64,0,0,52,53,50,59,0,57,0
09-16-05,0,64,0,0,51,54,48,50,0,57,0
09-16-15,0,65,0,0,51,54,49,50,0,57,0
09-16-25,0,64,0,0,52,53,49,50,0,57,0
09-16-35,0,64,0,0,51,54,50,51,0,57,0
09-16-45,0,64,0,0,51,54,50,50,0,57,0
09-16-55,0,64,0,0,52,54,51,50,0,57,0
09-17-05,0,65,0,0,51,54,49,50,0,57,0
09-17-15,0,64,0,0,52,54,51,50,0,57,0
09-17-25,0,64,0,0,51,54,51,50,0,57,0
09-17-35,0,65,0,0,51,53,50,50,0,57,0
09-17-45,0,65,0,0,51,55,51,50,0,58,0
09-17-55,0,65,0,0,48,54,51,53,0,58,0
09-18-05,0,64,0,0,51,53,49,53,0,59,0
09-18-15,0,64,0,0,49,52,49,53,0,58,0
09-18-25,0,64,0,0,52,54,51,52,0,57,0
09-18-35,0,64,0,0,52,53,49,51,0,58,0
09-18-45,0,64,0,0,51,54,50,53,0,59,0
09-18-55,0,64,0,0,50,53,51,51,0,56,0
09-19-05,0,64,0,0,52,52,52,52,0,58,0
09-19-15,0,63,0,0,51,52,51,50,0,57,0
09-19-25,0,64,0,0,51,53,51,51,0,57,0
09-19-35,0,65,0,0,51,53,52,51,0,56,0
09-19-45,0,64,0,0,52,54,51,52,0,57,0
09-19-55,0,65,0,0,51,55,51,51,0,57,0
09-20-05,0,64,0,0,52,54,50,48,0,57,0
09-20-15,0,64,0,0,51,54,50,42,0,57,0
09-20-25,0,64,0,0,51,55,51,36,0,57,0
09-20-35,0,65,0,0,52,54,48,35,0,58,0
09-20-45,0,64,0,0,52,56,49,39,0,57,0
09-20-55,0,64,0,0,53,57,52,36,0,58,0
09-21-05,0,64,0,0,54,56,53,38,0,57,0
09-21-15,0,64,0,0,53,57,53,36,0,57,0
09-21-25,0,64,0,0,53,57,53,0,0,57,0
09-21-35,0,65,0,0,52,54,53,0,0,58,0
09-21-45,0,65,0,0,51,58,53,0,0,57,0
09-21-55,0,65,0,0,51,55,52,0,0,58,0
09-22-05,0,64,0,0,52,56,50,0,0,59,0
09-22-15,0,65,0,0,51,55,51,0,0,57,0
09-22-25,0,64,0,0,49,56,50,0,0,57,0
09-22-35,0,64,0,0,50,56,49,0,0,58,0
09-22-45,0,65,0,0,51,56,51,0,0,58,0
09-22-55,0,64,0,0,51,56,52,0,0,57,0
09-23-05,0,64,0,0,50,55,51,0,0,58,0
09-23-15,0,65,0,0,52,56,52,0,0,58,0
09-23-25,0,65,0,0,50,56,51,0,0,58,0
09-23-35,0,65,0,0,50,56,49,0,0,58,0
09-23-45,0,64,0,0,48,56,50,0,0,58,0
09-23-55,0,64,0,0,41,56,49,0,0,58,0
09-24-05,0,65,0,0,39,56,48,0,0,57,0
09-24-15,0,64,0,0,41,56,49,0,0,58,0
09-24-25,0,64,0,0,40,56,49,0,0,59,0
09-24-35,0,64,0,0,41,56,50,0,0,57,0
09-24-45,0,64,0,0,40,56,50,0,0,57,0
09-24-55,0,65,0,0,38,55,50,0,0,58,0
09-25-05,0,64,0,0,37,52,47,0,0,58,0
09-25-15,0,64,0,0,40,52,49,0,0,58,0
09-25-25,0,64,0,0,37,53,50,0,0,58,0
09-25-35,0,64,0,0,41,54,50,0,0,57,0
09-25-45,0,64,0,0,38,54,50,0,0,58,0
09-25-55,0,64,0,0,36,54,50,0,0,58,0
09-26-05,0,64,0,0,37,54,51,0,0,57,0
09-26-15,0,64,0,0,37,54,51,0,0,57,0
09-26-25,0,64,0,0,37,54,50,0,0,58,0
09-26-35,0,64,0,0,36,54,50,0,0,58,0
09-26-45,0,64,0,0,37,55,51,0,0,58,0
09-26-55,0,64,0,0,39,55,51,0,0,58,0
09-27-05,0,64,0,0,39,55,53,0,0,58,0
09-27-15,0,64,0,0,42,55,52,0,0,57,0
09-27-25,0,64,0,0,40,55,52,0,0,58,0
09-27-35,0,64,0,0,40,55,52,0,0,58,0
09-27-45,0,64,0,0,40,55,52,0,0,58,0
09-27-55,0,64,0,0,42,56,52,0,0,57,0
09-28-05,0,64,0,0,42,54,52,0,0,58,0
09-28-15,0,64,0,0,45,55,51,0,0,57,0
09-28-25,0,64,0,0,40,54,50,0,0,59,0
09-28-35,0,64,0,0,38,55,52,0,0,59,0
09-28-45,0,64,0,0,40,55,52,0,0,59,0
09-28-55,0,64,0,0,43,54,53,0,0,58,0
09-29-05,0,64,0,0,45,55,53,0,0,57,0
09-29-15,0,64,0,0,43,54,52,0,0,58,0
09-29-25,0,64,0,0,43,55,51,0,0,59,0
09-29-35,0,64,0,0,43,55,52,0,0,59,0
09-29-45,0,64,0,0,48,56,51,0,0,58,0
09-29-55,0,64,0,0,48,56,49,0,0,57,0
09-30-05,0,65,0,0,48,56,52,0,0,57,0
09-30-15,0,64,0,0,44,56,51,0,0,57,0
09-30-25,0,64,0,0,45,56,50,0,0,58,0
09-30-35,0,64,0,0,44,56,51,0,0,58,0
09-30-45,0,64,0,0,42,56,41,0,0,58,0
09-30-55,0,64,0,0,34,56,40,0,0,57,0
09-31-05,0,64,0,0,35,57,43,0,0,57,0
09-31-15,0,64,0,0,33,57,45,0,0,57,0
09-31-25,0,64,0,0,34,57,45,0,0,57,0
09-31-35,0,64,0,0,33,57,42,0,0,56,0
09-31-45,0,64,0,0,35,56,41,0,0,56,0
09-31-55,0,64,0,0,32,57,37,0,0,58,0
09-32-05,0,64,0,0,34,56,40,0,0,57,0
09-32-15,0,64,0,0,33,56,41,0,0,57,0
09-32-25,0,64,0,0,35,57,36,0,0,57,0
09-32-35,0,64,0,0,44,57,38,0,0,57,0
09-32-45,0,64,0,0,54,56,38,0,0,57,0
09-32-55,0,64,0,0,43,56,36,0,0,57,0
09-33-05,0,64,0,0,34,56,38,0,0,58,0
